band	min_mjd	max_mjd
EFOSC2_U	57984.0481	57984.0559
EFOSC2_V	57983.964	57986.0531
FourStar_H	57982.9902	57984.9714
FourStar_J	57983.0	57985.9728
FourStar_J1	57984.0022	57984.9801
FourStar_Ks	57983.03	58000.99
IMACS_r	57985.0094	57985.0094
LRIS_I	57989.2344	57989.2344
RetroCam_H	57986.983	57992.984
RetroCam_J	57986.998	57991.0
RetroCam_Y	57986.971	57988.0
SOFI_H	57993.997	57993.997
SOFI_Ks	57994.985	57995.99
Sinistro_g	57983.401	57985.017
Sinistro_i	57983.972	57985.736
Sinistro_r	57983.405	57987.358
Sinistro_w	57983.011	57986.992
Sinistro_z	57984.751	57985.74
Swope_B	57984.0342	57985.9951
Swope_V	57983.9948	57985.9893
Swope_g	57984.0548	57987.0044
Swope_i	57982.9814	57989.9897
Swope_r	57984.0472	57986.9965
