"MJD	band	Flux	Flux_err	FilterSet	Instr"
"57982.9814	Swope_i	2.7142650260213554e-16	4.999860949887268e-18	KN_Filters_clean	Swope"
"57982.9902	FourStar_H	2.5738704505131456e-17	3.555933438382888e-18	KN_Filters_clean	FourStar"
"57983.0	FourStar_J	6.741571632814123e-17	9.313825407049829e-18	KN_Filters_clean	FourStar"
"57983.003059500006	DECam_i	2.6219229908192e-16	6.109283386981544e-18	KN_Filters_clean	DECam"
"57983.0037414	DECam_z	1.5759106319800882e-16	4.2269827583175994e-18	KN_Filters_clean	DECam"
"57983.011	Sinistro_w	7.232438898334967e-16	2.6645289589264473e-17	KN_Filters_clean	Sinistro"
"57983.03	FourStar_Ks	1.2217002853423277e-17	1.687841319079968e-18	KN_Filters_clean	FourStar"
"57983.16719907407	UVOT_U	9.329757067591766e-16	7.677394165093953e-17	KN_Filters_clean	UVOT"
"57983.382	Sinistro_w	8.536596877792861e-16	3.144998514507963e-17	KN_Filters_clean	Sinistro"
"57983.38678241	skymapper_i	2.62416840552727e-16	1.2084742104166839e-17	KN_Filters_clean	skymapper"
"57983.401	Sinistro_g	1.1676574673189663e-15	1.2905427254261017e-16	KN_Filters_clean	Sinistro"
"57983.405	Sinistro_r	6.005465873643382e-16	1.106247695771177e-17	KN_Filters_clean	Sinistro"
"57983.41925926	skymapper_r	5.348317862218675e-16	3.4481879549970516e-17	KN_Filters_clean	skymapper"
"57983.42064815	skymapper_g	7.623511583374194e-16	5.617210921005308e-17	KN_Filters_clean	skymapper"
"57983.509444444455	UVOT_U	4.892101009507675e-16	7.461960270374644e-17	KN_Filters_clean	UVOT"
"57983.57148148147	UVOT_U	4.55871094344501e-16	6.817524948476166e-17	KN_Filters_clean	UVOT"
"57983.733	Sinistro_w	4.734616129580006e-16	1.7442970433671735e-17	KN_Filters_clean	Sinistro"
"57983.741	Sinistro_r	3.618651031002012e-16	6.665801536588196e-18	KN_Filters_clean	Sinistro"
"57983.745	Sinistro_g	5.745336380545589e-16	6.349980433962836e-17	KN_Filters_clean	Sinistro"
"57983.964	EFOSC2_V	3.0980881512349077e-16	2.282755710018618e-17	KN_Filters_clean	EFOSC2"
"57983.968	Sinistro_w	3.658345961210092e-16	1.3477844600515456e-17	KN_Filters_clean	Sinistro"
