MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57982.9902,18.26,0.15,2.36914873219e-17,3.27309993229e-18,H,Magellan,GeneralFilters
57983.0000,17.83,0.15,6.05642434538e-17,8.36725944872e-18,J,Magellan,GeneralFilters
57983.0000,17.35,0.02,4.45214720687e-16,8.20115823229e-18,Bessell_V,Magellan,GeneralFilters
57983.0106,17.41,0.04,6.83808655132e-16,2.51924418523e-17,sdss_g,Magellan,GeneralFilters
57983.0300,18.41,0.15,1.18249736271e-17,1.63368047993e-18,Ks,Magellan,GeneralFilters
57983.9640,18.22,0.08,1.99788053439e-16,1.47209277954e-17,Bessell_V,NTT,GeneralFilters
57983.9687,18.16,0.05,2.11139513006e-16,9.72333390379e-18,Bessell_V,NTT,GeneralFilters
57983.9701,18.13,0.08,2.17054860549e-16,1.59931931604e-17,Bessell_V,NTT,GeneralFilters
57983.9768,17.62,0.06,1.40213281484e-16,7.74847228282e-18,sdss_z,Magellan,GeneralFilters
57983.9784,17.61,0.06,1.41510659004e-16,7.82016801412e-18,sdss_z,Magellan,GeneralFilters
57983.9790,17.61,0.06,1.41510659004e-16,7.82016801412e-18,sdss_z,Magellan,GeneralFilters
57983.9798,17.77,0.03,1.723641851e-16,4.76259843813e-18,sdss_i,Magellan,GeneralFilters
57983.9806,17.91,0.03,2.28207123663e-16,6.30559585273e-18,sdss_r,Magellan,GeneralFilters
57983.9810,17.61,0.04,2.47058716466e-17,9.10197948206e-19,Ks,Magellan,GeneralFilters
57983.9813,17.47,0.01,8.4375487783e-17,7.77126961533e-19,J,Magellan,GeneralFilters
57983.9814,18.61,0.03,2.26430326853e-16,6.25650114257e-18,sdss_g,Magellan,GeneralFilters
57983.9829,19.04,0.06,1.49493625311e-16,8.26132303535e-18,Bessell_B,Magellan,GeneralFilters
57983.9843,19.04,0.07,1.49493625311e-16,9.63821020791e-18,Bessell_B,Magellan,GeneralFilters
57983.9875,18.66,0.03,2.16239283395e-16,5.97491220559e-18,sdss_g,Magellan,GeneralFilters
57983.9902,17.52,0.01,4.68373511644e-17,4.31387946346e-19,H,Magellan,GeneralFilters
57984.0105,18.14,0.04,2.15064889626e-16,7.92328334206e-18,Bessell_V,NTT,GeneralFilters
57984.0118,18.16,0.06,2.11139513006e-16,1.16680006845e-17,Bessell_V,NTT,GeneralFilters
57984.0129,18.18,0.04,2.07285782584e-16,7.63669044747e-18,Bessell_V,NTT,GeneralFilters
57984.0461,18.25,0.06,1.94343274326e-16,1.07398062333e-17,Bessell_V,NTT,GeneralFilters
57984.0471,18.18,0.1,2.07285782584e-16,1.90917261187e-17,Bessell_V,NTT,GeneralFilters
57984.0481,20.11,0.23,8.51458373131e-17,1.80371092869e-17,Bessell_U,NTT,GeneralFilters
57984.0520,20.21,0.28,7.76539265556e-17,2.00261346543e-17,Bessell_U,NTT,GeneralFilters
57984.0559,20.1,0.28,8.59336820457e-17,2.21613969096e-17,Bessell_U,NTT,GeneralFilters
57984.9620,17.55,0.06,2.61095977365e-17,1.44286969277e-18,Ks,Magellan,GeneralFilters
57984.9625,17.55,0.01,7.83819920185e-17,7.21924825524e-19,J,Magellan,GeneralFilters
57984.9714,17.57,0.01,4.47293231109e-17,4.1197229046e-19,H,Magellan,GeneralFilters
57984.9714,19.4,0.11,6.73859748466e-17,6.82712541098e-18,Bessell_V,NTT,GeneralFilters
57985.0000,19.51,0.08,6.08933007064e-17,4.48678420703e-18,Bessell_V,Magellan,GeneralFilters
57985.0094,18.93,0.02,8.91926766386e-17,1.64298982106e-18,sdss_r,Magellan,GeneralFilters
57985.0164,19.53,0.12,5.97818727122e-17,6.60733674904e-18,Bessell_V,NTT,GeneralFilters
57985.0537,20.19,,7.90976208381e-17,,Bessell_U,NTT,GeneralFilters
57985.0537,19.59,0.2,5.65678295363e-17,1.04201792827e-17,Bessell_V,NTT,GeneralFilters
57985.9687,20.54,0.2,2.35813962231e-17,4.34385371322e-18,Bessell_V,NTT,GeneralFilters
57985.9728,17.85,0.01,5.94588214314e-17,5.47635983499e-19,J,Magellan,GeneralFilters
57986.0156,20.55,0.15,2.3365200683e-17,3.22802176725e-18,Bessell_V,NTT,GeneralFilters
57986.0531,20.68,0.31,2.07285782584e-17,5.91843509679e-18,Bessell_V,NTT,GeneralFilters
57986.9710,18.08,0.02,6.51404666661e-17,1.19993173997e-18,Y,du Pont,GeneralFilters
57986.9830,17.83,0.02,3.52040254304e-17,6.48482113354e-19,H,du Pont,GeneralFilters
57986.9980,18.1,0.02,4.72298206664e-17,8.70005448089e-19,J,du Pont,GeneralFilters
57987.0000,21.85,0.22,7.05617780001e-18,1.42977558379e-18,Bessell_V,Magellan,GeneralFilters
57987.0192,21.78,0.06,1.22161566597e-17,6.75089765239e-19,sdss_g,Magellan,GeneralFilters
57987.0217,22.52,0.14,6.06209410589e-18,7.81675301151e-19,Bessell_B,Magellan,GeneralFilters
57987.9714,19.08,0.12,3.65417341296e-17,4.03874170939e-18,sdss_z,Magellan,GeneralFilters
57988.0000,17.84,0.2,3.48812729852e-17,6.42536793603e-18,H,du Pont,GeneralFilters
57988.0000,18.33,0.1,5.1742911896e-17,4.765698304e-18,Y,du Pont,GeneralFilters
57989.2344,20.83,0.09,8.77999098845e-18,7.27800349199e-19,Bessell_I,Keck,GeneralFilters
57989.2347,22.2,,8.29725797989e-18,,sdss_g,Keck,GeneralFilters
57989.9698,19.87,0.07,1.76518063131e-17,1.13805401027e-18,sdss_z,Magellan,GeneralFilters
57989.9897,21.42,0.18,5.97650146724e-18,9.90821029444e-19,sdss_i,Swope,GeneralFilters
57989.9900,18.99,0.04,2.08073271971e-17,7.66570262866e-19,J,du Pont,GeneralFilters
57990.0302,23.85,0.31,1.78083086403e-18,5.08463810482e-19,Bessell_B,Magellan,GeneralFilters
57990.9720,20.4,0.07,1.08340080375e-17,6.98494311326e-19,sdss_z,Magellan,GeneralFilters
57991.0000,19.3,0.1,1.56392634847e-17,1.44042939861e-18,J,du Pont,GeneralFilters
57991.0340,22.64,,5.5326677869e-18,,sdss_g,Magellan,GeneralFilters
57991.9700,19.21,0.05,9.87625571336e-18,4.54818383604e-19,H,du Pont,GeneralFilters
57992.9840,19.34,0.09,8.76177963253e-18,7.26290754119e-19,H,du Pont,GeneralFilters
57993.9970,19.64,0.14,6.64648954659e-18,8.5703003404e-19,H,NTT,GeneralFilters
57994.9620,19.36,0.09,4.92946946549e-18,4.08618824674e-19,Ks,Magellan,GeneralFilters
57994.9850,19.32,0.09,5.11446464535e-18,4.23953641837e-19,Ks,NTT,GeneralFilters
57995.9620,20.5,,3.0101790305e-18,,H,Magellan,GeneralFilters
57995.9780,19.52,0.09,4.25402640059e-18,3.52629279907e-19,Ks,Magellan,GeneralFilters
57995.9900,19.43,0.09,4.62168328514e-18,3.83105485329e-19,Ks,NTT,GeneralFilters
57997.9697,20.23,0.1,2.21207669745e-18,2.03739793125e-19,Ks,Magellan,GeneralFilters
