MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57982.9814,17.48,0.02,2.23225097196e-16,4.11195824949e-18,Swope_i,Swope,KN_Filters_clean
57982.9902,18.26,0.15,2.43313366566e-17,3.36149838468e-18,FourStar_H,FourStar,KN_Filters_clean
57983.0000,17.83,0.15,6.18459908776e-17,8.54433939938e-18,FourStar_J,FourStar,KN_Filters_clean
57983.0030595,17.9870571863,0.207026064811,7.00934235527e-16,1.33652774805e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0102362438,0.193022952089,6.86128800889e-16,1.21980464574e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0142107001,0.225368033752,6.83621742741e-16,1.41900479432e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0160067505,0.245763265174,6.82491814389e-16,1.54486343942e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0210288899,0.24506724418,6.79342196637e-16,1.53337909573e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0217881291,0.189916938173,6.7886730879e-16,1.18747445416e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.028352293,0.226809988945,6.74775382325e-16,1.40960388292e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0401018305,0.206610905377,6.67512518635e-16,1.27024746178e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,18.0468570057,0.268054650643,6.63372318096e-16,1.63778304706e-16,UVOT_U,UVOT,KN_Filters_clean
57983.0030595,17.8003200206,0.193022952089,9.05704453637e-17,1.61016779762e-17,DECam_Y,DECam,KN_Filters_clean
57983.0030595,17.8042415134,0.207026064811,9.02439105108e-17,1.72075330861e-17,DECam_Y,DECam,KN_Filters_clean
57983.0030595,17.806093027,0.245763265174,9.00901480777e-17,2.03924754969e-17,DECam_Y,DECam,KN_Filters_clean
57983.0030595,17.8146736436,0.24506724418,8.93809680686e-17,2.01746496347e-17,DECam_Y,DECam,KN_Filters_clean
