MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57982.9814,17.48,0.02,2.23225097196e-16,4.11195824949e-18,Swope_i,Swope,KN_Filters_clean
57982.9902,18.26,0.15,2.43313366566e-17,3.36149838468e-18,FourStar_H,FourStar,KN_Filters_clean
57983.0000,17.83,0.15,6.18459908776e-17,8.54433939938e-18,FourStar_J,FourStar,KN_Filters_clean
57983.003059500006,17.4801307871,0.0252984934401,2.17302375335e-16,5.06331343916e-18,DECam_i,DECam,KN_Filters_clean
57983.0037414,17.5902045028,0.0291221350022,1.36961790799e-16,3.67365456205e-18,DECam_z,DECam,KN_Filters_clean
57983.011,17.49,0.04,5.52139339185e-16,2.03415649866e-17,Sinistro_w,Sinistro,KN_Filters_clean
57983.0300,18.41,0.15,1.17895075927e-17,1.6287806662e-18,FourStar_Ks,FourStar,KN_Filters_clean
57983.16719907407,18.2024703,0.0893445,5.74793736684e-16,4.72993889142e-17,UVOT_U,UVOT,KN_Filters_clean
57983.382,17.31,0.04,6.51701455795e-16,2.40095689151e-17,Sinistro_w,Sinistro,KN_Filters_clean
57983.401,17.28,0.12,8.11621956701e-16,8.9703773695e-17,Sinistro_g,Sinistro,KN_Filters_clean
57983.405,17.2,0.02,4.62287320899e-16,8.51564715026e-18,Sinistro_r,Sinistro,KN_Filters_clean
57983.509444444455,18.9034076,0.1656082,3.01395738294e-16,4.59721297749e-17,UVOT_U,UVOT,KN_Filters_clean
57983.57148148147,18.980041,0.1623712,2.80856026439e-16,4.20018507629e-17,UVOT_U,UVOT,KN_Filters_clean
57983.733,17.95,0.04,3.61450384556e-16,1.33163242774e-17,Sinistro_w,Sinistro,KN_Filters_clean
57983.741,17.75,0.02,2.78555656728e-16,5.13118482201e-18,Sinistro_r,Sinistro,KN_Filters_clean
57983.745,18.05,0.12,3.99350090724e-16,4.41378031578e-17,Sinistro_g,Sinistro,KN_Filters_clean
57983.9640,18.22,0.08,2.29503156403e-16,1.69104174953e-17,EFOSC2_V,EFOSC2,KN_Filters_clean
