MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57982.981,17.48,0.02,2.23225097196e-16,4.11195824949e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57982.99,18.26,0.15,2.43313366566e-17,3.36149838468e-18,FourStar_H,FourStar,GeneralFilters
57982.999,18.62,0.05,9.72591090678e-18,4.47894749395e-19,VISTA_Ks,VIRCAM,GeneralFilters
57983,17.83,0.15,6.18459908776e-17,8.54433939938e-18,FourStar_J,FourStar,GeneralFilters
57983.003,17.48,0.03,2.17328553019e-16,6.00500983757e-18,DECam_i,DECam,GeneralFilters
57983.004,17.59,0.03,1.36987590535e-16,3.7851070067e-18,DECam_z,DECam,GeneralFilters
57983.009,17.88,0.03,5.55017416117e-17,1.53356979444e-18,VISTA_J,VIRCAM,GeneralFilters
57983.019,17.46,0.01,1.18152671341e-16,1.08822631891e-18,VISTA_Y,VIRCAM,GeneralFilters
57983.029,18.64,0.06,9.54839302672e-18,5.27663698689e-19,VISTA_Ks,VIRCAM,GeneralFilters
57983.03,18.41,0.15,1.17895075927e-17,1.6287806662e-18,FourStar_Ks,FourStar,GeneralFilters
57983.039,17.82,0.03,5.86552123271e-17,1.62070341037e-18,VISTA_J,VIRCAM,GeneralFilters
57983.059,18.42,0.04,1.16767472345e-17,4.30187265868e-19,FLAMINGOS-2_Ks,FLAMINGOS-2,GeneralFilters
57983.156,21.12,0.22,9.70646881087e-17,1.96679739428e-17,UVOT_M2,UVOT,GeneralFilters
57983.162,19.46,0.11,4.47776464938e-16,4.5365910179e-17,UVOT_W1,UVOT,GeneralFilters
57983.167,18.19,0.09,5.814336293e-16,4.81968146661e-17,UVOT_U,UVOT,GeneralFilters
57983.172,21.13,0.23,1.28537263122e-16,2.72290547082e-17,UVOT_W2,UVOT,GeneralFilters
57983.229,17.4,0.01,1.59990343104e-16,1.47356551622e-18,HSC_z,HSC,GeneralFilters
57983.231,17.24,0.06,2.82439331363e-16,1.56081742577e-17,GFC_i,GFC,GeneralFilters
57983.231,17.38,0.1,1.41872846161e-16,1.30669720268e-17,GFC_y,GFC,GeneralFilters
57983.231,17.26,0.06,1.99141218467e-16,1.10049504251e-17,GFC_z,GFC,GeneralFilters
57983.387,17.42,0.05,2.17043396247e-16,9.99521777464e-18,Skymapper_i,Skymapper,GeneralFilters
57983.401,17.28,0.12,8.11621956701e-16,8.9703773695e-17,Sinistro_g,Sinistro,GeneralFilters
57983.405,17.2,0.02,4.62287320899e-16,8.51564715026e-18,Sinistro_r,Sinistro,GeneralFilters
57983.419,17.32,0.07,4.09963508033e-16,2.64313241435e-17,Skymapper_r,Skymapper,GeneralFilters
57983.421,17.46,0.08,5.45881607029e-16,4.02220432283e-17,Skymapper_g,Skymapper,GeneralFilters
57983.569,20.21,0.21,2.24419847746e-16,4.34066468632e-17,UVOT_W1,UVOT,GeneralFilters
57983.572,19,0.16,2.75740238656e-16,4.06345832364e-17,UVOT_U,UVOT,GeneralFilters
57983.594,22.52,0.5,2.6733835007e-17,1.23113859931e-17,UVOT_M2,UVOT,GeneralFilters
57983.699,17.64,0.04,4.2196200179e-17,1.55456546421e-18,SIRIUS_H,SIRIUS,GeneralFilters
57983.699,17.51,0.03,7.72419655536e-17,2.13427438125e-18,SIRIUS_J,SIRIUS,GeneralFilters
57983.699,17.91,0.05,1.85902381009e-17,8.56112102527e-19,SIRIUS_Ks,SIRIUS,GeneralFilters
57983.741,17.75,0.02,2.78555656728e-16,5.13118482201e-18,Sinistro_r,Sinistro,GeneralFilters
57983.745,18.05,0.12,3.99350090724e-16,4.41378031578e-17,Sinistro_g,Sinistro,GeneralFilters
57983.964,18.22,0.08,2.29503156403e-16,1.69104174953e-17,EFOSC2_V,EFOSC2,GeneralFilters
57983.968,18.43,0.06,2.90374048126e-16,1.60466629106e-17,T80Cam_g,T80Cam,GeneralFilters
57983.969,18.16,0.05,2.42542954106e-16,1.11695158107e-17,EFOSC2_V,EFOSC2,GeneralFilters
57983.969,17.64,0.08,4.13868932266e-17,3.04949898844e-18,GROND_H,GROND,GeneralFilters
57983.969,17.58,0.07,8.09538760738e-17,5.21928927149e-18,GROND_J,GROND,GeneralFilters
57983.969,17.85,0.15,1.93958786499e-17,2.67963966269e-18,GROND_K,GROND,GeneralFilters
57983.969,18.49,0.04,2.77677212648e-16,1.02300065681e-17,GROND_g,GROND,GeneralFilters
57983.969,17.85,0.05,1.50954012035e-16,6.95168915677e-18,GROND_i,GROND,GeneralFilters
57983.969,17.99,0.01,2.32667631745e-16,2.14294808191e-18,GROND_r,GROND,GeneralFilters
57983.969,17.72,0.03,1.27569926044e-16,3.52488732027e-18,GROND_z,GROND,GeneralFilters
57983.97,18.13,0.08,2.49338109817e-16,1.8371910873e-17,EFOSC2_V,EFOSC2,GeneralFilters
57983.972,17.88,0.1,1.61990675159e-16,1.4919892553e-17,Sinistro_i,Sinistro,GeneralFilters
57983.974,18.51,0.04,2.69747730302e-16,9.93787364261e-18,T80Cam_g,T80Cam,GeneralFilters
57983.975,18.48,0.04,2.77305063133e-16,1.02162960733e-17,T80Cam_g,T80Cam,GeneralFilters
57983.976,18.61,0.04,2.46012853927e-16,9.06344848221e-18,T80Cam_g,T80Cam,GeneralFilters
57983.976,17.98,0.08,2.25378239552e-16,1.66064823897e-17,Sinistro_r,Sinistro,GeneralFilters
57983.976,17.32,0.03,1.40966043825e-16,3.89503573355e-18,DECam_Y,DECam,GeneralFilters
57983.977,17.59,0.02,1.36987590535e-16,2.52340467113e-18,DECam_z,DECam,GeneralFilters
57983.978,17.78,0.02,1.64860566734e-16,3.03684386708e-18,DECam_i,DECam,GeneralFilters
57983.978,18.04,0.02,2.00697142301e-16,3.69697798454e-18,DECam_r,DECam,GeneralFilters
57983.979,18.66,0.03,2.24252417207e-16,6.19632327515e-18,DECam_g,DECam,GeneralFilters
57983.98,19.94,0.05,9.03201858372e-17,4.1593982701e-18,DECam_u,DECam,GeneralFilters
57983.98,18.61,0.14,2.38426095863e-16,3.07437969504e-17,Sinistro_g,Sinistro,GeneralFilters
57983.981,17.61,0.04,2.46317725981e-17,9.07468038376e-19,FourStar_Ks,FourStar,GeneralFilters
57983.981,17.47,0.01,8.61611629261e-17,7.93573637394e-19,FourStar_J,FourStar,GeneralFilters
57983.984,18.58,0.03,2.52905223386e-16,6.9880295677e-18,T80Cam_g,T80Cam,GeneralFilters
57983.985,18.55,0.03,2.59990691522e-16,7.18380828739e-18,T80Cam_g,T80Cam,GeneralFilters
