#MJD,band,Flux,Flux_err,FilterSet,Instr
57982.9814,Swope_i,2.7142650260213554e-16,4.999860949887268e-18,KN_Filters_clean,Swope
57982.9902,FourStar_H,2.5738704505131456e-17,3.555933438382888e-18,KN_Filters_clean,FourStar
57983.0,FourStar_J,6.741571632814123e-17,9.313825407049829e-18,KN_Filters_clean,FourStar
57983.0030595,UVOT_U,1.1377204935377118e-15,2.169383277441182e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.1136890715445756e-15,1.979924325607361e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.1096197433695497e-15,2.3032557879161285e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.107785701633333e-15,2.50754308415798e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.102673403672075e-15,2.488902286621361e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.1019025900803297e-15,1.9274476171570865e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.0952607849560877e-15,2.287996710793621e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.0834720771956922e-15,2.0618005169126867e-16,KN_Filters_clean,UVOT
57983.0030595,UVOT_U,1.076751916070969e-15,2.6583654245506247e-16,KN_Filters_clean,UVOT
57983.0030595,DECam_Y,1.0248859799009996e-16,1.822049559811718e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,1.0211909446017654e-16,1.9471870032003573e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,1.0194509844935112e-16,2.3075918582844952e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,1.011425975390001e-16,2.2829429044969604e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,9.921148481623041e-17,2.0593489616217095e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,9.879089567579603e-17,2.0637390424899228e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,9.786171077829053e-17,1.7117966955497426e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,9.726107823641723e-17,1.8508362661546976e-17,KN_Filters_clean,DECam
57983.0030595,DECam_Y,9.557723084418633e-17,2.3596819477022478e-17,KN_Filters_clean,DECam
57983.0030595,DECam_g,8.623660484840215e-16,1.6443427847574034e-16,KN_Filters_clean,DECam
