#MJD,band,Flux,Flux_err,FilterSet,Instr
56459.238,sdss_r',1.7894507632141482e-16,8.240725304025497e-18,GeneralFilters,P48
56459.291,sdss_r',1.7763140595583244e-16,8.18022854805869e-18,GeneralFilters,P48
56460.24,sdss_r',4.490759044678902e-16,1.6544567732010855e-17,GeneralFilters,P48
56460.288,sdss_r',4.745912788086768e-16,1.7484588861565968e-17,GeneralFilters,P48
56460.377,sdss_i',2.5791868635247614e-16,2.375518889600888e-18,GeneralFilters,P60
56460.378,sdss_r',4.978743509633563e-16,4.585592234855119e-18,GeneralFilters,P60
56460.383,sdss_g',7.684284140753242e-16,7.07748724513486e-18,GeneralFilters,P60
56461.171,sdss_i',3.8750990529045225e-16,3.5690981252375065e-18,GeneralFilters,P60
56461.174,sdss_r',7.480312703103879e-16,6.889622608450925e-18,GeneralFilters,P60
56461.227,sdss_r',7.330266315638681e-16,2.7005699113701588e-17,GeneralFilters,P60
56461.271,sdss_r',7.501010152356156e-16,2.7634742654680085e-17,GeneralFilters,P60
56461.303,sdss_i',3.9690156207674187e-16,3.655598480897004e-18,GeneralFilters,P60
56461.305,sdss_r',7.591362903271786e-16,6.991903622634729e-18,GeneralFilters,P60
56461.336,sdss_i',4.0428051303658342e-16,3.723561130823357e-18,GeneralFilters,P60
56461.337,sdss_g',1.055852895732109e-15,9.724764552421216e-18,GeneralFilters,P60
56467.275,sdss_i',1.4226000124212761e-15,1.310263032758122e-17,GeneralFilters,P60
56467.277,sdss_r',2.6639112582166357e-15,2.453552940885209e-17,GeneralFilters,P60
56467.278,sdss_g',4.305299962105462e-15,3.965327805433791e-17,GeneralFilters,P60
56469.259,sdss_i',1.7198192596631552e-15,1.5840120759831846e-17,GeneralFilters,P60
56469.26,sdss_r',3.199777301322565e-15,2.947103805966646e-17,GeneralFilters,P60
56469.261,sdss_g',5.2529517940911044e-15,4.838147398117537e-17,GeneralFilters,P60
56470.222,sdss_i',1.8479184780076877e-15,1.701995816215183e-17,GeneralFilters,P60
56470.223,sdss_r',3.4097281360298984e-15,3.1404756708693795e-17,GeneralFilters,P60
56470.224,sdss_g',5.556526825291871e-15,5.117750334681524e-17,GeneralFilters,P60
56471.185,sdss_i',1.9673553386567913e-15,1.8120012301549205e-17,GeneralFilters,P60
56471.186,sdss_r',3.6468655576421555e-15,3.3588873076711846e-17,GeneralFilters,P60
56471.187,sdss_g',5.86142773981648e-15,5.3985744549440534e-17,GeneralFilters,P60
56472.19,sdss_i',2.0487209483268877e-15,1.88694172612757e-17,GeneralFilters,P60
56472.191,sdss_r',3.846978448070544e-15,3.5431980910417935e-17,GeneralFilters,P60
56472.204,sdss_g',6.053456352350633e-15,5.57543934319807e-17,GeneralFilters,P60
56473.282,sdss_i',2.1691161514089876e-15,1.9978298060835112e-17,GeneralFilters,P60
56473.282,sdss_r',3.987674978621412e-15,3.672784384589498e-17,GeneralFilters,P60
