MJD	band	Flux	Flux_err	FilterSet	Instr
57982.9814	Swope_i	2.714265026021355e-16	4.9998609498872686e-18	KN_Filters_clean	Swope
57982.9902	FourStar_H	2.573870450513146e-17	3.5559334383828885e-18	KN_Filters_clean	FourStar
57983.0	FourStar_J	6.741571632814122e-17	9.313825407049829e-18	KN_Filters_clean	FourStar
57983.0030595	UVOT_U	1.1377204935377118e-15	2.1693832774411822e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.1136890715445756e-15	1.979924325607361e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.1096197433695497e-15	2.3032557879161285e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.107785701633333e-15	2.50754308415798e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.102673403672075e-15	2.4889022866213613e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.1019025900803297e-15	1.9274476171570863e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.0952607849560877e-15	2.287996710793621e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.0834720771956922e-15	2.0618005169126867e-16	KN_Filters_clean	UVOT
57983.0030595	UVOT_U	1.076751916070969e-15	2.6583654245506247e-16	KN_Filters_clean	UVOT
57983.0030595	DECam_Y	1.0248859799009995e-16	1.822049559811718e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	1.0211909446017654e-16	1.9471870032003573e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	1.0194509844935111e-16	2.3075918582844952e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	1.011425975390001e-16	2.2829429044969604e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	9.92114848162304e-17	2.0593489616217098e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	9.879089567579603e-17	2.0637390424899228e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	9.786171077829052e-17	1.7117966955497426e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	9.726107823641724e-17	1.8508362661546976e-17	KN_Filters_clean	DECam
57983.0030595	DECam_Y	9.557723084418632e-17	2.359681947702248e-17	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.623660484840215e-16	1.6443427847574034e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.509405443397106e-16	1.512808131487824e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.475694163883918e-16	1.9185270447924004e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.429296976201896e-16	1.9026210706463255e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.38460163794e-16	1.740405428737922e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.311337095403232e-16	1.4538187879914063e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.303205183854776e-16	1.734537236309062e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.192254463013197e-16	1.5589506035257123e-16	KN_Filters_clean	DECam
57983.0030595	DECam_g	8.0797344573267435e-16	1.9947850939829998e-16	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.351157483037529e-16	4.483141294630805e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.348087048972957e-16	4.174445799712838e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.3373074957123873e-16	5.29064352228169e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.320680894926005e-16	5.2381312242102226e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.2836936311923616e-16	4.7403000940502164e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.2706108865368007e-16	4.743299779608336e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.256023046288314e-16	3.946234707102489e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.2362324138035333e-16	4.2554535956672376e-17	KN_Filters_clean	DECam
57983.0030595	DECam_i	2.1974332918026331e-16	5.4251871749566545e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	4.03362087478517e-16	7.691229720315499e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	4.0099688832866853e-16	7.128951104749043e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.993461463930405e-16	9.039452902301894e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.96770731190259e-16	8.955721402484941e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.91808713954245e-16	8.132837339664941e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.8900006890914287e-16	8.126200539513563e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.875871175211103e-16	6.779672475907537e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.832975983316587e-16	7.293987570196777e-17	KN_Filters_clean	DECam
57983.0030595	DECam_r	3.768863379201679e-16	9.304850957409827e-17	KN_Filters_clean	DECam
57983.0030595	DECam_u	1.0132428452996642e-15	1.932031722260617e-16	KN_Filters_clean	DECam
57983.0030595	DECam_u	9.941251504549486e-16	1.767362739185092e-16	KN_Filters_clean	DECam
57983.0030595	DECam_u	9.895470416898158e-16	2.2399023901373555e-16	KN_Filters_clean	DECam
