MJD	band	Flux	Flux_err	FilterSet	Instr
57982.981	Swope_i	2.7123872793862084e-16	4.996401810965905e-18	GeneralFilters	E2V4kx4kccd
57982.99	FourStar_H	2.572089829766606e-17	3.553473276409253e-18	GeneralFilters	FourStar
57982.999	VISTA_Ks	1.006978656733957e-17	4.63730790063737e-19	GeneralFilters	VIRCAM
57983.0	FourStar_J	6.736907768614266e-17	9.307381664644106e-18	GeneralFilters	FourStar
57983.003	DECam_i	2.6204247627312897e-16	7.240500902739212e-18	GeneralFilters	DECam
57983.004	DECam_z	1.575117058222635e-16	4.3522090938097134e-18	GeneralFilters	DECam
57983.009	VISTA_J	6.036551060113702e-17	1.6679606307282446e-18	GeneralFilters	VIRCAM
57983.019	VISTA_Y	1.3280086416077863e-16	1.223141111210512e-18	GeneralFilters	VIRCAM
57983.029	VISTA_Ks	9.885992249136032e-18	5.463200991118026e-19	GeneralFilters	VIRCAM
57983.03	FourStar_Ks	1.220855104945373e-17	1.6866735910829163e-18	GeneralFilters	FourStar
57983.039	VISTA_J	6.379532855598002e-17	1.7627299992409135e-18	GeneralFilters	VIRCAM
57983.059	FLAMINGOS-2_Ks	1.208874578696743e-17	4.453658354860212e-19	GeneralFilters	FLAMINGOS-2
57983.156	UVOT_M2	2.2410281026530873e-16	4.5409387704944566e-17	GeneralFilters	UVOT
57983.162	UVOT_W1	8.66877274645258e-16	8.782657881536579e-17	GeneralFilters	UVOT
57983.167	UVOT_U	9.431003450473094e-16	7.817647348798023e-17	GeneralFilters	UVOT
57983.172	UVOT_W2	2.8636748981643445e-16	6.066346476153968e-17	GeneralFilters	UVOT
57983.229	HSC_z	1.8516384533219902e-16	1.7054219712199491e-18	GeneralFilters	HSC
57983.231	GFC_i	3.4481626669903756e-16	1.9055250322965944e-17	GeneralFilters	GFC
57983.231	GFC_y	1.613408682119801e-16	1.486004252128693e-17	GeneralFilters	GFC
57983.231	GFC_z	2.3219362611586793e-16	1.2831493454114355e-17	GeneralFilters	GFC
57983.387	Skymapper_i	2.6223529883356695e-16	1.2076381311284037e-17	GeneralFilters	Skymapper
57983.401	Sinistro_g	1.1668496740993519e-15	1.2896498672803358e-16	GeneralFilters	Sinistro
57983.405	Sinistro_r	6.001311252309235e-16	1.1054823415935365e-17	GeneralFilters	Sinistro
57983.419	Skymapper_r	5.344617860265451e-16	3.4458023364155486e-17	GeneralFilters	Skymapper
57983.421	Skymapper_g	7.618237587236754e-16	5.6133246703334e-17	GeneralFilters	Skymapper
57983.569	UVOT_W1	4.3446782317442104e-16	8.403352378029874e-17	GeneralFilters	UVOT
57983.572	UVOT_U	4.472577799349907e-16	6.59103395336141e-17	GeneralFilters	UVOT
57983.594	UVOT_M2	6.172303925319193e-17	2.842450886764898e-17	GeneralFilters	UVOT
57983.699	SIRIUS_H	4.4580411892645846e-17	1.6424030034875453e-18	GeneralFilters	SIRIUS
57983.699	SIRIUS_J	8.407889878345815e-17	2.3231857338577443e-18	GeneralFilters	SIRIUS
57983.699	SIRIUS_Ks	1.925292361953498e-17	8.866298626480389e-19	GeneralFilters	SIRIUS
57983.741	Sinistro_r	3.61614762409913e-16	6.661189821630847e-18	GeneralFilters	Sinistro
57983.745	Sinistro_g	5.741361718536678e-16	6.345587218877088e-17	GeneralFilters	Sinistro
57983.964	EFOSC2_V	3.095944873192842e-16	2.28117639227665e-17	GeneralFilters	EFOSC2
57983.968	T80Cam_g	4.150510277148315e-16	2.2936566495635714e-17	GeneralFilters	T80Cam
57983.969	EFOSC2_V	3.2718487495573887e-16	1.5067419705942684e-17	GeneralFilters	EFOSC2
57983.969	GROND_H	4.3682627719933937e-17	3.2186548271557786e-18	GeneralFilters	GROND
57983.969	GROND_J	8.820849047116813e-17	5.687011316891239e-18	GeneralFilters	GROND
57983.969	GROND_K	2.0073199760006374e-17	2.773214920159023e-18	GeneralFilters	GROND
57983.969	GROND_g	4.05399541707214e-16	1.4935470459871258e-17	GeneralFilters	GROND
57983.969	GROND_i	1.8347929921099045e-16	8.449533643465133e-18	GeneralFilters	GROND
57983.969	GROND_r	3.0237053144863264e-16	2.7849354006297433e-18	GeneralFilters	GROND
57983.969	GROND_z	1.4749642437072468e-16	4.0754766517251165e-18	GeneralFilters	GROND
57983.97	EFOSC2_V	3.363513839540208e-16	2.4783284845578067e-17	GeneralFilters	EFOSC2
57983.972	Sinistro_i	1.9787715500827357e-16	1.8225158758560468e-17	GeneralFilters	Sinistro
57983.974	T80Cam_g	3.8556845354493113e-16	1.4204866201701653e-17	GeneralFilters	T80Cam
57983.975	T80Cam_g	3.9637065428782446e-16	1.4602833968092314e-17	GeneralFilters	T80Cam
57983.976	T80Cam_g	3.516426089469948e-16	1.2954991947543716e-17	GeneralFilters	T80Cam
57983.976	Sinistro_r	2.925810213479455e-16	2.1558165473277023e-17	GeneralFilters	Sinistro
57983.976	DECam_Y	1.5940539236364848e-16	4.40453358449887e-18	GeneralFilters	DECam
57983.977	DECam_z	1.575117058222635e-16	2.9014727292064756e-18	GeneralFilters	DECam
57983.978	DECam_i	1.987795462056093e-16	3.6616544111985444e-18	GeneralFilters	DECam
57983.978	DECam_r	2.580624957967905e-16	4.753686655086527e-18	GeneralFilters	DECam
57983.979	DECam_g	3.1996095567539806e-16	8.840847565480115e-18	GeneralFilters	DECam
57983.98	DECam_u	1.4232244410263918e-16	6.55419049907762e-18	GeneralFilters	DECam
57983.98	Sinistro_g	3.427795539006328e-16	4.419962731060512e-17	GeneralFilters	Sinistro
