MJD	band	Flux	Flux_err	FilterSet	Instr
57982.9902	H	2.5024355801176262e-17	3.45724251776786e-18	GeneralFilters	Magellan
57983.0	J	6.599919339490131e-17	9.11812553165374e-18	GeneralFilters	Magellan
57983.0	Bessell_V	6.027171342483943e-16	1.1102459908908822e-17	GeneralFilters	Magellan
57983.0106	sdss_g	9.860750163325016e-16	3.632834613093187e-17	GeneralFilters	Magellan
57983.03	Ks	1.2253364947696339e-17	1.6928649280564444e-18	GeneralFilters	Magellan
57983.964	Bessell_V	2.704665354281382e-16	1.992871080414861e-17	GeneralFilters	NTT
57983.9687	Bessell_V	2.85833770296746e-16	1.3163131571187697e-17	GeneralFilters	NTT
57983.9701	Bessell_V	2.938417744204613e-16	2.165106206336356e-17	GeneralFilters	NTT
57983.9768	sdss_z	1.6256539069124702e-16	8.983695485799404e-18	GeneralFilters	Magellan
57983.9784	sdss_z	1.6406958973131378e-16	9.066820596675647e-18	GeneralFilters	Magellan
57983.979	sdss_z	1.6406958973131378e-16	9.066820596675647e-18	GeneralFilters	Magellan
57983.9798	sdss_i	2.1094689907663318e-16	5.82867822272865e-18	GeneralFilters	Magellan
57983.9806	sdss_r	2.9712611243537855e-16	8.209897886785717e-18	GeneralFilters	Magellan
57983.981	Ks	2.5600907975215155e-17	9.431723051333119e-19	GeneralFilters	Magellan
57983.9813	J	9.19472252671217e-17	8.468652409690162e-19	GeneralFilters	Magellan
57983.9814	sdss_g	3.2652012602362424e-16	9.022084496946171e-18	GeneralFilters	Magellan
57983.9829	Bessell_B	2.2288502631048297e-16	1.2317081736848453e-17	GeneralFilters	Magellan
57983.9843	Bessell_B	2.2288502631048297e-16	1.4369928692992348e-17	GeneralFilters	Magellan
57983.9875	sdss_g	3.1182429953930934e-16	8.616023805043982e-18	GeneralFilters	Magellan
57983.9902	H	4.9472391682186094e-17	4.556575664087639e-19	GeneralFilters	Magellan
57984.0105	Bessell_V	2.9114781683950477e-16	1.0726281966587916e-17	GeneralFilters	NTT
57984.0118	Bessell_V	2.85833770296746e-16	1.5795757885360255e-17	GeneralFilters	NTT
57984.0129	Bessell_V	2.8061671603463724e-16	1.0338301874966743e-17	GeneralFilters	NTT
57984.0461	Bessell_V	2.6309557146149527e-16	1.453919858114572e-17	GeneralFilters	NTT
57984.0471	Bessell_V	2.8061671603463724e-16	2.58457546874507e-17	GeneralFilters	NTT
57984.0481	Bessell_U	1.3668136565367286e-16	2.8954283703998957e-17	GeneralFilters	NTT
57984.052	Bessell_U	1.2465488701414697e-16	3.214719027600589e-17	GeneralFilters	NTT
57984.0559	Bessell_U	1.3794606275893292e-16	3.5574845347503355e-17	GeneralFilters	NTT
57984.962	Ks	2.7055487799962364e-17	1.4951415094037056e-18	GeneralFilters	Magellan
57984.9625	J	8.541588163076464e-17	7.867093429918732e-19	GeneralFilters	Magellan
57984.9714	H	4.7245767269252677e-17	4.351495976855281e-19	GeneralFilters	Magellan
57984.9714	Bessell_V	9.122492981679854e-17	9.242339194244905e-18	GeneralFilters	NTT
57985.0	Bessell_V	8.243535981931156e-17	6.074061780974348e-18	GeneralFilters	Magellan
57985.0094	sdss_r	1.1612903594748651e-16	2.1391758962939225e-18	GeneralFilters	Magellan
57985.0164	Bessell_V	8.093074493471385e-17	8.944796488872642e-18	GeneralFilters	NTT
57985.0537	Bessell_V	7.657967835421114e-17	1.4106498064422195e-17	GeneralFilters	NTT
57985.9687	Bessell_V	3.192372330194102e-17	5.880567151028285e-18	GeneralFilters	NTT
57985.9728	J	6.479457235649912e-17	5.967800656591826e-19	GeneralFilters	Magellan
57986.0156	Bessell_V	3.1631044847452166e-17	4.369990340494973e-18	GeneralFilters	NTT
57986.0531	Bessell_V	2.8061671603463724e-17	8.012183953100242e-18	GeneralFilters	NTT
57986.971	Y	7.305760279869996e-17	1.3457707770752403e-18	GeneralFilters	du-Pont
57986.983	H	3.7184582210237364e-17	6.8496531749057685e-19	GeneralFilters	du-Pont
57986.998	J	5.14681582796633e-17	9.480785121479295e-19	GeneralFilters	du-Pont
57987.0	Bessell_V	9.552422830508959e-18	1.9355834442097695e-18	GeneralFilters	Magellan
57987.0192	sdss_g	1.761610764550611e-17	9.735020846664325e-19	GeneralFilters	Magellan
57987.0217	Bessell_B	9.038178059278736e-18	1.1654257477591296e-18	GeneralFilters	Magellan
57987.9714	sdss_z	4.2367037005634684e-17	4.682577976487495e-18	GeneralFilters	Magellan
57988.0	H	3.6843671911333574e-17	6.7868551771358036e-18	GeneralFilters	du-Pont
57988.0	Y	5.803171666428006e-17	5.344918628488469e-18	GeneralFilters	du-Pont
57989.2344	Bessell_I	1.0502870519134189e-17	8.706151112766914e-19	GeneralFilters	Keck
57989.9698	sdss_z	2.0465770141916083e-17	1.3194769628752654e-18	GeneralFilters	Magellan
57989.9897	sdss_i	7.314306339857064e-18	1.2126105175496186e-18	GeneralFilters	Swope
57989.99	J	2.2674547445803673e-17	8.353611990260748e-19	GeneralFilters	du-Pont
57990.0302	Bessell_B	2.6551000630168043e-18	7.580856343636349e-19	GeneralFilters	Magellan
57990.972	sdss_z	1.2561112119533953e-17	8.098448264994228e-19	GeneralFilters	Magellan
57991.0	J	1.7042708971802922e-17	1.5696915049072236e-18	GeneralFilters	du-Pont
57991.97	H	1.0431887774562055e-17	4.804061856302906e-19	GeneralFilters	du-Pont
57992.984	H	9.254711956106358e-18	7.67151424443406e-19	GeneralFilters	du-Pont
57993.997	H	7.020416953262353e-18	9.052460156980636e-19	GeneralFilters	NTT
57994.962	Ks	5.1080526911913225e-18	4.234221353149175e-19	GeneralFilters	Magellan
57994.985	Ks	5.299749816603451e-18	4.393124972751174e-19	GeneralFilters	NTT
57995.978	Ks	4.408139893361262e-18	3.6540421942602727e-19	GeneralFilters	Magellan
57995.99	Ks	4.789116132631662e-18	3.9698450696264403e-19	GeneralFilters	NTT
57997.9697	Ks	2.2922150967026836e-18	2.1112081246485017e-19	GeneralFilters	Magellan
58000.96	Ks	1.3435547494551474e-18	1.6086975516153367e-19	GeneralFilters	Magellan
58000.99	Ks	1.2029715832504122e-18	1.8835622157246328e-19	GeneralFilters	Magellan
57972.358588885785	Bessell_V	7.976680024605325e-19	7.976680024605324e-20	SUDO_PTS	SUDO_PTS
57974.389288834485	Bessell_V	4.785910029418744e-18	4.785910029418744e-19	SUDO_PTS	SUDO_PTS
57975.604188803794	Bessell_V	8.774380766061955e-18	8.774380766061956e-19	SUDO_PTS	SUDO_PTS
57976.56158877961	Bessell_V	1.276268803936852e-17	1.276268803936852e-18	SUDO_PTS	SUDO_PTS
57977.37778875899	Bessell_V	1.6751087807654128e-17	1.6751087807654128e-18	SUDO_PTS	SUDO_PTS
57978.10128874071	Bessell_V	2.0739215134336044e-17	2.0739215134336045e-18	SUDO_PTS	SUDO_PTS
57978.75798872412	Bessell_V	2.4727467963212283e-17	2.4727467963212285e-18	SUDO_PTS	SUDO_PTS
57979.363588708824	Bessell_V	2.871604808857917e-17	2.871604808857917e-18	SUDO_PTS	SUDO_PTS
57979.928388694556	Bessell_V	3.2704555388373806e-17	3.2704555388373806e-18	SUDO_PTS	SUDO_PTS
57980.45958868114	Bessell_V	3.6692385930529157e-17	3.669238593052916e-18	SUDO_PTS	SUDO_PTS
57980.96268866843	Bessell_V	4.068073285557169e-17	4.068073285557169e-18	SUDO_PTS	SUDO_PTS
57981.44168865633	Bessell_V	4.4669203645045954e-17	4.466920364504596e-18	SUDO_PTS	SUDO_PTS
57981.899788644754	Bessell_V	4.865810571064767e-17	4.8658105710647675e-18	SUDO_PTS	SUDO_PTS
57982.33938863365	Bessell_V	5.2646293488244055e-17	5.2646293488244055e-18	SUDO_PTS	SUDO_PTS
57982.76258862296	Bessell_V	5.663408436647166e-17	5.663408436647166e-18	SUDO_PTS	SUDO_PTS
57983.171188612636	Bessell_V	6.06224223305551e-17	6.062242233055511e-18	SUDO_PTS	SUDO_PTS
57983.56658860265	Bessell_V	6.461110819930313e-17	6.461110819930313e-18	SUDO_PTS	SUDO_PTS
57983.949888592964	Bessell_V	6.859903096415442e-17	6.8599030964154435e-18	SUDO_PTS	SUDO_PTS
57984.32228858356	Bessell_V	7.258791627418503e-17	7.258791627418503e-18	SUDO_PTS	SUDO_PTS
57984.68448857441	Bessell_V	7.657567616903301e-17	7.657567616903302e-18	SUDO_PTS	SUDO_PTS
57971.37078126982	Bessell_B	2.2288541051190728e-18	2.228854105119073e-19	SUDO_PTS	SUDO_PTS
57973.40148121852	Bessell_B	1.3372850838815365e-17	1.3372850838815366e-18	SUDO_PTS	SUDO_PTS
57974.61638118783	Bessell_B	2.4517486636030213e-17	2.4517486636030214e-18	SUDO_PTS	SUDO_PTS
57975.57378116364	Bessell_B	3.5661665681905164e-17	3.566166568190517e-18	SUDO_PTS	SUDO_PTS
57976.389981143024	Bessell_B	4.680610317843013e-17	4.6806103178430135e-18	SUDO_PTS	SUDO_PTS
57977.11348112475	Bessell_B	5.794977941515164e-17	5.794977941515164e-18	SUDO_PTS	SUDO_PTS
57977.77018110816	Bessell_B	6.909380633170505e-17	6.909380633170504e-18	SUDO_PTS	SUDO_PTS
57978.37578109286	Bessell_B	8.02387477842866e-17	8.023874778428662e-18	SUDO_PTS	SUDO_PTS
57978.94058107859	Bessell_B	9.138348574672546e-17	9.138348574672546e-18	SUDO_PTS	SUDO_PTS
57979.47178106517	Bessell_B	1.0252633270433794e-16	1.0252633270433795e-17	SUDO_PTS	SUDO_PTS
57979.97488105246	Bessell_B	1.1367062254559919e-16	1.136706225455992e-17	SUDO_PTS	SUDO_PTS
57980.45388104036	Bessell_B	1.2481525849043524e-16	1.2481525849043524e-17	SUDO_PTS	SUDO_PTS
57980.91198102879	Bessell_B	1.359610995125267e-16	1.3596109951252671e-17	SUDO_PTS	SUDO_PTS
57981.35158101768	Bessell_B	1.4710494466196431e-16	1.471049446619643e-17	SUDO_PTS	SUDO_PTS
57981.77478100699	Bessell_B	1.5824768079012408e-16	1.582476807901241e-17	SUDO_PTS	SUDO_PTS
57982.18338099667	Bessell_B	1.6939194559255915e-16	1.693919455925592e-17	SUDO_PTS	SUDO_PTS
57982.57878098668	Bessell_B	1.8053718251464484e-16	1.8053718251464484e-17	SUDO_PTS	SUDO_PTS
57982.962080977	Bessell_B	1.9168028716209046e-16	1.9168028716209044e-17	SUDO_PTS	SUDO_PTS
57983.33448096759	Bessell_B	2.028260813655514e-16	2.028260813655514e-17	SUDO_PTS	SUDO_PTS
57983.69668095844	Bessell_B	2.139687309195567e-16	2.1396873091955673e-17	SUDO_PTS	SUDO_PTS
57979.69520315835	H	4.8300631978567025e-19	4.8300631978567026e-20	SUDO_PTS	SUDO_PTS
57980.46580313888	H	2.898266057468745e-18	2.898266057468745e-19	SUDO_PTS	SUDO_PTS
57980.92680312724	H	5.313565310944516e-18	5.313565310944516e-19	SUDO_PTS	SUDO_PTS
57981.29020311806	H	7.729554928563289e-18	7.729554928563288e-19	SUDO_PTS	SUDO_PTS
57981.59990311023	H	1.0144821246514612e-17	1.0144821246514613e-18	SUDO_PTS	SUDO_PTS
57981.8744031033	H	1.2559658257510498e-17	1.2559658257510499e-18	SUDO_PTS	SUDO_PTS
57982.123603097	H	1.497498137086802e-17	1.497498137086802e-18	SUDO_PTS	SUDO_PTS
57982.3534030912	H	1.7390408196089764e-17	1.7390408196089764e-18	SUDO_PTS	SUDO_PTS
57982.56780308578	H	1.9806740124390256e-17	1.980674012439026e-18	SUDO_PTS	SUDO_PTS
57982.76940308069	H	2.2222153207960906e-17	2.2222153207960907e-18	SUDO_PTS	SUDO_PTS
57982.960303075866	H	2.4637431695135583e-17	2.4637431695135583e-18	SUDO_PTS	SUDO_PTS
57970.88078126858	J	9.172546579952619e-19	9.17254657995262e-20	SUDO_PTS	SUDO_PTS
57972.91148121728	J	5.5034152726312856e-18	5.503415272631285e-19	SUDO_PTS	SUDO_PTS
57974.12638118659	J	1.0089838885185298e-17	1.0089838885185298e-18	SUDO_PTS	SUDO_PTS
57975.0837811624	J	1.467607452792419e-17	1.4676074527924193e-18	SUDO_PTS	SUDO_PTS
57975.89998114178	J	1.926241653252053e-17	1.926241653252053e-18	SUDO_PTS	SUDO_PTS
57976.623481123504	J	2.3848445250976212e-17	2.3848445250976213e-18	SUDO_PTS	SUDO_PTS
57977.280181106915	J	2.843461828695745e-17	2.8434618286957456e-18	SUDO_PTS	SUDO_PTS
57977.885781091616	J	3.3021167687829425e-17	3.302116768782943e-18	SUDO_PTS	SUDO_PTS
57978.45058107735	J	3.760763334509484e-17	3.760763334509484e-18	SUDO_PTS	SUDO_PTS
57978.98178106393	J	4.2193320784987797e-17	4.21933207849878e-18	SUDO_PTS	SUDO_PTS
57979.48488105122	J	4.677960202406427e-17	4.677960202406427e-18	SUDO_PTS	SUDO_PTS
57979.96388103912	J	5.1366025697369777e-17	5.1366025697369784e-18	SUDO_PTS	SUDO_PTS
57980.421981027546	J	5.595294530386501e-17	5.595294530386501e-18	SUDO_PTS	SUDO_PTS
57980.86158101644	J	6.05390435360566e-17	6.053904353605661e-18	SUDO_PTS	SUDO_PTS
57981.28478100575	J	6.512468536559242e-17	6.512468536559242e-18	SUDO_PTS	SUDO_PTS
57981.69338099543	J	6.971095630027979e-17	6.97109563002798e-18	SUDO_PTS	SUDO_PTS
57982.08878098544	J	7.429762729761621e-17	7.42976272976162e-18	SUDO_PTS	SUDO_PTS
57982.47208097576	J	7.888342078626274e-17	7.888342078626276e-18	SUDO_PTS	SUDO_PTS
57982.84448096635	J	8.347032112518599e-17	8.347032112518599e-18	SUDO_PTS	SUDO_PTS
57983.2066809572	J	8.805592732630348e-17	8.805592732630348e-18	SUDO_PTS	SUDO_PTS
57970.2959069078	Ks	2.705418111321476e-19	2.705418111321476e-20	SUDO_PTS	SUDO_PTS
57972.657706848135	Ks	1.6233699294314087e-18	1.6233699294314088e-19	SUDO_PTS	SUDO_PTS
57974.070506812444	Ks	2.9760956530666136e-18	2.9760956530666143e-19	SUDO_PTS	SUDO_PTS
57975.184006784315	Ks	4.328934658799151e-18	4.3289346587991505e-19	SUDO_PTS	SUDO_PTS
57976.133206760336	Ks	5.681696745218152e-18	5.681696745218152e-19	SUDO_PTS	SUDO_PTS
57976.97460673908	Ks	7.034370741570444e-18	7.034370741570444e-19	SUDO_PTS	SUDO_PTS
57977.738406719785	Ks	8.387242735726431e-18	8.387242735726432e-19	SUDO_PTS	SUDO_PTS
57978.442606701996	Ks	9.739903719746224e-18	9.739903719746224e-19	SUDO_PTS	SUDO_PTS
57979.0995066854	Ks	1.1092830255020497e-17	1.1092830255020496e-18	SUDO_PTS	SUDO_PTS
