MJD	band	Flux	Flux_err	FilterSet	Instr
57982.9814	sdss_i	2.755326985153537e-16	5.075499873875362e-18	GeneralFilters	Swope
57983.0	Bessell_V	6.027171342483943e-16	1.1102459908908822e-17	GeneralFilters	LDSS
57983.0106	sdss_g	9.860750163325016e-16	3.632834613093187e-17	GeneralFilters	LDSS
57983.401	sdss_g	1.1115012500088157e-15	1.2284765803742546e-16	GeneralFilters	Sinistro
57983.405	sdss_r	5.714007692668039e-16	1.0525591147511836e-17	GeneralFilters	Sinistro
57983.741	sdss_r	3.443030110125485e-16	6.342295845036104e-18	GeneralFilters	Sinistro
57983.745	sdss_g	5.469025589642975e-16	6.044590462028063e-17	GeneralFilters	Sinistro
57983.964	Bessell_V	2.704665354281382e-16	1.992871080414861e-17	GeneralFilters	EFOSC2
57983.9687	Bessell_V	2.85833770296746e-16	1.3163131571187697e-17	GeneralFilters	EFOSC2
57983.9701	Bessell_V	2.938417744204613e-16	2.165106206336356e-17	GeneralFilters	EFOSC2
57983.972	sdss_i	1.906220543337205e-16	1.7556940028190088e-17	GeneralFilters	Sinistro
57983.976	sdss_r	2.7857415428465344e-16	2.0526102238423674e-17	GeneralFilters	Sinistro
57983.9768	sdss_z	1.6256539069124702e-16	8.983695485799404e-18	GeneralFilters	LDSS
57983.9784	sdss_z	1.6406958973131378e-16	9.066820596675647e-18	GeneralFilters	LDSS
57983.979	sdss_z	1.6406958973131378e-16	9.066820596675647e-18	GeneralFilters	LDSS
57983.9798	sdss_i	2.1094689907663318e-16	5.82867822272865e-18	GeneralFilters	LDSS
57983.98	sdss_g	3.2652012602362424e-16	4.210306098575841e-17	GeneralFilters	Sinistro
57983.9806	sdss_r	2.9712611243537855e-16	8.209897886785717e-18	GeneralFilters	LDSS
57983.9814	sdss_g	3.2652012602362424e-16	9.022084496946171e-18	GeneralFilters	LDSS
57983.9829	Bessell_B	2.2288502631048297e-16	1.2317081736848453e-17	GeneralFilters	LDSS
57983.9843	Bessell_B	2.2288502631048297e-16	1.4369928692992348e-17	GeneralFilters	LDSS
57983.9875	sdss_g	3.1182429953930934e-16	8.616023805043982e-18	GeneralFilters	LDSS
57983.9948	Bessell_V	2.704665354281382e-16	9.964355402087842e-18	GeneralFilters	Swope
57984.0105	Bessell_V	2.9114781683950477e-16	1.0726281966587916e-17	GeneralFilters	EFOSC2
