MJD	band	Flux	Flux_err	FilterSet	Instr
57982.9814	Swope_i	2.7142650260213554e-16	4.999860949887268e-18	KN_Filters_clean	Swope
57983.011	Sinistro_w	7.232438898334967e-16	2.6645289589264473e-17	KN_Filters_clean	Sinistro
57983.382	Sinistro_w	8.536596877792861e-16	3.144998514507963e-17	KN_Filters_clean	Sinistro
57983.401	Sinistro_g	1.1676574673189663e-15	1.2905427254261017e-16	KN_Filters_clean	Sinistro
57983.405	Sinistro_r	6.005465873643382e-16	1.106247695771177e-17	KN_Filters_clean	Sinistro
57983.733	Sinistro_w	4.734616129580006e-16	1.7442970433671735e-17	KN_Filters_clean	Sinistro
57983.741	Sinistro_r	3.618651031002012e-16	6.665801536588196e-18	KN_Filters_clean	Sinistro
57983.745	Sinistro_g	5.745336380545589e-16	6.349980433962836e-17	KN_Filters_clean	Sinistro
57983.964	EFOSC2_V	3.0980881512349077e-16	2.282755710018618e-17	KN_Filters_clean	EFOSC2
57983.968	Sinistro_w	3.658345961210092e-16	1.3477844600515456e-17	KN_Filters_clean	Sinistro
57983.9687	EFOSC2_V	3.2741138033057934e-16	1.5077851272510126e-17	KN_Filters_clean	EFOSC2
57983.9701	EFOSC2_V	3.365842351723135e-16	2.480044295828302e-17	KN_Filters_clean	EFOSC2
57983.972	Sinistro_i	1.9801414251214208e-16	1.8237776510010734e-17	KN_Filters_clean	Sinistro
57983.976	Sinistro_r	2.9278357097469917e-16	2.1573090752015665e-17	KN_Filters_clean	Sinistro
57983.98	Sinistro_g	3.430168552484118e-16	4.4230227862228055e-17	KN_Filters_clean	Sinistro
57983.9948	Swope_V	3.07212145192459e-16	1.1318113694507585e-17	KN_Filters_clean	Swope
57984.0105	EFOSC2_V	3.334984123562109e-16	1.2286535565257812e-17	KN_Filters_clean	EFOSC2
57984.0118	EFOSC2_V	3.2741138033057934e-16	1.8093421527093145e-17	KN_Filters_clean	EFOSC2
57984.0129	EFOSC2_V	3.2143544916147945e-16	1.1842119577575823e-17	KN_Filters_clean	EFOSC2
57984.0342	Swope_B	2.5339010365404063e-16	9.335236406176578e-18	KN_Filters_clean	Swope
57984.0438	Swope_i	2.0213999505312531e-16	3.723556314462948e-18	KN_Filters_clean	Swope
57984.0461	EFOSC2_V	3.0136566481291374e-16	1.6654082096116416e-17	KN_Filters_clean	EFOSC2
57984.0471	EFOSC2_V	3.2143544916147945e-16	2.9605298943939553e-17	KN_Filters_clean	EFOSC2
57984.0472	Swope_r	2.8688457322655855e-16	5.284609133756243e-18	KN_Filters_clean	Swope
57984.0481	EFOSC2_U	1.495818106986333e-16	3.168708596973694e-17	KN_Filters_clean	EFOSC2
57984.052	EFOSC2_U	1.364202327275893e-16	3.518134975723456e-17	KN_Filters_clean	EFOSC2
57984.0548	Swope_g	3.735430045608241e-16	4.128549858684014e-17	KN_Filters_clean	Swope
57984.0559	EFOSC2_U	1.5096587415208725e-16	3.8932518393793175e-17	KN_Filters_clean	EFOSC2
57984.357	Sinistro_w	2.394885603460159e-16	1.102885577989561e-17	KN_Filters_clean	Sinistro
57984.361	Sinistro_i	1.6622494940359674e-16	1.9902848710164717e-17	KN_Filters_clean	Sinistro
