#wls	flux	fluxerr
1.024309E+04	1.295100E-17	5.990600E-18
1.024429E+04	1.306800E-17	5.991000E-18
1.024489E+04	1.310900E-17	5.922500E-18
1.024549E+04	1.321700E-17	6.004900E-18
1.024609E+04	1.312100E-17	5.880600E-18
1.024669E+04	1.321500E-17	5.797400E-18
1.024729E+04	1.332600E-17	5.755200E-18
1.024789E+04	1.337100E-17	5.776200E-18
1.024849E+04	1.328400E-17	5.753500E-18
1.024909E+04	1.336200E-17	5.795600E-18
1.024969E+04	1.327200E-17	5.830800E-18
1.025029E+04	1.330400E-17	5.826200E-18
1.025089E+04	1.328800E-17	5.870000E-18
1.025149E+04	1.322700E-17	5.834000E-18
1.025209E+04	1.316500E-17	5.764400E-18
1.025269E+04	1.313800E-17	5.700400E-18
1.025329E+04	1.313800E-17	5.639400E-18
1.025389E+04	1.304100E-17	5.598000E-18
1.025449E+04	1.302400E-17	5.759500E-18
1.025509E+04	1.298800E-17	5.754200E-18
1.025569E+04	1.294900E-17	5.870000E-18
1.025629E+04	1.287600E-17	5.858600E-18
1.025689E+04	1.282700E-17	5.850700E-18
1.025749E+04	1.272400E-17	5.885400E-18
1.025809E+04	1.281700E-17	5.907200E-18
1.025869E+04	1.277800E-17	5.905400E-18
1.025929E+04	1.265100E-17	5.904700E-18
1.025989E+04	1.260800E-17	5.904900E-18
1.026049E+04	1.265000E-17	5.905700E-18
1.026109E+04	1.272200E-17	5.906900E-18
1.026169E+04	1.271500E-17	5.907500E-18
1.026229E+04	1.274800E-17	5.907600E-18
1.026289E+04	1.266700E-17	5.906000E-18
1.026349E+04	1.254000E-17	5.903000E-18
1.026409E+04	1.256000E-17	5.897800E-18
1.026469E+04	1.247900E-17	5.844000E-18
1.026589E+04	1.241500E-17	5.794900E-18
1.026649E+04	1.240400E-17	5.765300E-18
1.026709E+04	1.243600E-17	5.762100E-18
1.026769E+04	1.255600E-17	5.622800E-18
1.026829E+04	1.249600E-17	5.616800E-18
1.026889E+04	1.262100E-17	5.642100E-18
1.026949E+04	1.275400E-17	5.646000E-18
1.027009E+04	1.277800E-17	5.648800E-18
1.027069E+04	1.282700E-17	5.821700E-18
1.027129E+04	1.277000E-17	5.882100E-18
1.027189E+04	1.280400E-17	5.890600E-18
1.027249E+04	1.285000E-17	5.929800E-18
