#wls	flux	fluxerr
3.291846E+03	1.185000E-17	8.292100E-18
3.292446E+03	1.185700E-17	8.312200E-18
3.292646E+03	1.187700E-17	8.318300E-18
3.293246E+03	1.189200E-17	8.261200E-18
3.293446E+03	1.194200E-17	8.265400E-18
3.294246E+03	1.194300E-17	8.289100E-18
3.294446E+03	1.199400E-17	8.301800E-18
3.294646E+03	1.205200E-17	8.350200E-18
3.294846E+03	1.205500E-17	8.323900E-18
3.295246E+03	1.203600E-17	8.316100E-18
3.295446E+03	1.209700E-17	8.264600E-18
3.296046E+03	1.216900E-17	8.238100E-18
3.296446E+03	1.214600E-17	8.247700E-18
3.297047E+03	1.218600E-17	8.261700E-18
3.297247E+03	1.215000E-17	8.245100E-18
3.297447E+03	1.204600E-17	8.257900E-18
3.298047E+03	1.201400E-17	8.236700E-18
3.298247E+03	1.198700E-17	8.248500E-18
3.299647E+03	1.201400E-17	8.251200E-18
3.300247E+03	1.199100E-17	8.266500E-18
3.300646E+03	1.190900E-17	8.267700E-18
3.301046E+03	1.200500E-17	8.213900E-18
3.301446E+03	1.204500E-17	8.090100E-18
3.301646E+03	1.210500E-17	8.022600E-18
3.301846E+03	1.214700E-17	7.984800E-18
3.302246E+03	1.222500E-17	7.977500E-18
3.302447E+03	1.227600E-17	7.947800E-18
3.302647E+03	1.223700E-17	7.925700E-18
3.302847E+03	1.231200E-17	7.914100E-18
3.303047E+03	1.231200E-17	7.945600E-18
3.303847E+03	1.238800E-17	7.978900E-18
3.304447E+03	1.237700E-17	8.017200E-18
3.304647E+03	1.234900E-17	8.020600E-18
3.305447E+03	1.240900E-17	8.056600E-18
3.306047E+03	1.243100E-17	8.044200E-18
3.306247E+03	1.246700E-17	8.117700E-18
3.306647E+03	1.242800E-17	8.090500E-18
3.306847E+03	1.233000E-17	8.088800E-18
3.307247E+03	1.230600E-17	8.059400E-18
3.307647E+03	1.235500E-17	8.056900E-18
3.307848E+03	1.225700E-17	7.943100E-18
3.308048E+03	1.226000E-17	7.951000E-18
