#wls	flux	fluxerr
5.636673E+03	4.435700E-18	3.139700E-18
5.638074E+03	4.448400E-18	3.129900E-18
5.639074E+03	4.438700E-18	3.133900E-18
5.639274E+03	4.442500E-18	3.133600E-18
5.639674E+03	4.482700E-18	3.125600E-18
5.639874E+03	4.501200E-18	3.128600E-18
5.640074E+03	4.500100E-18	3.094100E-18
5.640274E+03	4.529700E-18	3.091900E-18
5.640474E+03	4.503300E-18	3.089800E-18
5.640874E+03	4.483000E-18	3.070900E-18
5.641074E+03	4.495300E-18	3.074100E-18
5.641274E+03	4.474300E-18	3.065400E-18
5.641474E+03	4.466300E-18	3.063400E-18
5.641674E+03	4.490900E-18	3.048400E-18
5.642074E+03	4.467500E-18	3.055600E-18
5.642274E+03	4.401600E-18	3.067800E-18
5.642474E+03	4.412000E-18	3.066500E-18
5.642674E+03	4.390400E-18	3.017100E-18
5.643075E+03	4.402400E-18	2.979000E-18
5.643275E+03	4.342300E-18	2.988700E-18
5.643475E+03	4.347800E-18	2.983600E-18
5.643675E+03	4.332800E-18	2.990300E-18
5.643874E+03	4.335500E-18	2.973100E-18
5.644074E+03	4.336700E-18	2.972700E-18
5.644275E+03	4.265700E-18	2.961800E-18
5.644475E+03	4.266000E-18	2.962300E-18
5.644675E+03	4.286200E-18	2.967700E-18
5.644874E+03	4.283100E-18	2.971600E-18
5.645074E+03	4.308300E-18	2.970600E-18
5.645274E+03	4.324100E-18	2.971700E-18
5.645474E+03	4.341200E-18	2.978400E-18
5.645674E+03	4.344700E-18	2.977300E-18
5.645874E+03	4.367800E-18	2.968600E-18
5.646074E+03	4.367900E-18	2.979100E-18
5.646274E+03	4.360000E-18	2.983900E-18
5.646474E+03	4.316700E-18	2.985200E-18
5.646674E+03	4.329900E-18	2.967100E-18
5.646874E+03	4.312800E-18	2.971700E-18
5.647074E+03	4.297900E-18	2.949700E-18
5.647274E+03	4.304500E-18	2.944400E-18
5.647474E+03	4.331100E-18	2.960700E-18
5.647874E+03	4.347800E-18	2.958800E-18
5.648074E+03	4.343700E-18	2.960500E-18
5.648275E+03	4.365300E-18	2.957500E-18
