#wls	flux	fluxerr
3.257341E+03	1.256415E-02	5.730682E-04
3.332545E+03	1.241991E-02	5.635455E-04
3.409486E+03	1.237106E-02	5.582372E-04
3.488202E+03	1.243159E-02	5.576906E-04
3.568737E+03	1.265282E-02	5.640940E-04
3.651131E+03	1.311386E-02	5.807947E-04
3.735426E+03	1.386932E-02	6.099474E-04
3.821669E+03	1.490286E-02	6.505116E-04
3.909902E+03	1.605832E-02	6.953779E-04
4.000172E+03	1.703686E-02	7.315022E-04
4.092527E+03	1.754236E-02	7.463979E-04
4.187014E+03	1.748107E-02	7.366096E-04
4.283682E+03	1.700943E-02	7.093392E-04
4.382582E+03	1.638683E-02	6.758295E-04
4.483766E+03	1.577351E-02	6.428418E-04
4.587285E+03	1.520770E-02	6.119257E-04
4.693195E+03	1.469009E-02	5.830582E-04
4.801549E+03	1.416650E-02	5.540626E-04
4.912406E+03	1.356517E-02	5.222128E-04
5.025822E+03	1.289036E-02	4.878500E-04
5.141856E+03	1.220413E-02	4.534749E-04
5.260569E+03	1.160547E-02	4.227732E-04
5.382023E+03	1.125633E-02	4.013813E-04
5.506281E+03	1.111769E-02	3.873875E-04
5.633408E+03	1.093887E-02	3.717614E-04
5.763470E+03	1.062567E-02	3.515033E-04
5.896535E+03	1.021734E-02	3.282773E-04
6.032673E+03	9.784846E-03	3.046239E-04
6.171952E+03	9.296253E-03	2.797265E-04
6.314448E+03	8.671731E-03	2.515346E-04
6.460234E+03	8.005954E-03	2.232463E-04
6.609386E+03	7.379900E-03	1.972929E-04
6.761980E+03	6.807657E-03	1.740265E-04
6.918099E+03	6.302099E-03	1.537005E-04
7.077821E+03	5.878813E-03	1.365701E-04
7.241231E+03	5.541906E-03	1.225713E-04
7.408414E+03	5.263277E-03	1.109639E-04
7.579457E+03	5.003038E-03	1.009077E-04
7.754448E+03	4.743465E-03	9.205948E-05
7.933481E+03	4.478716E-03	8.413796E-05
8.116646E+03	4.223833E-03	7.715967E-05
8.304040E+03	3.990744E-03	7.108826E-05
8.495761E+03	3.770149E-03	6.556056E-05
8.691908E+03	3.543220E-03	6.014178E-05
8.892583E+03	3.328028E-03	5.511546E-05
9.097892E+03	3.160343E-03	5.109150E-05
9.307941E+03	3.055483E-03	4.830463E-05
9.522839E+03	3.010512E-03	4.664570E-05
9.742699E+03	2.997515E-03	4.571422E-05
9.967638E+03	2.952131E-03	4.470082E-05
1.019776E+04	2.795644E-03	4.265823E-05
1.043321E+04	2.538056E-03	3.960075E-05
1.067409E+04	2.273730E-03	3.650140E-05
1.092052E+04	2.049406E-03	3.381279E-05
1.117265E+04	1.867327E-03	3.148943E-05
1.143060E+04	1.716109E-03	2.938497E-05
1.169451E+04	1.584889E-03	2.744620E-05
1.196451E+04	1.467118E-03	2.576545E-05
1.224074E+04	1.361090E-03	2.456703E-05
1.252335E+04	1.267054E-03	2.405310E-05
1.281249E+04	1.185947E-03	2.412579E-05
1.310829E+04	1.116709E-03	2.450357E-05
1.341094E+04	1.054774E-03	2.490303E-05
1.372056E+04	9.956951E-04	2.510309E-05
1.403733E+04	9.364662E-04	2.496397E-05
1.436142E+04	8.757047E-04	2.442918E-05
1.469299E+04	8.134568E-04	2.352031E-05
1.503222E+04	7.507930E-04	2.232280E-05
1.537928E+04	6.893751E-04	2.096543E-05
1.573435E+04	6.312351E-04	1.960221E-05
1.609762E+04	5.790395E-04	1.839828E-05
1.646927E+04	5.360212E-04	1.744349E-05
1.684951E+04	5.015061E-04	1.666547E-05
1.723852E+04	4.730572E-04	1.594793E-05
1.763653E+04	4.484148E-04	1.518961E-05
1.804371E+04	4.254362E-04	1.430227E-05
1.846029E+04	4.022148E-04	1.321859E-05
1.888650E+04	3.774511E-04	1.191162E-05
1.932255E+04	3.507924E-04	1.041232E-05
1.976866E+04	3.228604E-04	8.813895E-06
2.022507E+04	2.949433E-04	7.266481E-06
2.069202E+04	2.684776E-04	5.977156E-06
2.116975E+04	2.444834E-04	5.206987E-06
2.165851E+04	2.230998E-04	5.085982E-06
2.215855E+04	2.043093E-04	5.316330E-06
2.267014E+04	1.881266E-04	5.620324E-06
2.319354E+04	1.740232E-04	5.867282E-06
2.372903E+04	1.613389E-04	6.007772E-06
2.427687E+04	1.495456E-04	6.029327E-06
