#wls	flux	fluxerr
3.257341E+03	4.004391E-04	3.174833E-05
3.296951E+03	3.545370E-04	2.776855E-05
3.336561E+03	3.164226E-04	2.447933E-05
3.376171E+03	2.848875E-04	2.176600E-05
3.415782E+03	2.589320E-04	1.953425E-05
3.455392E+03	2.377345E-04	1.770687E-05
3.495002E+03	2.206277E-04	1.622111E-05
3.534612E+03	2.070765E-04	1.502641E-05
3.574223E+03	1.966599E-04	1.408241E-05
3.613833E+03	1.890549E-04	1.335730E-05
3.653443E+03	1.840247E-04	1.282657E-05
3.693053E+03	1.814097E-04	1.247189E-05
3.732664E+03	1.811183E-04	1.228022E-05
3.772274E+03	1.831194E-04	1.224295E-05
3.811884E+03	1.874254E-04	1.235448E-05
3.851494E+03	1.940526E-04	1.260947E-05
3.891105E+03	2.030283E-04	1.300330E-05
3.930715E+03	2.143991E-04	1.353250E-05
3.970325E+03	2.282183E-04	1.419396E-05
4.009935E+03	2.445317E-04	1.498399E-05
4.049545E+03	2.633602E-04	1.589732E-05
4.089156E+03	2.846840E-04	1.692631E-05
4.128766E+03	3.084251E-04	1.806011E-05
4.168376E+03	3.344319E-04	1.928402E-05
4.207986E+03	3.624678E-04	2.057923E-05
4.247597E+03	3.922088E-04	2.192298E-05
4.287207E+03	4.232523E-04	2.328950E-05
4.326817E+03	4.551423E-04	2.465165E-05
4.366427E+03	4.874071E-04	2.598314E-05
4.406038E+03	5.195689E-04	2.725908E-05
4.445648E+03	5.511266E-04	2.845504E-05
4.485258E+03	5.816109E-04	2.954995E-05
4.524868E+03	6.106166E-04	3.052751E-05
4.564479E+03	6.377893E-04	3.137514E-05
4.604089E+03	6.627936E-04	3.208223E-05
4.643699E+03	6.852676E-04	3.263785E-05
4.683309E+03	7.047894E-04	3.302929E-05
4.722919E+03	7.208846E-04	3.324251E-05
4.762530E+03	7.334451E-04	3.328131E-05
4.802140E+03	7.438023E-04	3.321384E-05
4.841750E+03	7.536157E-04	3.311861E-05
4.881360E+03	7.639662E-04	3.304437E-05
4.920971E+03	7.755242E-04	3.301927E-05
4.960581E+03	7.885977E-04	3.305426E-05
5.000191E+03	8.031616E-04	3.314568E-05
5.039801E+03	8.188958E-04	3.327811E-05
5.079412E+03	8.352718E-04	3.342869E-05
5.119022E+03	8.516172E-04	3.357027E-05
5.158632E+03	8.671012E-04	3.367118E-05
5.198242E+03	8.807428E-04	3.369593E-05
5.237853E+03	8.914539E-04	3.360712E-05
5.277463E+03	8.981609E-04	3.337011E-05
5.317073E+03	9.000333E-04	3.296123E-05
5.356683E+03	8.968139E-04	3.237890E-05
5.396293E+03	8.892103E-04	3.165595E-05
5.435904E+03	8.788895E-04	3.085689E-05
5.475514E+03	8.680540E-04	3.006128E-05
5.515124E+03	8.588797E-04	2.934347E-05
5.554734E+03	8.527210E-04	2.874622E-05
5.594345E+03	8.501289E-04	2.828324E-05
5.633955E+03	8.512903E-04	2.795543E-05
5.673565E+03	8.561628E-04	2.775625E-05
5.713175E+03	8.646114E-04	2.767650E-05
5.752786E+03	8.765116E-04	2.770782E-05
5.792396E+03	8.917735E-04	2.784335E-05
5.832006E+03	9.103146E-04	2.807685E-05
5.871616E+03	9.320153E-04	2.840128E-05
5.911227E+03	9.567156E-04	2.880883E-05
5.950837E+03	9.842772E-04	2.929272E-05
5.990447E+03	1.014599E-03	2.984773E-05
6.030057E+03	1.047602E-03	3.046961E-05
6.069667E+03	1.083215E-03	3.115470E-05
6.109278E+03	1.121328E-03	3.189853E-05
6.148888E+03	1.161819E-03	3.269670E-05
6.188498E+03	1.204610E-03	3.354639E-05
6.228108E+03	1.249132E-03	3.443167E-05
6.267719E+03	1.293785E-03	3.530930E-05
6.307329E+03	1.336072E-03	3.611355E-05
6.346939E+03	1.372488E-03	3.675398E-05
6.386549E+03	1.399226E-03	3.713525E-05
6.426160E+03	1.415818E-03	3.725315E-05
6.465770E+03	1.425876E-03	3.720957E-05
6.505380E+03	1.433312E-03	3.711008E-05
6.544990E+03	1.441195E-03	3.703388E-05
6.584601E+03	1.451480E-03	3.702930E-05
6.624211E+03	1.465036E-03	3.711570E-05
6.663821E+03	1.481950E-03	3.729231E-05
6.703431E+03	1.501845E-03	3.754687E-05
6.743041E+03	1.524003E-03	3.785907E-05
6.782652E+03	1.547409E-03	3.820179E-05
6.822262E+03	1.570785E-03	3.854230E-05
6.861872E+03	1.592724E-03	3.884549E-05
6.901482E+03	1.611893E-03	3.907910E-05
6.941093E+03	1.627235E-03	3.921832E-05
6.980703E+03	1.638057E-03	3.924784E-05
7.020313E+03	1.644043E-03	3.916179E-05
7.059923E+03	1.645296E-03	3.896466E-05
7.099534E+03	1.642331E-03	3.867064E-05
7.139144E+03	1.635877E-03	3.829883E-05
7.178754E+03	1.626637E-03	3.786752E-05
7.218364E+03	1.615089E-03	3.738955E-05
7.257975E+03	1.601410E-03	3.687069E-05
7.297585E+03	1.585623E-03	3.631326E-05
7.337195E+03	1.567865E-03	3.572217E-05
7.376805E+03	1.548622E-03	3.511026E-05
7.416415E+03	1.528917E-03	3.450229E-05
7.456026E+03	1.510444E-03	3.393768E-05
7.495636E+03	1.495507E-03	3.346885E-05
7.535246E+03	1.486630E-03	3.315248E-05
7.574856E+03	1.485993E-03	3.303706E-05
7.614467E+03	1.494259E-03	3.313667E-05
7.654077E+03	1.508925E-03	3.339529E-05
7.693687E+03	1.525659E-03	3.371738E-05
7.733297E+03	1.539543E-03	3.399516E-05
7.772908E+03	1.546022E-03	3.412748E-05
7.812518E+03	1.543416E-03	3.407489E-05
7.852128E+03	1.532840E-03	3.385917E-05
7.891738E+03	1.516070E-03	3.351640E-05
7.931349E+03	1.494807E-03	3.308099E-05
7.970959E+03	1.470390E-03	3.257961E-05
8.010569E+03	1.443774E-03	3.203071E-05
8.050179E+03	1.415656E-03	3.144741E-05
8.089789E+03	1.386596E-03	3.084012E-05
8.129400E+03	1.357107E-03	3.021858E-05
8.169010E+03	1.327639E-03	2.959153E-05
8.208620E+03	1.298513E-03	2.896515E-05
8.248230E+03	1.269943E-03	2.834352E-05
8.287841E+03	1.242032E-03	2.772852E-05
8.327451E+03	1.214754E-03	2.711933E-05
8.367061E+03	1.188027E-03	2.651412E-05
8.406671E+03	1.161871E-03	2.591357E-05
8.446282E+03	1.136512E-03	2.532301E-05
8.485892E+03	1.112390E-03	2.475278E-05
8.525502E+03	1.090083E-03	2.421625E-05
8.565112E+03	1.070225E-03	2.372803E-05
8.604723E+03	1.053479E-03	2.330334E-05
8.644333E+03	1.040403E-03	2.295493E-05
8.683943E+03	1.031278E-03	2.268931E-05
8.723553E+03	1.026180E-03	2.250839E-05
8.763163E+03	1.025073E-03	2.241168E-05
8.802774E+03	1.027924E-03	2.239876E-05
8.842384E+03	1.034763E-03	2.247068E-05
8.881994E+03	1.045558E-03	2.262728E-05
8.921604E+03	1.060050E-03	2.286366E-05
8.961215E+03	1.077745E-03	2.317022E-05
9.000825E+03	1.097849E-03	2.353131E-05
9.040435E+03	1.119090E-03	2.392157E-05
9.080045E+03	1.139737E-03	2.430641E-05
9.119656E+03	1.158261E-03	2.465611E-05
9.159266E+03	1.174892E-03	2.497863E-05
