#wls	flux	fluxerr
1.584409E+03	4.456724E+01	1.441488E+02
1.624020E+03	4.394767E+01	1.429032E+02
1.663630E+03	4.320674E+01	1.412556E+02
1.703240E+03	4.229325E+01	1.390241E+02
1.742850E+03	4.125892E+01	1.363774E+02
1.782461E+03	4.005627E+01	1.331418E+02
1.822071E+03	3.873898E+01	1.294955E+02
1.861681E+03	3.726837E+01	1.252911E+02
1.901291E+03	3.570218E+01	1.207243E+02
1.940902E+03	3.400136E+01	1.156440E+02
1.980512E+03	3.222715E+01	1.102622E+02
2.020122E+03	3.034843E+01	1.044529E+02
2.059732E+03	2.842130E+01	9.841544E+01
2.099342E+03	2.642784E+01	9.206890E+01
2.138953E+03	2.441777E+01	8.559515E+01
2.178563E+03	2.237450E+01	7.891872E+01
2.218173E+03	2.034579E+01	7.221868E+01
2.257783E+03	1.831621E+01	6.542518E+01
2.297394E+03	1.635182E+01	5.878674E+01
2.337004E+03	1.446262E+01	5.232917E+01
2.376614E+03	1.269095E+01	4.622220E+01
2.416224E+03	1.103354E+01	4.044857E+01
2.455835E+03	9.515366E+00	3.511784E+01
2.495445E+03	8.128212E+00	3.019789E+01
2.535055E+03	6.884083E+00	2.575108E+01
2.574665E+03	5.772248E+00	2.173801E+01
2.614276E+03	4.796222E+00	1.818843E+01
2.653886E+03	3.943563E+00	1.505761E+01
2.693496E+03	3.211359E+00	1.234897E+01
2.733106E+03	2.586820E+00	1.001670E+01
2.772716E+03	2.062796E+00	8.045321E+00
2.812327E+03	1.626638E+00	6.389129E+00
2.851937E+03	1.269653E+00	5.023662E+00
2.891547E+03	9.804236E-01	3.907173E+00
2.931157E+03	7.499500E-01	3.011103E+00
2.964700E+03	8.901620E-01	3.596468E+00
2.977178E+03	8.607951E-01	3.486118E+00
2.994409E+03	8.204461E-01	3.333538E+00
2.997776E+03	8.134666E-01	3.307306E+00
2.998766E+03	8.120155E-01	3.302026E+00
3.003718E+03	8.012540E-01	3.261331E+00
3.006094E+03	7.962278E-01	3.242334E+00
3.010650E+03	7.863332E-01	3.204822E+00
3.013423E+03	7.804192E-01	3.182399E+00
3.013819E+03	7.799890E-01	3.180885E+00
3.015403E+03	7.769440E-01	3.169423E+00
3.018176E+03	7.711911E-01	3.147620E+00
3.018374E+03	7.712612E-01	3.148025E+00
3.018572E+03	7.709896E-01	3.147035E+00
3.018770E+03	7.707177E-01	3.146044E+00
3.021543E+03	7.646555E-01	3.122951E+00
3.021741E+03	7.643285E-01	3.121734E+00
3.022335E+03	7.630101E-01	3.116703E+00
3.023326E+03	7.612073E-01	3.109928E+00
3.024119E+03	7.594549E-01	3.103238E+00
3.026099E+03	7.549753E-01	3.086101E+00
3.026891E+03	7.531779E-01	3.079221E+00
3.027089E+03	7.526875E-01	3.077333E+00
3.027684E+03	7.513284E-01	3.072126E+00
3.027882E+03	7.507280E-01	3.069787E+00
3.028476E+03	7.494821E-01	3.065041E+00
3.029466E+03	7.474274E-01	3.057217E+00
3.030257E+03	7.453706E-01	3.049266E+00
3.031447E+03	7.423430E-01	3.037572E+00
3.032635E+03	7.396004E-01	3.027039E+00
3.032833E+03	7.387893E-01	3.023834E+00
3.033229E+03	7.375503E-01	3.018992E+00
3.034813E+03	7.339139E-01	3.005019E+00
