#wls	flux	fluxerr
3.257341E+03	1.258610E-02	4.879267E-04
3.332545E+03	1.223818E-02	4.708481E-04
3.409486E+03	1.197534E-02	4.572470E-04
3.488202E+03	1.181005E-02	4.475389E-04
3.568737E+03	1.179838E-02	4.437665E-04
3.651131E+03	1.203036E-02	4.491777E-04
3.735426E+03	1.258066E-02	4.663457E-04
3.821669E+03	1.346409E-02	4.955678E-04
3.909902E+03	1.454726E-02	5.317078E-04
4.000172E+03	1.554137E-02	5.641151E-04
4.092527E+03	1.616504E-02	5.826888E-04
4.187014E+03	1.631954E-02	5.841332E-04
4.283682E+03	1.612000E-02	5.728491E-04
4.382582E+03	1.577241E-02	5.563273E-04
4.483766E+03	1.541562E-02	5.394991E-04
4.587285E+03	1.508058E-02	5.234003E-04
4.693195E+03	1.474241E-02	5.071118E-04
4.801549E+03	1.434154E-02	4.885636E-04
4.912406E+03	1.383194E-02	4.662317E-04
5.025822E+03	1.323187E-02	4.408216E-04
5.141856E+03	1.260549E-02	4.145465E-04
5.260569E+03	1.203847E-02	3.902277E-04
5.382023E+03	1.168257E-02	3.726359E-04
5.506281E+03	1.151854E-02	3.608325E-04
5.633408E+03	1.132936E-02	3.477965E-04
5.763470E+03	1.103210E-02	3.310677E-04
5.896535E+03	1.066596E-02	3.120279E-04
6.032673E+03	1.028523E-02	2.924127E-04
6.171952E+03	9.831024E-03	2.706909E-04
6.314448E+03	9.185096E-03	2.440059E-04
6.460234E+03	8.474446E-03	2.163041E-04
6.609386E+03	7.789974E-03	1.901869E-04
6.761980E+03	7.146959E-03	1.661132E-04
6.918099E+03	6.563198E-03	1.445254E-04
7.077821E+03	6.060309E-03	1.258528E-04
7.241231E+03	5.647006E-03	1.101584E-04
7.408414E+03	5.305385E-03	9.697728E-05
7.579457E+03	5.001137E-03	8.564152E-05
7.754448E+03	4.706292E-03	7.561697E-05
7.933481E+03	4.403801E-03	6.650671E-05
8.116646E+03	4.111391E-03	5.845856E-05
8.304040E+03	3.849938E-03	5.169633E-05
8.495761E+03	3.620292E-03	4.625553E-05
8.691908E+03	3.415705E-03	4.221133E-05
8.892583E+03	3.252136E-03	3.996276E-05
9.097892E+03	3.150293E-03	3.966573E-05
9.307941E+03	3.110771E-03	4.095469E-05
9.522839E+03	3.128451E-03	4.346105E-05
9.742699E+03	3.172962E-03	4.661169E-05
9.967638E+03	3.165282E-03	4.912488E-05
1.019776E+04	3.015998E-03	4.940730E-05
1.043321E+04	2.748332E-03	4.739751E-05
1.067409E+04	2.476098E-03	4.463343E-05
1.092052E+04	2.250780E-03	4.198638E-05
1.117265E+04	2.068234E-03	3.950010E-05
1.143060E+04	1.914713E-03	3.708850E-05
1.169451E+04	1.779670E-03	3.477158E-05
1.196451E+04	1.656660E-03	3.270452E-05
1.224074E+04	1.543750E-03	3.116851E-05
1.252335E+04	1.441570E-03	3.039302E-05
1.281249E+04	1.353127E-03	3.027972E-05
1.310829E+04	1.279672E-03	3.055639E-05
1.341094E+04	1.216346E-03	3.090096E-05
1.372056E+04	1.157406E-03	3.103842E-05
1.403733E+04	1.098349E-03	3.077797E-05
1.436142E+04	1.036554E-03	3.002995E-05
1.469299E+04	9.713775E-04	2.881332E-05
1.503222E+04	9.037511E-04	2.724448E-05
1.537928E+04	8.356330E-04	2.551209E-05
1.573435E+04	7.696074E-04	2.384696E-05
1.609762E+04	7.087102E-04	2.247514E-05
1.646927E+04	6.571666E-04	2.147579E-05
1.684951E+04	6.159956E-04	2.075161E-05
1.723852E+04	5.830253E-04	2.014245E-05
1.763653E+04	5.553780E-04	1.949203E-05
1.804371E+04	5.299670E-04	1.865580E-05
1.846029E+04	5.037121E-04	1.751014E-05
1.888650E+04	4.743045E-04	1.599009E-05
1.932255E+04	4.409389E-04	1.412750E-05
1.976866E+04	4.044727E-04	1.206200E-05
2.022507E+04	3.670201E-04	1.002720E-05
2.069202E+04	3.312027E-04	8.330657E-06
2.116975E+04	2.991445E-04	7.316967E-06
2.165851E+04	2.717208E-04	7.117128E-06
2.215855E+04	2.487170E-04	7.354775E-06
2.267014E+04	2.294413E-04	7.698934E-06
2.319354E+04	2.127116E-04	7.980627E-06
2.372903E+04	1.974583E-04	8.126041E-06
2.427687E+04	1.829773E-04	8.111759E-06
