#wls	flux	fluxerr
3.257341E+03	1.424344E-02	3.946287E-04
3.257341E+03	1.424344E-02	3.946287E-04
3.332545E+03	1.423639E-02	3.930254E-04
3.332545E+03	1.423639E-02	3.930254E-04
3.409486E+03	1.434931E-02	3.946264E-04
3.409486E+03	1.434931E-02	3.946264E-04
3.488202E+03	1.460184E-02	3.999208E-04
3.488202E+03	1.460184E-02	3.999208E-04
3.568737E+03	1.504221E-02	4.101621E-04
3.568737E+03	1.504221E-02	4.101621E-04
3.651131E+03	1.573634E-02	4.270503E-04
3.651131E+03	1.573634E-02	4.270503E-04
3.689297E+03	3.672570E-02	9.943770E-04
3.691278E+03	3.585526E-02	9.706923E-04
3.693159E+03	3.495393E-02	9.461828E-04
3.695140E+03	3.410192E-02	9.230082E-04
3.697120E+03	3.347124E-02	9.058286E-04
3.699101E+03	3.294691E-02	8.915310E-04
3.700982E+03	3.214385E-02	8.697004E-04
3.702963E+03	3.130406E-02	8.468761E-04
3.704943E+03	3.047991E-02	8.244801E-04
3.706825E+03	2.968704E-02	8.029402E-04
3.708805E+03	2.903218E-02	7.851329E-04
3.710786E+03	2.834344E-02	7.664139E-04
3.712766E+03	2.757690E-02	7.455954E-04
3.714648E+03	2.684285E-02	7.256648E-04
3.716628E+03	2.612291E-02	7.061159E-04
3.718609E+03	2.552140E-02	6.897724E-04
3.720490E+03	2.491023E-02	6.731757E-04
3.722471E+03	2.441465E-02	6.597022E-04
3.724451E+03	2.393113E-02	6.465579E-04
3.726333E+03	2.344210E-02	6.332714E-04
3.728313E+03	2.296887E-02	6.204110E-04
3.730294E+03	2.249171E-02	6.074476E-04
3.732274E+03	2.207777E-02	5.961946E-04
3.734156E+03	2.172294E-02	5.865438E-04
3.736136E+03	2.139692E-02	5.776696E-04
3.738117E+03	2.116821E-02	5.714242E-04
3.739998E+03	2.100331E-02	5.669060E-04
3.741979E+03	2.081520E-02	5.617589E-04
3.743959E+03	2.072972E-02	5.593824E-04
3.745940E+03	2.067599E-02	5.578631E-04
3.747821E+03	2.063524E-02	5.566978E-04
3.749802E+03	2.066343E-02	5.573889E-04
3.751782E+03	2.074270E-02	5.594574E-04
3.753664E+03	2.083380E-02	5.618477E-04
3.755644E+03	2.092723E-02	5.642965E-04
3.757625E+03	2.107776E-02	5.682843E-04
3.759605E+03	2.117518E-02	5.708394E-04
3.761487E+03	2.133342E-02	5.750365E-04
3.763467E+03	2.150421E-02	5.795672E-04
3.765448E+03	2.177692E-02	5.868432E-04
3.767329E+03	2.200898E-02	5.930257E-04
3.769310E+03	2.225525E-02	5.995858E-04
3.771291E+03	2.250534E-02	6.062469E-04
3.773172E+03	2.276558E-02	6.131836E-04
3.775152E+03	2.306650E-02	6.212101E-04
3.777133E+03	2.329242E-02	6.272149E-04
3.779114E+03	2.343676E-02	6.310214E-04
3.780995E+03	2.355217E-02	6.340523E-04
3.782976E+03	2.375767E-02	6.395032E-04
3.784956E+03	2.389389E-02	6.430879E-04
3.786838E+03	2.399939E-02	6.458490E-04
3.788818E+03	2.408424E-02	6.480498E-04
3.790799E+03	2.414716E-02	6.496597E-04
3.792779E+03	2.408346E-02	6.478629E-04
3.794661E+03	2.405261E-02	6.469543E-04
3.796641E+03	2.382841E-02	6.408415E-04
3.798622E+03	2.410894E-02	6.483028E-04
3.800503E+03	2.452005E-02	6.592773E-04
3.802484E+03	2.437499E-02	6.552925E-04
3.804464E+03	2.432581E-02	6.538861E-04
3.806445E+03	2.435008E-02	6.544539E-04
3.808326E+03	2.434578E-02	6.542581E-04
3.810307E+03	2.431456E-02	6.533345E-04
3.812287E+03	2.405191E-02	6.461933E-04
3.814169E+03	2.375214E-02	6.380610E-04
3.816149E+03	2.379445E-02	6.391146E-04
3.818130E+03	2.379023E-02	6.389181E-04
3.820011E+03	2.383428E-02	6.400218E-04
3.821992E+03	2.364694E-02	6.349085E-04
3.823972E+03	2.361772E-02	6.340413E-04
3.825953E+03	2.385783E-02	6.404035E-04
3.827834E+03	2.393064E-02	6.422781E-04
3.829815E+03	2.376551E-02	6.377626E-04
3.831795E+03	2.364070E-02	6.343301E-04
3.833677E+03	2.341659E-02	6.282384E-04
3.835657E+03	2.314764E-02	6.209411E-04
3.837638E+03	2.301917E-02	6.174134E-04
3.839618E+03	2.279463E-02	6.113105E-04
3.841500E+03	2.272093E-02	6.092576E-04
3.843480E+03	2.270644E-02	6.087885E-04
3.845461E+03	2.267785E-02	6.079417E-04
3.847342E+03	2.264098E-02	6.068769E-04
3.849323E+03	2.265053E-02	6.070525E-04
3.851303E+03	2.262358E-02	6.062496E-04
3.853284E+03	2.263781E-02	6.065505E-04
3.855165E+03	2.252723E-02	6.035112E-04
3.857146E+03	2.248851E-02	6.023938E-04
3.859126E+03	2.263047E-02	6.061157E-04
3.861008E+03	2.290905E-02	6.134991E-04
3.862988E+03	2.309405E-02	6.183705E-04
3.864969E+03	2.321150E-02	6.214321E-04
3.866850E+03	2.336181E-02	6.253769E-04
3.868831E+03	2.353475E-02	6.299218E-04
3.870811E+03	2.372535E-02	6.349382E-04
3.872792E+03	2.387567E-02	6.388750E-04
3.874673E+03	2.393255E-02	6.403151E-04
3.876654E+03	2.400723E-02	6.422266E-04
3.878634E+03	2.405387E-02	6.433874E-04
3.880516E+03	2.397997E-02	6.413283E-04
3.882496E+03	2.390846E-02	6.393294E-04
3.884477E+03	2.402230E-02	6.422865E-04
3.886457E+03	2.406676E-02	6.433880E-04
3.888339E+03	2.401325E-02	6.418747E-04
3.890319E+03	2.401286E-02	6.417772E-04
3.892300E+03	2.414721E-02	6.452801E-04
3.894181E+03	2.433608E-02	6.502429E-04
3.896162E+03	2.454899E-02	6.558422E-04
3.898142E+03	2.451019E-02	6.547162E-04
3.900123E+03	2.428006E-02	6.484803E-04
3.902004E+03	2.420433E-02	6.463738E-04
3.903985E+03	2.416941E-02	6.453527E-04
3.905965E+03	2.412011E-02	6.439480E-04
3.907847E+03	2.408090E-02	6.428172E-04
3.909827E+03	2.391585E-02	6.383235E-04
3.911808E+03	2.378970E-02	6.348691E-04
3.913689E+03	2.375429E-02	6.338412E-04
3.915670E+03	2.369929E-02	6.322862E-04
3.917650E+03	2.365801E-02	6.310978E-04
3.919631E+03	2.357663E-02	6.288396E-04
3.921512E+03	2.354588E-02	6.279368E-04
3.923493E+03	2.342546E-02	6.246389E-04
3.925473E+03	2.330511E-02	6.213433E-04
3.927355E+03	2.321104E-02	6.187535E-04
3.929335E+03	2.313971E-02	6.167662E-04
3.931316E+03	2.312868E-02	6.163865E-04
3.933296E+03	2.312672E-02	6.162482E-04
3.935178E+03	2.313223E-02	6.163131E-04
3.937158E+03	2.318091E-02	6.175238E-04
3.939139E+03	2.319656E-02	6.178542E-04
3.941020E+03	2.319462E-02	6.177201E-04
3.943001E+03	2.325896E-02	6.193467E-04
3.944981E+03	2.325484E-02	6.191501E-04
3.946962E+03	2.329306E-02	6.200802E-04
3.948843E+03	2.335178E-02	6.215603E-04
3.950824E+03	2.339824E-02	6.227090E-04
3.952804E+03	2.340810E-02	6.228834E-04
3.954686E+03	2.344227E-02	6.237089E-04
3.956666E+03	2.346621E-02	6.242575E-04
3.958647E+03	2.344153E-02	6.235126E-04
3.960528E+03	2.350225E-02	6.250434E-04
3.962509E+03	2.355660E-02	6.264000E-04
3.964489E+03	2.363392E-02	6.283667E-04
3.966470E+03	2.363954E-02	6.284265E-04
3.968351E+03	2.368387E-02	6.295196E-04
3.970332E+03	2.366114E-02	6.288256E-04
3.972312E+03	2.364061E-02	6.281904E-04
3.974194E+03	2.360762E-02	6.272286E-04
3.976174E+03	2.348743E-02	6.239458E-04
3.978155E+03	2.339746E-02	6.214664E-04
3.980135E+03	2.337448E-02	6.207670E-04
3.982017E+03	2.338059E-02	6.208446E-04
3.983997E+03	2.329262E-02	6.184196E-04
3.985978E+03	2.324994E-02	6.171974E-04
3.987859E+03	2.322497E-02	6.164500E-04
3.989840E+03	2.319414E-02	6.155429E-04
3.991820E+03	2.315537E-02	6.144249E-04
3.993801E+03	2.314861E-02	6.141567E-04
3.995682E+03	2.321337E-02	6.157901E-04
3.997663E+03	2.322960E-02	6.161310E-04
3.999644E+03	2.322923E-02	6.160319E-04
4.001525E+03	2.316958E-02	6.143651E-04
4.003506E+03	2.318577E-02	6.147048E-04
4.005486E+03	2.319555E-02	6.148744E-04
4.007368E+03	2.324172E-02	6.160129E-04
4.009348E+03	2.323120E-02	6.156440E-04
4.011329E+03	2.325170E-02	6.160970E-04
4.013309E+03	2.331031E-02	6.175596E-04
4.015191E+03	2.334005E-02	6.182612E-04
4.017171E+03	2.337248E-02	6.190293E-04
4.019152E+03	2.340443E-02	6.197845E-04
4.021033E+03	2.339600E-02	6.194745E-04
4.023014E+03	2.337732E-02	6.188888E-04
4.024994E+03	2.340551E-02	6.195436E-04
4.026975E+03	2.343373E-02	6.201990E-04
4.028856E+03	2.344741E-02	6.204738E-04
4.030837E+03	2.345947E-02	6.207011E-04
4.032817E+03	2.350182E-02	6.217292E-04
4.034699E+03	2.354806E-02	6.228647E-04
4.036679E+03	2.353576E-02	6.224468E-04
4.038660E+03	2.354136E-02	6.225024E-04
4.040640E+03	2.355945E-02	6.228877E-04
4.042522E+03	2.353091E-02	6.220449E-04
4.044502E+03	2.351591E-02	6.215557E-04
4.046483E+03	2.352204E-02	6.216248E-04
4.048364E+03	2.348274E-02	6.204979E-04
4.050345E+03	2.345427E-02	6.196527E-04
4.052325E+03	2.338057E-02	6.176130E-04
4.054207E+03	2.329480E-02	6.152593E-04
4.056187E+03	2.323765E-02	6.136577E-04
4.058168E+03	2.324746E-02	6.138244E-04
4.060148E+03	2.323693E-02	6.134539E-04
4.062030E+03	2.317781E-02	6.118052E-04
4.064010E+03	2.318974E-02	6.120277E-04
4.065991E+03	2.321396E-02	6.125742E-04
4.067872E+03	2.321735E-02	6.125755E-04
