#wls	flux	fluxerr
3.257341E+03	2.895080E-03	1.355655E-04
3.296951E+03	2.968032E-03	1.347174E-04
3.336561E+03	3.047903E-03	1.340956E-04
3.376171E+03	3.135592E-03	1.337391E-04
3.415782E+03	3.232285E-03	1.336993E-04
3.455392E+03	3.339609E-03	1.340452E-04
3.495002E+03	3.459077E-03	1.348408E-04
3.534612E+03	3.591518E-03	1.361252E-04
3.574223E+03	3.737860E-03	1.379466E-04
3.613833E+03	3.898967E-03	1.403522E-04
3.653443E+03	4.075075E-03	1.433520E-04
3.693053E+03	4.265677E-03	1.469279E-04
3.732664E+03	4.469253E-03	1.510326E-04
3.772274E+03	4.683160E-03	1.555874E-04
3.783570E+03	3.297173E-03	1.090507E-04
3.785550E+03	3.333497E-03	1.101672E-04
3.787531E+03	3.370507E-03	1.113051E-04
3.789511E+03	3.400028E-03	1.121947E-04
3.791492E+03	3.450478E-03	1.137736E-04
3.793373E+03	3.501470E-03	1.153727E-04
3.795354E+03	3.528342E-03	1.161716E-04
3.797334E+03	3.549521E-03	1.167824E-04
3.799315E+03	3.602173E-03	1.184277E-04
3.801295E+03	3.647736E-03	1.198381E-04
3.803177E+03	3.681265E-03	1.208563E-04
3.805157E+03	3.725968E-03	1.222358E-04
3.807138E+03	3.774472E-03	1.237384E-04
3.809118E+03	3.823693E-03	1.252629E-04
3.811099E+03	3.870329E-03	1.267012E-04
3.812980E+03	3.902796E-03	1.276790E-04
3.814961E+03	3.931175E-03	1.285178E-04
3.816941E+03	3.968527E-03	1.296491E-04
3.818922E+03	4.000560E-03	1.306058E-04
3.820902E+03	4.017288E-03	1.310624E-04
3.822784E+03	4.046529E-03	1.319313E-04
3.824764E+03	4.088520E-03	1.332105E-04
3.826745E+03	4.125180E-03	1.343151E-04
3.828725E+03	4.162958E-03	1.354550E-04
3.830706E+03	4.206240E-03	1.367730E-04
3.832686E+03	4.242299E-03	1.378551E-04
3.834568E+03	4.282186E-03	1.390651E-04
3.836548E+03	4.312325E-03	1.399532E-04
3.838529E+03	4.330576E-03	1.404552E-04
3.840509E+03	4.361875E-03	1.413801E-04
3.842490E+03	4.410669E-03	1.428710E-04
3.844371E+03	4.437683E-03	1.436600E-04
3.846352E+03	4.451931E-03	1.440310E-04
3.848332E+03	4.471476E-03	1.445735E-04
3.850313E+03	4.471028E-03	1.444697E-04
3.852293E+03	4.492957E-03	1.450893E-04
3.854175E+03	4.492086E-03	1.449772E-04
3.856155E+03	4.519579E-03	1.457762E-04
3.858136E+03	4.529343E-03	1.460033E-04
3.860116E+03	4.486141E-03	1.445243E-04
3.862097E+03	4.450700E-03	1.432975E-04
3.863978E+03	4.465287E-03	1.436867E-04
3.865959E+03	4.508627E-03	1.449964E-04
3.867939E+03	4.549927E-03	1.462395E-04
3.869920E+03	4.568094E-03	1.467385E-04
3.871900E+03	4.534259E-03	1.455681E-04
3.873782E+03	4.512075E-03	1.447774E-04
3.875762E+03	4.501406E-03	1.443532E-04
3.877743E+03	4.494139E-03	1.440390E-04
3.879724E+03	4.495636E-03	1.440064E-04
3.881704E+03	4.513644E-03	1.445029E-04
3.883685E+03	4.527180E-03	1.448563E-04
3.885566E+03	4.537714E-03	1.451177E-04
3.887547E+03	4.537758E-03	1.450400E-04
3.889527E+03	4.548565E-03	1.453067E-04
3.891508E+03	4.570383E-03	1.459251E-04
3.893488E+03	4.581680E-03	1.462076E-04
3.895370E+03	4.578073E-03	1.460188E-04
3.897350E+03	4.585940E-03	1.461925E-04
3.899331E+03	4.604861E-03	1.467186E-04
3.901311E+03	4.603458E-03	1.465975E-04
3.903292E+03	4.580802E-03	1.458004E-04
3.905173E+03	4.568925E-03	1.453513E-04
3.907154E+03	4.586602E-03	1.458389E-04
3.909134E+03	4.610191E-03	1.465144E-04
3.911115E+03	4.621414E-03	1.467969E-04
3.913095E+03	4.608463E-03	1.463119E-04
3.914977E+03	4.626663E-03	1.468201E-04
3.916957E+03	4.656067E-03	1.476798E-04
3.918938E+03	4.671756E-03	1.481044E-04
3.920918E+03	4.706523E-03	1.491334E-04
3.922899E+03	4.750569E-03	1.504556E-04
3.924780E+03	4.771852E-03	1.510601E-04
3.926761E+03	4.771915E-03	1.509893E-04
3.928741E+03	4.801651E-03	1.518574E-04
3.930722E+03	4.837835E-03	1.529289E-04
3.932702E+03	4.894141E-03	1.546355E-04
3.934683E+03	4.978357E-03	1.572224E-04
3.936564E+03	5.027595E-03	1.587068E-04
3.938545E+03	5.079194E-03	1.602609E-04
3.940525E+03	5.155902E-03	1.626059E-04
3.942506E+03	5.204421E-03	1.640606E-04
3.944486E+03	5.240180E-03	1.651122E-04
