#wls	flux	fluxerr
3.257341E+03	4.149711E-04	3.539804E-05
3.296951E+03	3.718627E-04	3.151248E-05
3.336561E+03	3.357380E-04	2.826228E-05
3.376171E+03	3.055728E-04	2.555032E-05
3.415782E+03	2.805140E-04	2.329587E-05
3.455392E+03	2.598545E-04	2.143211E-05
3.495002E+03	2.430142E-04	1.990415E-05
3.534612E+03	2.295211E-04	1.866721E-05
3.574223E+03	2.189974E-04	1.768509E-05
3.613833E+03	2.111453E-04	1.692888E-05
3.653443E+03	2.057381E-04	1.637594E-05
3.693053E+03	2.026088E-04	1.600889E-05
3.732664E+03	2.016422E-04	1.581472E-05
3.772274E+03	2.027640E-04	1.578390E-05
3.811884E+03	2.059289E-04	1.590926E-05
3.851494E+03	2.111115E-04	1.618526E-05
3.891105E+03	2.182985E-04	1.660731E-05
3.930715E+03	2.274844E-04	1.717142E-05
3.970325E+03	2.386668E-04	1.787386E-05
4.009935E+03	2.518379E-04	1.871047E-05
4.049545E+03	2.669782E-04	1.967624E-05
4.089156E+03	2.840473E-04	2.076468E-05
4.128766E+03	3.029769E-04	2.196734E-05
4.168376E+03	3.236668E-04	2.327370E-05
4.207986E+03	3.459812E-04	2.467088E-05
4.247597E+03	3.697503E-04	2.614394E-05
4.287207E+03	3.947750E-04	2.767634E-05
4.326817E+03	4.208311E-04	2.925024E-05
4.366427E+03	4.476666E-04	3.084645E-05
4.406038E+03	4.749855E-04	3.244340E-05
4.445648E+03	5.024329E-04	3.401625E-05
4.485258E+03	5.296001E-04	3.553744E-05
4.524868E+03	5.560406E-04	3.697787E-05
4.564479E+03	5.812794E-04	3.830768E-05
4.604089E+03	6.048173E-04	3.949657E-05
4.643699E+03	6.261435E-04	4.051468E-05
4.683309E+03	6.447768E-04	4.133531E-05
4.722919E+03	6.603718E-04	4.194152E-05
4.762530E+03	6.728826E-04	4.233603E-05
4.802140E+03	6.826534E-04	4.254596E-05
4.841750E+03	6.903520E-04	4.261760E-05
4.881360E+03	6.967333E-04	4.260095E-05
4.920971E+03	7.024299E-04	4.253678E-05
4.960581E+03	7.078839E-04	4.245285E-05
5.000191E+03	7.133384E-04	4.236410E-05
5.039801E+03	7.188633E-04	4.227466E-05
