#wls	flux	fluxerr
3.257341E+03	4.218487E-16	1.635386E-17
3.332545E+03	4.141858E-16	1.593526E-17
3.409486E+03	4.085135E-16	1.559802E-17
3.488202E+03	4.055361E-16	1.536769E-17
3.568737E+03	4.074976E-16	1.532700E-17
3.651131E+03	4.178434E-16	1.560102E-17
3.735426E+03	4.395220E-16	1.629240E-17
3.821669E+03	4.734289E-16	1.742533E-17
3.909902E+03	5.152397E-16	1.883220E-17
4.000172E+03	5.549513E-16	2.014343E-17
4.092527E+03	5.824530E-16	2.099523E-17
4.187014E+03	5.938138E-16	2.125467E-17
4.283682E+03	5.927087E-16	2.106282E-17
4.382582E+03	5.862801E-16	2.067938E-17
4.483766E+03	5.794453E-16	2.027879E-17
4.587285E+03	5.732511E-16	1.989578E-17
4.693195E+03	5.666666E-16	1.949229E-17
4.801549E+03	5.572877E-16	1.898475E-17
4.912406E+03	5.431673E-16	1.830848E-17
5.025822E+03	5.248610E-16	1.748582E-17
5.141856E+03	5.048236E-16	1.660172E-17
5.260569E+03	4.865017E-16	1.576998E-17
5.382023E+03	4.761740E-16	1.518840E-17
5.506281E+03	4.732988E-16	1.482666E-17
5.633408E+03	4.691093E-16	1.440103E-17
5.763470E+03	4.601587E-16	1.380914E-17
5.896535E+03	4.480386E-16	1.310717E-17
6.032673E+03	4.350275E-16	1.236798E-17
6.171952E+03	4.186449E-16	1.152712E-17
6.314448E+03	3.937919E-16	1.046125E-17
6.460234E+03	3.658076E-16	9.336976E-18
6.609386E+03	3.385976E-16	8.266632E-18
6.761980E+03	3.128552E-16	7.271537E-18
6.918099E+03	2.893959E-16	6.372663E-18
7.077821E+03	2.692229E-16	5.590880E-18
7.241231E+03	2.527892E-16	4.931261E-18
7.408414E+03	2.393601E-16	4.375270E-18
7.579457E+03	2.274315E-16	3.894630E-18
7.754448E+03	2.157412E-16	3.466358E-18
7.933481E+03	2.034907E-16	3.073141E-18
8.116646E+03	1.914772E-16	2.722553E-18
8.304040E+03	1.806730E-16	2.426047E-18
8.495761E+03	1.711354E-16	2.186552E-18
8.691908E+03	1.625620E-16	2.008944E-18
8.892583E+03	1.557297E-16	1.913632E-18
9.097892E+03	1.516756E-16	1.909766E-18
9.307941E+03	1.505390E-16	1.981914E-18
9.522839E+03	1.521412E-16	2.113575E-18
9.742699E+03	1.550391E-16	2.277568E-18
9.967638E+03	1.553724E-16	2.411365E-18
1.019776E+04	1.486982E-16	2.435936E-18
1.043321E+04	1.360781E-16	2.346792E-18
1.067409E+04	1.231019E-16	2.218999E-18
1.092052E+04	1.123423E-16	2.095650E-18
1.117265E+04	1.036243E-16	1.979066E-18
1.143060E+04	9.628485E-17	1.865063E-18
1.169451E+04	8.981075E-17	1.754742E-18
1.196451E+04	8.388836E-17	1.656060E-18
1.224074E+04	7.842802E-17	1.583471E-18
1.252335E+04	7.346904E-17	1.548969E-18
1.281249E+04	6.917229E-17	1.547909E-18
1.310829E+04	6.560991E-17	1.566653E-18
1.341094E+04	6.254016E-17	1.588816E-18
1.372056E+04	5.967250E-17	1.600250E-18
1.403733E+04	5.677701E-17	1.591007E-18
1.436142E+04	5.371884E-17	1.556286E-18
1.469299E+04	5.046443E-17	1.496893E-18
1.503222E+04	4.706202E-17	1.418732E-18
1.537928E+04	4.361389E-17	1.331543E-18
1.573435E+04	4.025597E-17	1.247366E-18
1.609762E+04	3.714901E-17	1.178096E-18
1.646927E+04	3.451742E-17	1.128007E-18
1.684951E+04	3.241850E-17	1.092112E-18
1.723852E+04	3.074145E-17	1.062061E-18
1.763653E+04	2.933713E-17	1.029642E-18
1.804371E+04	2.804409E-17	9.872030E-19
1.846029E+04	2.669997E-17	9.281498E-19
1.888650E+04	2.518228E-17	8.489631E-19
1.932255E+04	2.344769E-17	7.512543E-19
1.976866E+04	2.154120E-17	6.423916E-19
2.022507E+04	1.957518E-17	5.348053E-19
2.069202E+04	1.768977E-17	4.449463E-19
2.116975E+04	1.599925E-17	3.913360E-19
2.165851E+04	1.455159E-17	3.811470E-19
2.215855E+04	1.333649E-17	3.943715E-19
2.267014E+04	1.231789E-17	4.133285E-19
2.319354E+04	1.143314E-17	4.289547E-19
2.372903E+04	1.062530E-17	4.372649E-19
2.427687E+04	9.856811E-18	4.369726E-19
