#wls	flux	fluxerr
3.257341E+03	4.773980E-16	1.322679E-17
3.257341E+03	4.773980E-16	1.322679E-17
3.332545E+03	4.818124E-16	1.330145E-17
3.332545E+03	4.818124E-16	1.330145E-17
3.409486E+03	4.894967E-16	1.346185E-17
3.409486E+03	4.894967E-16	1.346185E-17
3.488202E+03	5.014012E-16	1.373257E-17
3.488202E+03	5.014012E-16	1.373257E-17
3.568737E+03	5.195344E-16	1.416636E-17
3.568737E+03	5.195344E-16	1.416636E-17
3.651131E+03	5.465610E-16	1.483249E-17
3.651131E+03	5.465610E-16	1.483249E-17
3.689297E+03	1.278908E-15	3.462744E-17
3.691278E+03	1.248768E-15	3.380729E-17
3.693159E+03	1.217535E-15	3.295797E-17
3.695140E+03	1.188020E-15	3.215515E-17
3.697120E+03	1.166209E-15	3.156099E-17
3.699101E+03	1.148099E-15	3.106711E-17
3.700982E+03	1.120261E-15	3.031035E-17
3.702963E+03	1.091144E-15	2.951897E-17
3.704943E+03	1.062564E-15	2.874230E-17
3.706825E+03	1.035059E-15	2.799508E-17
3.708805E+03	1.012368E-15	2.737801E-17
3.710786E+03	9.884883E-16	2.672897E-17
3.712766E+03	9.618885E-16	2.600654E-17
3.714648E+03	9.364086E-16	2.531470E-17
3.716628E+03	9.114208E-16	2.463618E-17
3.718609E+03	8.905587E-16	2.406932E-17
3.720490E+03	8.693475E-16	2.349330E-17
3.722471E+03	8.521715E-16	2.302632E-17
3.724451E+03	8.354122E-16	2.257070E-17
3.726333E+03	8.184497E-16	2.210983E-17
3.728313E+03	8.020404E-16	2.166388E-17
3.730294E+03	7.854894E-16	2.121421E-17
3.732274E+03	7.711422E-16	2.082415E-17
3.734156E+03	7.588505E-16	2.048982E-17
3.736136E+03	7.475678E-16	2.018268E-17
3.738117E+03	7.396822E-16	1.996731E-17
3.739998E+03	7.340192E-16	1.981211E-17
3.741979E+03	7.275488E-16	1.963503E-17
3.743959E+03	7.246645E-16	1.955476E-17
