#wls	flux	fluxerr
3.257341E+03	2.028778E-18	3.209716E-19
3.296951E+03	2.137262E-18	3.379182E-19
3.336561E+03	2.250833E-18	3.556442E-19
3.376171E+03	2.369104E-18	3.740867E-19
3.415782E+03	2.491421E-18	3.931404E-19
3.455392E+03	2.616714E-18	4.126350E-19
3.495002E+03	2.743161E-18	4.322819E-19
3.534612E+03	2.867686E-18	4.515960E-19
3.574223E+03	2.986562E-18	4.699909E-19
3.613833E+03	3.096262E-18	4.869133E-19
3.653443E+03	3.193658E-18	5.018745E-19
3.693053E+03	3.277174E-18	5.146306E-19
3.732664E+03	3.346753E-18	5.251771E-19
3.772274E+03	3.403170E-18	5.336398E-19
3.811884E+03	3.447626E-18	5.402114E-19
3.851494E+03	3.481430E-18	5.451006E-19
3.891105E+03	3.506043E-18	5.485398E-19
3.930715E+03	3.522838E-18	5.507466E-19
3.970325E+03	3.533074E-18	5.519206E-19
4.009935E+03	3.537910E-18	5.522447E-19
4.049545E+03	3.538355E-18	5.518786E-19
4.089156E+03	3.535257E-18	5.509556E-19
4.128766E+03	3.529304E-18	5.495844E-19
4.168376E+03	3.520873E-18	5.478248E-19
4.207986E+03	3.510119E-18	5.457016E-19
4.247597E+03	3.496725E-18	5.431666E-19
4.287207E+03	3.479874E-18	5.400941E-19
4.326817E+03	3.458903E-18	5.363824E-19
4.366427E+03	3.434240E-18	5.320998E-19
4.406038E+03	3.407688E-18	5.275267E-19
4.445648E+03	3.381130E-18	5.229554E-19
4.485258E+03	3.355811E-18	5.185783E-19
4.524868E+03	3.332533E-18	5.145187E-19
4.564479E+03	3.311782E-18	5.108508E-19
4.604089E+03	3.293987E-18	5.076398E-19
4.643699E+03	3.279723E-18	5.049730E-19
4.683309E+03	3.270074E-18	5.030156E-19
4.722919E+03	3.265175E-18	5.017863E-19
4.762530E+03	3.264949E-18	5.012711E-19
4.802140E+03	3.269304E-18	5.014543E-19
4.841750E+03	3.278201E-18	5.023272E-19
4.881360E+03	3.291618E-18	5.038847E-19
4.920971E+03	3.309368E-18	5.060960E-19
4.960581E+03	3.331341E-18	5.089421E-19
5.000191E+03	3.357315E-18	5.123870E-19
5.039801E+03	3.387043E-18	5.163913E-19
5.079412E+03	3.420191E-18	5.209018E-19
5.119022E+03	3.456457E-18	5.258710E-19
5.158632E+03	3.495406E-18	5.312311E-19
5.198242E+03	3.536661E-18	5.369232E-19
5.237853E+03	3.579905E-18	5.428980E-19
