#wls	flux	fluxerr
3.257341E+03	4.915207E-18	6.075412E-19
3.296951E+03	4.802893E-18	5.920990E-19
3.336561E+03	4.694302E-18	5.771881E-19
3.376171E+03	4.589651E-18	5.628317E-19
3.415782E+03	4.489223E-18	5.490604E-19
3.455392E+03	4.393515E-18	5.358221E-19
3.495002E+03	4.302577E-18	5.232312E-19
3.534612E+03	4.216631E-18	5.113099E-19
3.574223E+03	4.135847E-18	5.000733E-19
3.613833E+03	4.060514E-18	4.894444E-19
3.653443E+03	3.990522E-18	4.795144E-19
3.693053E+03	3.925893E-18	4.702800E-19
3.732664E+03	3.866614E-18	4.617335E-19
3.772274E+03	3.812784E-18	4.537747E-19
3.811884E+03	3.764184E-18	4.464802E-19
3.851494E+03	3.720726E-18	4.398334E-19
3.891105E+03	3.682309E-18	4.338161E-19
3.930715E+03	3.648939E-18	4.283157E-19
3.970325E+03	3.620379E-18	4.234074E-19
4.009935E+03	3.596511E-18	4.190711E-19
4.049545E+03	3.577216E-18	4.152869E-19
4.089156E+03	3.562466E-18	4.119355E-19
4.128766E+03	3.552052E-18	4.090980E-19
4.168376E+03	3.545864E-18	4.067557E-19
4.207986E+03	3.543793E-18	4.048901E-19
4.247597E+03	3.545796E-18	4.033756E-19
4.287207E+03	3.551710E-18	4.023030E-19
4.326817E+03	3.561436E-18	4.016554E-19
4.366427E+03	3.574878E-18	4.014164E-19
4.406038E+03	3.591977E-18	4.014513E-19
4.445648E+03	3.612606E-18	4.018620E-19
4.485258E+03	3.636673E-18	4.026326E-19
4.524868E+03	3.664082E-18	4.037473E-19
4.564479E+03	3.694738E-18	4.050584E-19
4.604089E+03	3.728540E-18	4.066796E-19
4.643699E+03	3.765384E-18	4.085942E-19
4.683309E+03	3.805159E-18	4.107852E-19
4.722919E+03	3.847703E-18	4.130871E-19
4.762530E+03	3.892930E-18	4.156261E-19
4.802140E+03	3.940703E-18	4.183829E-19
4.841750E+03	3.990874E-18	4.213374E-19
4.881360E+03	4.043186E-18	4.243022E-19
4.920971E+03	4.097559E-18	4.274173E-19
4.960581E+03	4.153803E-18	4.306591E-19
5.000191E+03	4.211717E-18	4.340033E-19
5.039801E+03	4.270921E-18	4.372380E-19
5.079412E+03	4.331336E-18	4.405180E-19
5.119022E+03	4.392713E-18	4.438158E-19
5.158632E+03	4.454787E-18	4.471029E-19
5.198242E+03	4.517034E-18	4.501414E-19
5.237853E+03	4.579393E-18	4.531042E-19
5.277463E+03	4.641550E-18	4.559607E-19
5.317073E+03	4.703183E-18	4.586795E-19
5.356683E+03	4.763613E-18	4.609986E-19
5.396293E+03	4.822820E-18	4.631115E-19
5.435904E+03	4.880445E-18	4.649868E-19
5.475514E+03	4.936116E-18	4.665932E-19
5.515124E+03	4.989086E-18	4.676894E-19
5.554734E+03	5.039333E-18	4.684517E-19
5.582932E+03	5.891166E-18	5.443532E-19
5.583328E+03	5.877597E-18	5.430534E-19
5.583526E+03	5.909075E-18	5.459383E-19
5.583724E+03	5.905809E-18	5.456130E-19
5.583922E+03	5.932958E-18	5.480975E-19
5.584120E+03	5.977617E-18	5.521994E-19
5.584318E+03	5.980671E-18	5.524576E-19
5.584516E+03	5.983183E-18	5.526658E-19
5.584912E+03	5.985772E-18	5.528572E-19
5.585111E+03	5.970683E-18	5.514397E-19
5.585309E+03	6.021399E-18	5.560997E-19
5.585508E+03	6.006401E-18	5.546905E-19
5.585706E+03	5.987971E-18	5.529647E-19
5.585904E+03	6.028581E-18	5.566907E-19
5.586102E+03	6.069192E-18	5.604166E-19
5.586300E+03	6.119014E-18	5.649927E-19
5.586498E+03	6.126587E-18	5.656675E-19
5.586696E+03	6.083690E-18	5.616826E-19
5.586894E+03	6.065079E-18	5.599401E-19
5.587092E+03	6.068046E-18	5.601898E-19
5.587290E+03	6.082661E-18	5.615147E-19
5.587488E+03	6.046260E-18	5.581303E-19
5.587686E+03	6.058437E-18	5.592302E-19
5.587884E+03	6.078922E-18	5.610968E-19
5.588082E+03	6.120269E-18	5.648888E-19
5.588280E+03	6.128565E-18	5.656300E-19
5.588478E+03	6.161065E-18	5.686050E-19
5.588675E+03	6.126105E-18	5.653542E-19
5.588873E+03	6.123384E-18	5.650786E-19
5.589073E+03	6.108652E-18	5.636946E-19
5.589271E+03	6.145219E-18	5.670444E-19
5.589468E+03	6.181427E-18	5.703608E-19
5.589864E+03	6.202453E-18	5.722514E-19
5.590062E+03	6.256551E-18	5.772176E-19
5.590260E+03	6.305502E-18	5.817085E-19
5.590458E+03	6.324375E-18	5.834244E-19
5.590656E+03	6.331416E-18	5.840486E-19
5.590855E+03	6.363390E-18	5.869726E-19
5.591053E+03	6.411447E-18	5.913798E-19
5.591251E+03	6.449749E-18	5.948869E-19
5.591449E+03	6.436646E-18	5.936527E-19
5.591647E+03	6.482721E-18	5.978763E-19
5.591845E+03	6.435647E-18	5.935091E-19
5.592043E+03	6.419200E-18	5.919667E-19
5.592241E+03	6.407631E-18	5.908742E-19
5.592439E+03	6.377629E-18	5.880821E-19
5.592637E+03	6.399853E-18	5.901058E-19
5.592835E+03	6.444760E-18	5.942207E-19
5.593034E+03	6.443673E-18	5.940947E-19
5.593232E+03	6.435537E-18	5.933189E-19
5.593430E+03	6.508372E-18	6.000079E-19
5.593628E+03	6.555004E-18	6.042806E-19
5.593826E+03	6.579857E-18	6.065455E-19
5.594024E+03	6.601910E-18	6.085519E-19
5.594222E+03	6.631105E-18	6.112165E-19
5.594420E+03	6.619087E-18	6.100823E-19
5.594618E+03	6.643312E-18	6.122885E-19
5.594816E+03	6.681097E-18	6.157443E-19
5.595014E+03	6.738136E-18	6.209742E-19
5.595212E+03	6.784875E-18	6.252544E-19
5.595410E+03	6.796361E-18	6.262858E-19
5.595608E+03	6.750446E-18	6.220277E-19
5.595806E+03	6.791584E-18	6.257912E-19
5.596005E+03	6.794847E-18	6.260645E-19
5.596203E+03	6.813476E-18	6.277537E-19
5.596401E+03	6.793865E-18	6.259197E-19
5.596599E+03	6.785825E-18	6.251518E-19
5.596798E+03	6.818019E-18	6.280904E-19
5.596996E+03	6.841263E-18	6.302043E-19
5.597194E+03	6.879879E-18	6.337340E-19
5.597392E+03	6.884499E-18	6.341320E-19
5.597590E+03	6.905848E-18	6.360708E-19
5.597788E+03	6.892294E-18	6.347948E-19
5.597986E+03	6.860382E-18	6.318282E-19
5.598184E+03	6.831906E-18	6.291782E-19
5.598382E+03	6.805417E-18	6.267115E-19
5.598580E+03	6.761110E-18	6.226042E-19
5.598778E+03	6.717435E-18	6.185554E-19
5.598976E+03	6.646172E-18	6.119667E-19
5.599174E+03	6.625373E-18	6.100250E-19
5.599372E+03	6.665803E-18	6.137209E-19
5.599570E+03	6.655133E-18	6.127119E-19
5.599768E+03	6.677206E-18	6.147173E-19
5.599966E+03	6.675400E-18	6.145243E-19
5.600164E+03	6.706429E-18	6.173539E-19
5.600362E+03	6.722354E-18	6.187929E-19
5.600560E+03	6.723715E-18	6.188912E-19
5.600759E+03	6.722453E-18	6.187481E-19
5.600956E+03	6.728246E-18	6.192545E-19
5.601155E+03	6.736484E-18	6.199856E-19
5.601354E+03	6.761187E-18	6.222319E-19
5.601552E+03	6.776393E-18	6.236040E-19
5.601749E+03	6.775040E-18	6.234526E-19
5.601947E+03	6.783370E-18	6.241919E-19
5.602145E+03	6.797762E-18	6.254890E-19
5.602343E+03	6.802292E-18	6.258785E-19
5.602541E+03	6.811980E-18	6.267426E-19
5.602739E+03	6.842300E-18	6.295048E-19
5.602937E+03	6.834888E-18	6.287955E-19
5.603135E+03	6.800961E-18	6.256469E-19
5.603333E+03	6.812822E-18	6.267107E-19
5.603531E+03	6.819525E-18	6.273000E-19
5.603729E+03	6.857723E-18	6.307861E-19
5.603927E+03	6.901714E-18	6.348049E-19
5.604125E+03	6.862625E-18	6.311821E-19
5.604323E+03	6.845709E-18	6.295987E-19
5.604522E+03	6.887984E-18	6.334591E-19
5.604918E+03	6.861842E-18	6.309999E-19
5.605116E+03	6.927204E-18	6.369826E-19
5.605314E+03	6.936718E-18	6.378296E-19
5.605512E+03	6.979182E-18	6.417062E-19
5.605710E+03	6.983358E-18	6.420621E-19
5.605908E+03	6.976489E-18	6.414025E-19
5.606106E+03	6.974417E-18	6.411840E-19
