#wls	flux	fluxerr
3.257341E+03	1.059718E-02	7.788768E-04
3.332545E+03	1.073290E-02	7.875573E-04
3.409486E+03	1.086746E-02	7.961679E-04
3.488202E+03	1.100017E-02	8.046726E-04
3.568737E+03	1.113000E-02	8.130124E-04
3.651131E+03	1.125552E-02	8.210983E-04
3.735426E+03	1.137489E-02	8.288075E-04
3.821669E+03	1.148591E-02	8.359895E-04
3.909902E+03	1.158599E-02	8.424600E-04
4.000172E+03	1.167217E-02	8.480030E-04
4.092527E+03	1.174137E-02	8.523938E-04
4.187014E+03	1.179057E-02	8.554101E-04
4.283682E+03	1.181687E-02	8.568390E-04
4.382582E+03	1.181763E-02	8.564806E-04
4.483766E+03	1.179045E-02	8.541557E-04
4.587285E+03	1.173342E-02	8.497161E-04
4.693195E+03	1.164522E-02	8.430555E-04
4.801549E+03	1.152519E-02	8.341165E-04
4.912406E+03	1.137355E-02	8.229021E-04
5.025822E+03	1.119125E-02	8.094708E-04
5.141856E+03	1.097990E-02	7.939281E-04
5.260569E+03	1.074182E-02	7.764317E-04
5.382023E+03	1.047980E-02	7.571765E-04
5.506281E+03	1.019686E-02	7.363731E-04
5.633408E+03	9.896054E-03	7.142402E-04
5.763470E+03	9.580547E-03	6.910052E-04
5.896535E+03	9.253369E-03	6.668890E-04
6.032673E+03	8.917379E-03	6.421035E-04
6.171952E+03	8.575260E-03	6.168505E-04
6.314448E+03	8.229623E-03	5.913298E-04
6.460234E+03	7.883007E-03	5.657386E-04
6.609386E+03	7.537708E-03	5.402597E-04
6.761980E+03	7.195733E-03	5.150567E-04
6.918099E+03	6.858807E-03	4.902758E-04
7.077821E+03	6.528397E-03	4.660459E-04
7.241231E+03	6.205784E-03	4.424840E-04
7.408414E+03	5.892058E-03	4.196940E-04
7.579457E+03	5.588129E-03	3.977597E-04
7.754448E+03	5.294795E-03	3.767265E-04
7.933481E+03	5.012636E-03	3.566146E-04
8.116646E+03	4.742059E-03	3.374329E-04
8.304040E+03	4.483320E-03	3.191848E-04
8.495761E+03	4.236507E-03	3.018665E-04
8.691908E+03	4.001528E-03	2.854665E-04
8.892583E+03	3.778151E-03	2.699610E-04
9.097892E+03	3.565920E-03	2.553049E-04
9.307941E+03	3.364165E-03	2.414352E-04
9.522839E+03	3.172181E-03	2.282883E-04
9.742699E+03	2.989265E-03	2.158042E-04
9.967638E+03	2.814737E-03	2.039193E-04
1.019776E+04	2.647975E-03	1.925771E-04
1.043321E+04	2.488663E-03	1.817392E-04
1.067409E+04	2.336755E-03	1.713830E-04
1.092052E+04	2.192222E-03	1.614947E-04
1.117265E+04	2.055017E-03	1.520672E-04
1.143060E+04	1.925058E-03	1.430981E-04
1.169451E+04	1.802233E-03	1.345886E-04
1.196451E+04	1.686378E-03	1.265412E-04
1.224074E+04	1.577288E-03	1.189585E-04
1.252335E+04	1.474711E-03	1.118364E-04
1.281249E+04	1.378381E-03	1.051471E-04
1.310829E+04	1.288023E-03	9.885144E-05
1.341094E+04	1.203337E-03	9.291420E-05
1.372056E+04	1.124011E-03	8.730478E-05
1.403733E+04	1.049754E-03	8.199918E-05
1.436142E+04	9.803043E-04	7.697981E-05
1.469299E+04	9.154160E-04	7.223357E-05
1.503222E+04	8.548473E-04	6.775030E-05
1.537928E+04	7.983627E-04	6.352196E-05
1.573435E+04	7.457363E-04	5.954237E-05
1.609762E+04	6.967576E-04	5.580631E-05
1.646927E+04	6.512212E-04	5.230202E-05
1.684951E+04	6.089173E-04	4.901334E-05
1.723852E+04	5.696397E-04	4.592545E-05
1.763653E+04	5.332002E-04	4.302620E-05
1.804371E+04	4.994305E-04	4.030619E-05
1.846029E+04	4.681852E-04	3.775904E-05
1.888650E+04	4.393509E-04	3.538229E-05
1.932255E+04	4.128629E-04	3.317901E-05
1.976866E+04	3.887032E-04	3.115813E-05
2.022507E+04	3.668969E-04	2.933471E-05
2.069202E+04	3.475288E-04	2.773193E-05
2.116975E+04	3.307631E-04	2.638309E-05
2.165851E+04	3.167521E-04	2.531735E-05
2.215855E+04	3.051177E-04	2.448889E-05
2.267014E+04	2.953851E-04	2.383572E-05
2.319354E+04	2.871947E-04	2.331134E-05
2.372903E+04	2.802609E-04	2.288113E-05
2.427687E+04	2.743468E-04	2.251920E-05
