#wls	flux	fluxerr
3.257341E+03	1.110255E-02	2.313937E-04
3.257341E+03	1.110255E-02	2.313937E-04
3.332545E+03	1.151362E-02	2.396006E-04
3.332545E+03	1.151362E-02	2.396006E-04
3.409486E+03	1.209967E-02	2.513973E-04
3.409486E+03	1.209967E-02	2.513973E-04
3.488202E+03	1.288547E-02	2.672758E-04
3.488202E+03	1.288547E-02	2.672758E-04
3.568737E+03	1.390801E-02	2.879753E-04
3.568737E+03	1.390801E-02	2.879753E-04
3.651131E+03	1.520733E-02	3.142895E-04
3.651131E+03	1.520733E-02	3.142895E-04
3.735426E+03	1.678328E-02	3.461733E-04
3.735426E+03	1.678328E-02	3.461733E-04
3.821669E+03	1.855377E-02	3.818900E-04
3.821669E+03	1.855377E-02	3.818900E-04
3.909902E+03	2.030220E-02	4.169513E-04
3.909902E+03	2.030220E-02	4.169513E-04
4.000172E+03	2.166929E-02	4.439827E-04
4.000172E+03	2.166929E-02	4.439827E-04
4.092527E+03	2.227797E-02	4.553181E-04
4.092527E+03	2.227797E-02	4.553181E-04
4.187014E+03	2.202578E-02	4.489765E-04
4.187014E+03	2.202578E-02	4.489765E-04
4.283682E+03	2.117406E-02	4.304077E-04
4.283682E+03	2.117406E-02	4.304077E-04
4.382582E+03	2.009206E-02	4.072020E-04
4.382582E+03	2.009206E-02	4.072020E-04
4.483766E+03	1.899394E-02	3.837347E-04
4.483766E+03	1.899394E-02	3.837347E-04
4.587285E+03	1.794281E-02	3.612876E-04
4.587285E+03	1.794281E-02	3.612876E-04
4.693195E+03	1.700434E-02	3.411768E-04
4.693195E+03	1.700434E-02	3.411768E-04
4.801549E+03	1.615169E-02	3.228488E-04
4.801549E+03	1.615169E-02	3.228488E-04
4.912406E+03	1.531205E-02	3.048422E-04
4.912406E+03	1.531205E-02	3.048422E-04
5.025822E+03	1.450312E-02	2.875123E-04
5.025822E+03	1.450312E-02	2.875123E-04
5.141856E+03	1.378922E-02	2.721285E-04
5.141856E+03	1.378922E-02	2.721285E-04
5.260569E+03	1.321926E-02	2.596336E-04
5.260569E+03	1.321926E-02	2.596336E-04
5.382023E+03	1.277241E-02	2.495854E-04
5.382023E+03	1.277241E-02	2.495854E-04
5.506281E+03	1.237388E-02	2.404984E-04
5.506281E+03	1.237388E-02	2.404984E-04
5.633408E+03	1.193418E-02	2.306322E-04
5.633408E+03	1.193418E-02	2.306322E-04
5.763470E+03	1.140941E-02	2.191630E-04
5.763470E+03	1.140941E-02	2.191630E-04
5.896535E+03	1.077525E-02	2.056642E-04
5.896535E+03	1.077525E-02	2.056642E-04
6.032673E+03	1.007841E-02	1.910724E-04
6.032673E+03	1.007841E-02	1.910724E-04
6.171952E+03	9.368553E-03	1.763595E-04
6.171952E+03	9.368553E-03	1.763595E-04
6.314448E+03	8.672685E-03	1.620486E-04
6.314448E+03	8.672685E-03	1.620486E-04
6.460234E+03	8.035588E-03	1.489785E-04
6.460234E+03	8.035588E-03	1.489785E-04
6.609386E+03	7.494610E-03	1.378238E-04
6.609386E+03	7.494610E-03	1.378238E-04
6.761980E+03	6.963247E-03	1.269765E-04
6.761980E+03	6.963247E-03	1.269765E-04
6.918099E+03	6.458181E-03	1.167461E-04
6.918099E+03	6.458181E-03	1.167461E-04
7.077821E+03	6.036033E-03	1.081468E-04
7.077821E+03	6.036033E-03	1.081468E-04
7.241231E+03	5.707125E-03	1.013333E-04
7.241231E+03	5.707125E-03	1.013333E-04
7.408414E+03	5.426102E-03	9.547342E-05
7.408414E+03	5.426102E-03	9.547342E-05
7.579457E+03	5.156110E-03	8.991224E-05
