#wls	flux	fluxerr
3.257341E+03	4.609710E-03	2.338808E-04
3.257341E+03	4.609710E-03	2.338808E-04
3.332545E+03	4.747505E-03	2.323703E-04
3.332545E+03	4.747505E-03	2.323703E-04
3.409486E+03	4.893663E-03	2.305088E-04
3.409486E+03	4.893663E-03	2.305088E-04
3.488202E+03	5.048768E-03	2.282646E-04
3.488202E+03	5.048768E-03	2.282646E-04
3.568737E+03	5.213288E-03	2.255995E-04
3.568737E+03	5.213288E-03	2.255995E-04
3.651131E+03	5.387240E-03	2.224579E-04
3.651131E+03	5.387240E-03	2.224579E-04
3.735426E+03	5.569588E-03	2.187465E-04
3.735426E+03	5.569588E-03	2.187465E-04
3.821669E+03	5.758580E-03	2.143616E-04
3.821669E+03	5.758580E-03	2.143616E-04
3.909902E+03	5.951667E-03	2.092011E-04
3.909902E+03	5.951667E-03	2.092011E-04
4.000172E+03	6.145353E-03	2.031726E-04
4.000172E+03	6.145353E-03	2.031726E-04
4.092527E+03	6.335249E-03	1.962147E-04
4.092527E+03	6.335249E-03	1.962147E-04
4.187014E+03	6.516118E-03	1.883162E-04
4.187014E+03	6.516118E-03	1.883162E-04
4.283682E+03	6.681864E-03	1.795361E-04
4.283682E+03	6.681864E-03	1.795361E-04
4.382582E+03	6.825561E-03	1.700215E-04
4.382582E+03	6.825561E-03	1.700215E-04
4.483766E+03	6.939572E-03	1.600248E-04
4.483766E+03	6.939572E-03	1.600248E-04
4.587285E+03	7.015815E-03	1.499039E-04
4.587285E+03	7.015815E-03	1.499039E-04
4.693195E+03	7.048569E-03	1.400389E-04
4.693195E+03	7.048569E-03	1.400389E-04
4.801549E+03	7.037363E-03	1.307200E-04
4.801549E+03	7.037363E-03	1.307200E-04
4.912406E+03	6.984150E-03	1.219971E-04
4.912406E+03	6.984150E-03	1.219971E-04
5.025822E+03	6.893884E-03	1.136014E-04
5.025822E+03	6.893884E-03	1.136014E-04
5.141856E+03	6.773276E-03	1.052293E-04
5.141856E+03	6.773276E-03	1.052293E-04
5.260569E+03	6.630419E-03	9.666174E-05
5.260569E+03	6.630419E-03	9.666174E-05
5.382023E+03	6.474496E-03	8.784525E-05
5.382023E+03	6.474496E-03	8.784525E-05
5.506281E+03	6.315419E-03	7.893936E-05
5.506281E+03	6.315419E-03	7.893936E-05
5.633408E+03	6.158885E-03	7.007944E-05
5.633408E+03	6.158885E-03	7.007944E-05
5.763470E+03	6.002329E-03	6.134159E-05
5.763470E+03	6.002329E-03	6.134159E-05
5.896535E+03	5.841938E-03	5.347636E-05
5.896535E+03	5.841938E-03	5.347636E-05
6.032673E+03	5.673562E-03	4.832643E-05
6.032673E+03	5.673562E-03	4.832643E-05
6.171952E+03	5.492982E-03	4.834924E-05
6.171952E+03	5.492982E-03	4.834924E-05
6.314448E+03	5.299482E-03	5.292688E-05
6.314448E+03	5.299482E-03	5.292688E-05
6.460234E+03	5.095803E-03	5.886579E-05
6.460234E+03	5.095803E-03	5.886579E-05
6.609386E+03	4.884862E-03	6.394719E-05
6.609386E+03	4.884862E-03	6.394719E-05
6.761980E+03	4.669522E-03	6.709370E-05
6.761980E+03	4.669522E-03	6.709370E-05
6.918099E+03	4.452563E-03	6.795884E-05
6.918099E+03	4.452563E-03	6.795884E-05
7.077821E+03	4.236681E-03	6.666617E-05
7.077821E+03	4.236681E-03	6.666617E-05
7.241231E+03	4.024504E-03	6.369372E-05
7.241231E+03	4.024504E-03	6.369372E-05
7.408414E+03	3.818560E-03	5.982880E-05
7.408414E+03	3.818560E-03	5.982880E-05
7.579457E+03	3.621298E-03	5.611701E-05
7.579457E+03	3.621298E-03	5.611701E-05
7.754448E+03	3.431321E-03	5.347152E-05
7.754448E+03	3.431321E-03	5.347152E-05
7.933481E+03	3.247154E-03	5.163980E-05
7.933481E+03	3.247154E-03	5.163980E-05
8.116646E+03	3.077381E-03	4.975426E-05
8.116646E+03	3.077381E-03	4.975426E-05
8.304040E+03	2.930577E-03	4.729231E-05
8.304040E+03	2.930577E-03	4.729231E-05
8.495761E+03	2.814910E-03	4.420099E-05
8.495761E+03	2.814910E-03	4.420099E-05
8.691908E+03	2.738738E-03	4.092508E-05
8.691908E+03	2.738738E-03	4.092508E-05
8.892583E+03	2.711702E-03	3.852276E-05
8.892583E+03	2.711702E-03	3.852276E-05
9.097892E+03	2.738535E-03	3.850441E-05
9.097892E+03	2.738535E-03	3.850441E-05
9.307941E+03	2.800625E-03	4.117145E-05
9.307941E+03	2.800625E-03	4.117145E-05
9.522839E+03	2.878167E-03	4.512132E-05
9.522839E+03	2.878167E-03	4.512132E-05
9.742699E+03	2.949875E-03	4.905912E-05
