#wls	flux	fluxerr
3.257341E+03	6.443619E-06	3.076233E-07
3.332545E+03	5.530514E-06	2.640177E-07
3.409486E+03	4.756591E-06	2.270598E-07
3.488202E+03	4.111086E-06	1.962351E-07
3.568737E+03	3.582153E-06	1.709773E-07
3.651131E+03	3.156665E-06	1.506592E-07
3.735426E+03	2.820714E-06	1.346163E-07
3.821669E+03	2.560491E-06	1.221888E-07
3.909902E+03	2.363180E-06	1.127646E-07
4.000172E+03	2.217537E-06	1.058066E-07
4.092527E+03	2.114170E-06	1.008663E-07
4.187014E+03	2.045571E-06	9.758492E-08
4.283682E+03	2.005825E-06	9.567992E-08
4.382582E+03	1.990230E-06	9.492674E-08
4.483766E+03	1.995100E-06	9.514909E-08
4.587285E+03	2.017790E-06	9.622059E-08
4.693195E+03	2.056684E-06	9.806383E-08
4.801549E+03	2.110897E-06	1.006362E-07
4.912406E+03	2.179935E-06	1.039139E-07
5.025822E+03	2.263733E-06	1.078934E-07
5.141856E+03	2.363253E-06	1.126200E-07
5.260569E+03	2.481666E-06	1.182444E-07
5.382023E+03	2.625717E-06	1.250873E-07
5.506281E+03	2.806481E-06	1.336753E-07
5.633408E+03	3.038587E-06	1.447038E-07
5.763470E+03	3.337449E-06	1.589050E-07
5.896535E+03	3.714491E-06	1.768202E-07
6.032673E+03	4.170543E-06	1.984861E-07
6.171952E+03	4.690333E-06	2.231727E-07
6.314448E+03	5.246127E-06	2.495577E-07
6.460234E+03	5.816861E-06	2.766372E-07
6.609386E+03	6.406186E-06	3.045834E-07
6.761980E+03	7.035525E-06	3.344129E-07
6.918099E+03	7.724335E-06	3.670481E-07
7.077821E+03	8.478050E-06	4.027443E-07
7.241231E+03	9.286645E-06	4.410223E-07
7.408414E+03	1.012820E-05	4.808395E-07
7.579457E+03	1.097152E-05	5.207146E-07
7.754448E+03	1.177729E-05	5.587839E-07
7.933481E+03	1.249770E-05	5.927852E-07
8.116646E+03	1.308411E-05	6.204203E-07
8.304040E+03	1.352203E-05	6.410135E-07
8.495761E+03	1.386192E-05	6.569694E-07
8.691908E+03	1.422012E-05	6.738130E-07
8.892583E+03	1.476844E-05	6.996956E-07
9.097892E+03	1.569542E-05	7.435598E-07
9.307941E+03	1.710285E-05	8.102360E-07
9.522839E+03	1.894870E-05	8.977382E-07
9.742699E+03	2.109067E-05	9.993316E-07
9.967638E+03	2.330315E-05	1.104331E-06
1.019776E+04	2.526762E-05	1.197636E-06
1.043321E+04	2.667926E-05	1.264778E-06
1.067409E+04	2.738686E-05	1.298554E-06
1.092052E+04	2.740452E-05	1.299595E-06
1.117265E+04	2.685203E-05	1.273545E-06
1.143060E+04	2.590363E-05	1.228640E-06
1.169451E+04	2.475258E-05	1.174030E-06
1.196451E+04	2.358648E-05	1.118600E-06
1.224074E+04	2.258310E-05	1.070773E-06
1.252335E+04	2.189843E-05	1.037926E-06
1.281249E+04	2.161373E-05	1.023879E-06
1.310829E+04	2.172414E-05	1.028341E-06
1.341094E+04	2.217772E-05	1.048772E-06
1.372056E+04	2.288301E-05	1.080737E-06
1.403733E+04	2.371591E-05	1.118251E-06
1.436142E+04	2.453441E-05	1.154485E-06
1.469299E+04	2.518590E-05	1.182143E-06
1.503222E+04	2.551665E-05	1.193936E-06
1.537928E+04	2.541349E-05	1.184575E-06
1.573435E+04	2.488211E-05	1.154423E-06
1.609762E+04	2.410219E-05	1.111945E-06
1.646927E+04	2.334655E-05	1.069768E-06
1.684951E+04	2.280268E-05	1.036321E-06
1.723852E+04	2.255658E-05	1.015145E-06
1.763653E+04	2.264954E-05	1.007546E-06
1.804371E+04	2.307521E-05	1.012550E-06
1.846029E+04	2.376164E-05	1.026284E-06
1.888650E+04	2.456796E-05	1.042192E-06
1.932255E+04	2.529428E-05	1.051983E-06
1.976866E+04	2.570721E-05	1.047299E-06
2.022507E+04	2.559914E-05	1.022589E-06
2.069202E+04	2.489934E-05	9.793886E-07
2.116975E+04	2.379259E-05	9.298925E-07
2.165851E+04	2.262650E-05	8.903611E-07
2.215855E+04	2.142226E-05	8.574577E-07
2.267014E+04	2.008664E-05	8.223270E-07
2.319354E+04	1.863828E-05	7.818034E-07
2.372903E+04	1.713812E-05	7.360162E-07
2.427687E+04	1.564392E-05	6.863690E-07
