#wls	flux	fluxerr
3.257341E+03	9.533083E-03	9.092340E-04
3.332545E+03	9.567602E-03	9.089748E-04
3.409486E+03	9.721833E-03	9.200941E-04
3.488202E+03	1.001088E-02	9.439154E-04
3.568737E+03	1.046612E-02	9.832857E-04
3.651131E+03	1.113147E-02	1.042196E-03
3.735426E+03	1.203615E-02	1.123225E-03
3.821669E+03	1.317295E-02	1.225544E-03
3.909902E+03	1.446147E-02	1.341578E-03
4.000172E+03	1.573311E-02	1.455667E-03
4.092527E+03	1.678489E-02	1.549129E-03
4.187014E+03	1.748944E-02	1.610397E-03
4.283682E+03	1.786531E-02	1.641380E-03
4.382582E+03	1.801602E-02	1.651727E-03
4.483766E+03	1.800995E-02	1.647766E-03
4.587285E+03	1.785895E-02	1.630597E-03
4.693195E+03	1.757291E-02	1.601131E-03
4.801549E+03	1.714743E-02	1.558969E-03
4.912406E+03	1.657975E-02	1.503874E-03
5.025822E+03	1.592163E-02	1.440563E-03
5.141856E+03	1.527068E-02	1.377859E-03
5.260569E+03	1.470329E-02	1.322597E-03
5.382023E+03	1.424964E-02	1.277384E-03
5.506281E+03	1.386959E-02	1.238504E-03
5.633408E+03	1.346594E-02	1.197216E-03
5.763470E+03	1.296626E-02	1.147131E-03
5.896535E+03	1.234605E-02	1.086241E-03
6.032673E+03	1.162425E-02	1.016435E-03
6.171952E+03	1.082704E-02	9.402469E-04
6.314448E+03	1.000108E-02	8.619607E-04
6.460234E+03	9.242127E-03	7.899684E-04
6.609386E+03	8.583147E-03	7.270754E-04
6.761980E+03	7.973764E-03	6.689798E-04
6.918099E+03	7.390288E-03	6.137507E-04
7.077821E+03	6.855297E-03	5.633382E-04
7.241231E+03	6.388197E-03	5.193522E-04
7.408414E+03	5.980958E-03	4.811242E-04
7.579457E+03	5.614585E-03	4.471196E-04
7.754448E+03	5.267147E-03	4.155567E-04
7.933481E+03	4.920389E-03	3.849753E-04
8.116646E+03	4.587268E-03	3.563838E-04
8.304040E+03	4.287462E-03	3.312943E-04
8.495761E+03	4.018640E-03	3.095160E-04
8.691908E+03	3.767714E-03	2.900552E-04
8.892583E+03	3.541700E-03	2.734243E-04
9.097892E+03	3.357336E-03	2.608053E-04
9.307941E+03	3.221278E-03	2.525948E-04
9.522839E+03	3.131819E-03	2.486052E-04
9.742699E+03	3.071252E-03	2.474262E-04
9.967638E+03	3.003503E-03	2.460583E-04
1.019776E+04	2.887974E-03	2.409347E-04
1.043321E+04	2.715695E-03	2.309139E-04
1.067409E+04	2.516223E-03	2.181179E-04
1.092052E+04	2.319535E-03	2.049400E-04
1.117265E+04	2.140456E-03	1.926610E-04
1.143060E+04	1.983149E-03	1.817262E-04
1.169451E+04	1.845736E-03	1.720761E-04
1.196451E+04	1.723726E-03	1.634134E-04
1.224074E+04	1.613499E-03	1.555103E-04
1.252335E+04	1.514796E-03	1.484392E-04
1.281249E+04	1.429279E-03	1.423960E-04
1.310829E+04	1.355305E-03	1.372211E-04
1.341094E+04	1.288659E-03	1.324941E-04
1.372056E+04	1.225377E-03	1.278078E-04
1.403733E+04	1.162194E-03	1.228190E-04
1.436142E+04	1.096982E-03	1.173011E-04
1.469299E+04	1.029027E-03	1.111835E-04
1.503222E+04	9.588650E-04	1.045414E-04
1.537928E+04	8.883087E-04	9.760205E-05
1.573435E+04	8.205041E-04	9.075285E-05
1.609762E+04	7.588892E-04	8.442126E-05
1.646927E+04	7.064153E-04	7.896103E-05
1.684951E+04	6.630635E-04	7.438179E-05
1.723852E+04	6.267648E-04	7.046196E-05
1.763653E+04	5.952761E-04	6.695797E-05
1.804371E+04	5.662089E-04	6.361054E-05
1.846029E+04	5.368576E-04	6.013005E-05
1.888650E+04	5.049326E-04	5.628481E-05
1.932255E+04	4.694358E-04	5.200311E-05
1.976866E+04	4.308822E-04	4.739596E-05
2.022507E+04	3.909432E-04	4.271019E-05
2.069202E+04	3.518385E-04	3.825168E-05
2.116975E+04	3.155577E-04	3.429168E-05
2.165851E+04	2.833382E-04	3.096498E-05
2.215855E+04	2.554941E-04	2.820736E-05
2.267014E+04	2.317793E-04	2.591237E-05
2.319354E+04	2.115004E-04	2.396023E-05
2.372903E+04	1.938486E-04	2.224197E-05
2.427687E+04	1.781332E-04	2.067569E-05
