#wls	flux	fluxerr
3.257341E+03	1.631260E-02	1.160128E-03
3.257341E+03	1.631260E-02	1.160128E-03
3.332545E+03	1.630513E-02	1.156979E-03
3.332545E+03	1.630513E-02	1.156979E-03
3.409486E+03	1.628293E-02	1.152635E-03
3.409486E+03	1.628293E-02	1.152635E-03
3.488202E+03	1.624503E-02	1.147023E-03
3.488202E+03	1.624503E-02	1.147023E-03
3.568737E+03	1.619031E-02	1.140063E-03
3.568737E+03	1.619031E-02	1.140063E-03
3.651131E+03	1.611741E-02	1.131657E-03
3.651131E+03	1.611741E-02	1.131657E-03
3.735426E+03	1.602470E-02	1.121692E-03
3.735426E+03	1.602470E-02	1.121692E-03
3.821669E+03	1.591042E-02	1.110047E-03
3.821669E+03	1.591042E-02	1.110047E-03
3.909902E+03	1.577281E-02	1.096602E-03
3.909902E+03	1.577281E-02	1.096602E-03
4.000172E+03	1.561017E-02	1.081247E-03
4.000172E+03	1.561017E-02	1.081247E-03
4.092527E+03	1.542114E-02	1.063895E-03
4.092527E+03	1.542114E-02	1.063895E-03
4.187014E+03	1.520475E-02	1.044495E-03
4.187014E+03	1.520475E-02	1.044495E-03
4.283682E+03	1.496059E-02	1.023032E-03
4.283682E+03	1.496059E-02	1.023032E-03
4.382582E+03	1.468865E-02	9.995241E-04
4.382582E+03	1.468865E-02	9.995241E-04
4.483766E+03	1.438943E-02	9.740276E-04
4.483766E+03	1.438943E-02	9.740276E-04
4.587285E+03	1.406389E-02	9.466328E-04
4.587285E+03	1.406389E-02	9.466328E-04
4.693195E+03	1.371352E-02	9.174671E-04
4.693195E+03	1.371352E-02	9.174671E-04
4.801549E+03	1.334029E-02	8.866926E-04
4.801549E+03	1.334029E-02	8.866926E-04
4.912406E+03	1.294668E-02	8.545063E-04
4.912406E+03	1.294668E-02	8.545063E-04
5.025822E+03	1.253556E-02	8.211308E-04
5.025822E+03	1.253556E-02	8.211308E-04
5.141856E+03	1.211002E-02	7.868039E-04
5.141856E+03	1.211002E-02	7.868039E-04
5.260569E+03	1.167348E-02	7.517816E-04
5.260569E+03	1.167348E-02	7.517816E-04
5.382023E+03	1.122941E-02	7.163216E-04
5.382023E+03	1.122941E-02	7.163216E-04
5.506281E+03	1.078104E-02	6.806618E-04
5.506281E+03	1.078104E-02	6.806618E-04
5.633408E+03	1.033126E-02	6.450172E-04
5.633408E+03	1.033126E-02	6.450172E-04
5.763470E+03	9.882807E-03	6.095886E-04
5.763470E+03	9.882807E-03	6.095886E-04
5.896535E+03	9.438144E-03	5.745559E-04
5.896535E+03	9.438144E-03	5.745559E-04
6.032673E+03	8.999435E-03	5.400774E-04
6.032673E+03	8.999435E-03	5.400774E-04
6.171952E+03	8.568575E-03	5.062921E-04
6.171952E+03	8.568575E-03	5.062921E-04
6.314448E+03	8.147321E-03	4.733264E-04
6.314448E+03	8.147321E-03	4.733264E-04
6.460234E+03	7.737282E-03	4.412947E-04
6.460234E+03	7.737282E-03	4.412947E-04
6.609386E+03	7.339789E-03	4.102915E-04
6.609386E+03	7.339789E-03	4.102915E-04
6.761980E+03	6.955877E-03	3.803907E-04
6.761980E+03	6.955877E-03	3.803907E-04
6.918099E+03	6.586322E-03	3.516491E-04
6.918099E+03	6.586322E-03	3.516491E-04
7.077821E+03	6.231682E-03	3.241095E-04
7.077821E+03	6.231682E-03	3.241095E-04
7.241231E+03	5.892353E-03	2.978044E-04
7.241231E+03	5.892353E-03	2.978044E-04
7.408414E+03	5.568605E-03	2.727582E-04
7.408414E+03	5.568605E-03	2.727582E-04
7.579457E+03	5.260592E-03	2.489885E-04
7.579457E+03	5.260592E-03	2.489885E-04
7.754448E+03	4.968333E-03	2.265003E-04
7.754448E+03	4.968333E-03	2.265003E-04
7.933481E+03	4.691417E-03	2.052506E-04
7.933481E+03	4.691417E-03	2.052506E-04
8.116646E+03	4.429140E-03	1.851706E-04
8.116646E+03	4.429140E-03	1.851706E-04
8.304040E+03	4.180780E-03	1.662049E-04
8.304040E+03	4.180780E-03	1.662049E-04
8.495761E+03	3.945569E-03	1.483167E-04
8.495761E+03	3.945569E-03	1.483167E-04
8.691908E+03	3.722712E-03	1.314943E-04
8.691908E+03	3.722712E-03	1.314943E-04
8.892583E+03	3.511371E-03	1.157586E-04
8.892583E+03	3.511371E-03	1.157586E-04
9.097892E+03	3.310652E-03	1.011723E-04
9.097892E+03	3.310652E-03	1.011723E-04
9.307941E+03	3.119053E-03	8.782342E-05
9.307941E+03	3.119053E-03	8.782342E-05
9.522839E+03	2.934299E-03	7.583665E-05
9.522839E+03	2.934299E-03	7.583665E-05
9.742699E+03	2.754184E-03	6.543689E-05
9.742699E+03	2.754184E-03	6.543689E-05
9.967638E+03	2.576651E-03	5.693492E-05
9.967638E+03	2.576651E-03	5.693492E-05
1.019776E+04	2.399877E-03	5.061520E-05
1.019776E+04	2.399877E-03	5.061520E-05
1.043321E+04	2.224345E-03	4.614780E-05
1.043321E+04	2.224345E-03	4.614780E-05
1.067409E+04	2.052660E-03	4.265199E-05
1.067409E+04	2.052660E-03	4.265199E-05
1.092052E+04	1.887091E-03	3.942905E-05
1.092052E+04	1.887091E-03	3.942905E-05
1.117265E+04	1.729457E-03	3.610302E-05
1.117265E+04	1.729457E-03	3.610302E-05
1.143060E+04	1.581181E-03	3.260797E-05
1.143060E+04	1.581181E-03	3.260797E-05
1.169451E+04	1.443330E-03	2.913814E-05
1.169451E+04	1.443330E-03	2.913814E-05
1.196451E+04	1.316666E-03	2.610716E-05
1.196451E+04	1.316666E-03	2.610716E-05
1.224074E+04	1.201717E-03	2.408852E-05
1.224074E+04	1.201717E-03	2.408852E-05
1.252335E+04	1.098875E-03	2.358687E-05
1.252335E+04	1.098875E-03	2.358687E-05
1.281249E+04	1.007400E-03	2.428628E-05
1.281249E+04	1.007400E-03	2.428628E-05
1.310829E+04	9.257365E-04	2.546372E-05
1.310829E+04	9.257365E-04	2.546372E-05
1.341094E+04	8.525238E-04	2.664068E-05
1.341094E+04	8.525238E-04	2.664068E-05
