#wls	flux	fluxerr
3.257341E+03	2.344823E-04	1.750414E-05
3.257341E+03	2.344823E-04	1.750414E-05
3.332545E+03	2.522967E-04	1.822718E-05
3.332545E+03	2.522967E-04	1.822718E-05
3.409486E+03	2.728623E-04	1.904161E-05
3.409486E+03	2.728623E-04	1.904161E-05
3.488202E+03	2.967135E-04	1.996146E-05
3.488202E+03	2.967135E-04	1.996146E-05
3.568737E+03	3.245081E-04	2.100347E-05
3.568737E+03	3.245081E-04	2.100347E-05
3.651131E+03	3.570505E-04	2.218735E-05
3.651131E+03	3.570505E-04	2.218735E-05
3.735426E+03	3.953223E-04	2.353627E-05
3.735426E+03	3.953223E-04	2.353627E-05
3.821669E+03	4.405216E-04	2.507748E-05
3.821669E+03	4.405216E-04	2.507748E-05
3.909902E+03	4.938111E-04	2.682502E-05
3.909902E+03	4.938111E-04	2.682502E-05
4.000172E+03	5.560436E-04	2.876378E-05
4.000172E+03	5.560436E-04	2.876378E-05
4.092527E+03	6.279487E-04	3.086580E-05
4.092527E+03	6.279487E-04	3.086580E-05
4.187014E+03	7.100634E-04	3.309045E-05
4.187014E+03	7.100634E-04	3.309045E-05
4.283682E+03	8.025906E-04	3.538316E-05
4.283682E+03	8.025906E-04	3.538316E-05
4.382582E+03	9.052199E-04	3.767583E-05
4.382582E+03	9.052199E-04	3.767583E-05
4.483766E+03	1.016907E-03	3.988992E-05
4.483766E+03	1.016907E-03	3.988992E-05
4.587285E+03	1.135651E-03	4.194374E-05
4.587285E+03	1.135651E-03	4.194374E-05
4.693195E+03	1.258313E-03	4.376483E-05
4.693195E+03	1.258313E-03	4.376483E-05
4.801549E+03	1.380861E-03	4.531332E-05
4.801549E+03	1.380861E-03	4.531332E-05
4.912406E+03	1.498903E-03	4.659367E-05
4.912406E+03	1.498903E-03	4.659367E-05
5.025822E+03	1.608244E-03	4.764281E-05
5.025822E+03	1.608244E-03	4.764281E-05
5.141856E+03	1.705594E-03	4.843044E-05
5.141856E+03	1.705594E-03	4.843044E-05
5.260569E+03	1.788061E-03	4.888071E-05
5.260569E+03	1.788061E-03	4.888071E-05
5.382023E+03	1.853204E-03	4.891254E-05
5.382023E+03	1.853204E-03	4.891254E-05
5.506281E+03	1.899765E-03	4.846907E-05
5.506281E+03	1.899765E-03	4.846907E-05
5.633408E+03	1.928407E-03	4.753741E-05
5.633408E+03	1.928407E-03	4.753741E-05
5.763470E+03	1.941349E-03	4.611787E-05
5.763470E+03	1.941349E-03	4.611787E-05
5.896535E+03	1.941908E-03	4.427938E-05
5.896535E+03	1.941908E-03	4.427938E-05
6.032673E+03	1.934137E-03	4.221726E-05
6.032673E+03	1.934137E-03	4.221726E-05
6.171952E+03	1.922732E-03	4.027880E-05
6.171952E+03	1.922732E-03	4.027880E-05
6.314448E+03	1.913072E-03	3.891075E-05
6.314448E+03	1.913072E-03	3.891075E-05
6.460234E+03	1.910680E-03	3.848752E-05
6.460234E+03	1.910680E-03	3.848752E-05
6.609386E+03	1.917121E-03	3.882453E-05
6.609386E+03	1.917121E-03	3.882453E-05
6.761980E+03	1.929858E-03	3.929038E-05
6.761980E+03	1.929858E-03	3.929038E-05
6.918099E+03	1.945708E-03	3.934408E-05
6.918099E+03	1.945708E-03	3.934408E-05
7.077821E+03	1.960899E-03	3.866235E-05
7.077821E+03	1.960899E-03	3.866235E-05
7.241231E+03	1.971004E-03	3.724565E-05
7.241231E+03	1.971004E-03	3.724565E-05
7.408414E+03	1.970938E-03	3.554539E-05
7.408414E+03	1.970938E-03	3.554539E-05
7.579457E+03	1.956405E-03	3.450442E-05
7.579457E+03	1.956405E-03	3.450442E-05
7.754448E+03	1.924498E-03	3.484920E-05
7.754448E+03	1.924498E-03	3.484920E-05
7.933481E+03	1.863318E-03	3.585599E-05
7.933481E+03	1.863318E-03	3.585599E-05
8.116646E+03	1.782749E-03	3.641061E-05
8.116646E+03	1.782749E-03	3.641061E-05
8.304040E+03	1.696386E-03	3.590631E-05
8.304040E+03	1.696386E-03	3.590631E-05
8.495761E+03	1.617887E-03	3.431863E-05
8.495761E+03	1.617887E-03	3.431863E-05
8.691908E+03	1.560790E-03	3.205466E-05
8.691908E+03	1.560790E-03	3.205466E-05
8.892583E+03	1.539798E-03	2.981297E-05
8.892583E+03	1.539798E-03	2.981297E-05
9.097892E+03	1.570504E-03	2.850531E-05
9.097892E+03	1.570504E-03	2.850531E-05
9.307941E+03	1.655439E-03	2.848210E-05
9.307941E+03	1.655439E-03	2.848210E-05
9.522839E+03	1.782529E-03	2.862634E-05
9.522839E+03	1.782529E-03	2.862634E-05
9.742699E+03	1.933949E-03	2.773995E-05
9.742699E+03	1.933949E-03	2.773995E-05
9.967638E+03	2.081156E-03	2.545844E-05
9.967638E+03	2.081156E-03	2.545844E-05
1.019776E+04	2.162305E-03	2.192495E-05
1.019776E+04	2.162305E-03	2.192495E-05
1.043321E+04	2.159204E-03	2.041755E-05
1.043321E+04	2.159204E-03	2.041755E-05
1.067409E+04	2.152604E-03	2.610487E-05
1.067409E+04	2.152604E-03	2.610487E-05
1.092052E+04	2.153823E-03	3.375213E-05
1.092052E+04	2.153823E-03	3.375213E-05
1.117265E+04	2.142830E-03	3.797513E-05
1.117265E+04	2.142830E-03	3.797513E-05
1.143060E+04	2.096862E-03	3.645678E-05
1.143060E+04	2.096862E-03	3.645678E-05
1.169451E+04	1.992709E-03	2.885663E-05
1.169451E+04	1.992709E-03	2.885663E-05
1.196451E+04	1.811376E-03	1.796889E-05
1.196451E+04	1.811376E-03	1.796889E-05
1.224074E+04	1.547879E-03	1.459063E-05
1.224074E+04	1.547879E-03	1.459063E-05
1.252335E+04	1.297829E-03	2.157736E-05
1.252335E+04	1.297829E-03	2.157736E-05
1.281249E+04	1.131619E-03	2.912171E-05
1.281249E+04	1.131619E-03	2.912171E-05
1.310829E+04	1.025131E-03	3.509669E-05
1.310829E+04	1.025131E-03	3.509669E-05
1.341094E+04	9.608063E-04	3.952018E-05
1.341094E+04	9.608063E-04	3.952018E-05
1.372056E+04	9.267462E-04	4.245526E-05
1.372056E+04	9.267462E-04	4.245526E-05
1.403733E+04	9.142726E-04	4.374677E-05
1.403733E+04	9.142726E-04	4.374677E-05
1.436142E+04	9.162946E-04	4.302004E-05
1.436142E+04	9.162946E-04	4.302004E-05
1.469299E+04	9.261218E-04	3.975409E-05
1.469299E+04	9.261218E-04	3.975409E-05
1.503222E+04	9.366431E-04	3.343204E-05
1.503222E+04	9.366431E-04	3.343204E-05
1.537928E+04	9.398309E-04	2.384671E-05
1.537928E+04	9.398309E-04	2.384671E-05
1.573435E+04	9.267147E-04	1.217164E-05
1.573435E+04	9.267147E-04	1.217164E-05
1.609762E+04	8.891726E-04	1.055990E-05
1.609762E+04	8.891726E-04	1.055990E-05
1.646927E+04	8.422614E-04	2.176937E-05
1.646927E+04	8.422614E-04	2.176937E-05
1.684951E+04	7.977639E-04	3.206032E-05
1.684951E+04	7.977639E-04	3.206032E-05
1.723852E+04	7.554333E-04	3.979110E-05
1.723852E+04	7.554333E-04	3.979110E-05
1.763653E+04	7.149564E-04	4.476181E-05
1.763653E+04	7.149564E-04	4.476181E-05
1.804371E+04	6.760986E-04	4.702240E-05
1.804371E+04	6.760986E-04	4.702240E-05
1.846029E+04	6.386989E-04	4.672042E-05
1.846029E+04	6.386989E-04	4.672042E-05
1.888650E+04	6.026746E-04	4.405602E-05
1.888650E+04	6.026746E-04	4.405602E-05
1.932255E+04	5.680664E-04	3.926967E-05
1.932255E+04	5.680664E-04	3.926967E-05
1.976866E+04	5.350240E-04	3.264429E-05
1.976866E+04	5.350240E-04	3.264429E-05
2.022507E+04	5.037749E-04	2.454956E-05
2.022507E+04	5.037749E-04	2.454956E-05
2.069202E+04	4.746539E-04	1.571268E-05
2.069202E+04	4.746539E-04	1.571268E-05
2.116975E+04	4.481262E-04	9.300448E-06
2.116975E+04	4.481262E-04	9.300448E-06
2.165851E+04	4.270906E-04	1.320682E-05
2.165851E+04	4.270906E-04	1.320682E-05
2.215855E+04	4.116647E-04	2.102810E-05
2.215855E+04	4.116647E-04	2.102810E-05
2.267014E+04	4.003214E-04	2.836277E-05
2.267014E+04	4.003214E-04	2.836277E-05
2.319354E+04	3.919630E-04	3.467603E-05
2.319354E+04	3.919630E-04	3.467603E-05
2.372903E+04	3.857562E-04	3.996155E-05
2.372903E+04	3.857562E-04	3.996155E-05
2.427687E+04	3.810439E-04	4.430088E-05
2.427687E+04	3.810439E-04	4.430088E-05
