#wls	flux	fluxerr
3.257341E+03	1.412667E-04	6.883863E-06
3.332545E+03	1.237915E-04	6.031521E-06
3.409486E+03	1.074072E-04	5.232515E-06
3.488202E+03	9.262492E-05	4.511723E-06
3.568737E+03	7.980375E-05	3.886619E-06
3.651131E+03	6.906242E-05	3.362954E-06
3.735426E+03	6.029020E-05	2.935300E-06
3.821669E+03	5.323550E-05	2.591370E-06
3.909902E+03	4.759289E-05	2.316264E-06
4.000172E+03	4.306015E-05	2.095245E-06
4.092527E+03	3.937833E-05	1.915688E-06
4.187014E+03	3.635204E-05	1.768069E-06
4.283682E+03	3.383993E-05	1.645496E-06
4.382582E+03	3.173301E-05	1.542659E-06
4.483766E+03	2.993915E-05	1.455066E-06
4.587285E+03	2.838764E-05	1.379274E-06
4.693195E+03	2.703731E-05	1.313274E-06
4.801549E+03	2.587277E-05	1.256312E-06
4.912406E+03	2.489995E-05	1.208669E-06
5.025822E+03	2.414703E-05	1.171706E-06
5.141856E+03	2.366624E-05	1.147944E-06
5.260569E+03	2.353816E-05	1.141277E-06
5.382023E+03	2.385894E-05	1.156343E-06
5.506281E+03	2.469019E-05	1.196096E-06
5.633408E+03	2.598060E-05	1.258015E-06
5.763470E+03	2.753695E-05	1.332710E-06
5.896535E+03	2.907161E-05	1.406242E-06
6.032673E+03	3.026646E-05	1.463226E-06
6.171952E+03	3.087189E-05	1.491623E-06
6.314448E+03	3.086325E-05	1.490290E-06
6.460234E+03	3.053517E-05	1.473500E-06
6.609386E+03	3.034063E-05	1.463128E-06
6.761980E+03	3.058832E-05	1.474039E-06
6.918099E+03	3.134632E-05	1.509471E-06
7.077821E+03	3.250338E-05	1.564017E-06
7.241231E+03	3.384500E-05	1.627325E-06
7.408414E+03	3.512571E-05	1.687588E-06
7.579457E+03	3.613722E-05	1.734823E-06
7.754448E+03	3.677844E-05	1.764230E-06
7.933481E+03	3.706713E-05	1.776725E-06
8.116646E+03	3.700996E-05	1.772693E-06
8.304040E+03	3.653343E-05	1.748689E-06
8.495761E+03	3.558874E-05	1.702453E-06
8.691908E+03	3.421150E-05	1.635767E-06
8.892583E+03	3.260908E-05	1.558601E-06
9.097892E+03	3.125258E-05	1.493493E-06
9.307941E+03	3.063424E-05	1.463911E-06
9.522839E+03	3.084231E-05	1.474018E-06
9.742699E+03	3.168535E-05	1.514635E-06
9.967638E+03	3.286581E-05	1.571515E-06
1.019776E+04	3.391181E-05	1.622059E-06
1.043321E+04	3.440416E-05	1.646151E-06
1.067409E+04	3.426079E-05	1.639777E-06
1.092052E+04	3.362355E-05	1.609643E-06
1.117265E+04	3.264872E-05	1.563162E-06
1.143060E+04	3.145539E-05	1.505985E-06
1.169451E+04	3.017338E-05	1.444295E-06
1.196451E+04	2.897166E-05	1.386153E-06
1.224074E+04	2.806159E-05	1.341641E-06
1.252335E+04	2.765053E-05	1.320605E-06
1.281249E+04	2.780954E-05	1.326310E-06
1.310829E+04	2.843781E-05	1.353758E-06
1.341094E+04	2.933083E-05	1.392990E-06
1.372056E+04	3.021543E-05	1.430826E-06
1.403733E+04	3.086725E-05	1.456515E-06
1.436142E+04	3.124048E-05	1.467857E-06
1.469299E+04	3.144029E-05	1.469794E-06
1.503222E+04	3.157452E-05	1.467332E-06
1.537928E+04	3.164450E-05	1.460469E-06
1.573435E+04	3.159633E-05	1.446701E-06
1.609762E+04	3.154650E-05	1.431375E-06
1.646927E+04	3.189439E-05	1.432323E-06
1.684951E+04	3.292361E-05	1.460998E-06
1.723852E+04	3.471652E-05	1.518916E-06
1.763653E+04	3.731067E-05	1.604925E-06
1.804371E+04	4.072926E-05	1.716507E-06
1.846029E+04	4.492579E-05	1.847538E-06
1.888650E+04	4.972900E-05	1.986707E-06
1.932255E+04	5.480095E-05	2.117510E-06
1.976866E+04	5.955763E-05	2.218180E-06
2.022507E+04	6.318647E-05	2.266771E-06
2.069202E+04	6.506170E-05	2.259614E-06
2.116975E+04	6.542661E-05	2.232809E-06
2.165851E+04	6.542917E-05	2.251896E-06
2.215855E+04	6.575788E-05	2.334714E-06
2.267014E+04	6.622417E-05	2.453745E-06
2.319354E+04	6.651179E-05	2.579326E-06
2.372903E+04	6.632120E-05	2.685722E-06
2.427687E+04	6.543771E-05	2.753850E-06
