#wls	flux	fluxerr
3.257341E+03	3.886478E-16	3.412171E-17
3.332545E+03	3.970951E-16	3.459557E-17
3.409486E+03	4.101902E-16	3.546270E-17
3.488202E+03	4.287883E-16	3.678921E-17
3.568737E+03	4.545370E-16	3.870724E-17
3.651131E+03	4.896552E-16	4.139403E-17
3.735426E+03	5.355552E-16	4.495387E-17
3.821669E+03	5.917536E-16	4.933081E-17
3.909902E+03	6.541249E-16	5.416947E-17
4.000172E+03	7.140638E-16	5.875348E-17
4.092527E+03	7.612033E-16	6.223881E-17
4.187014E+03	7.896870E-16	6.416693E-17
4.283682E+03	8.017471E-16	6.474201E-17
4.382582E+03	8.039893E-16	6.451314E-17
4.483766E+03	8.006712E-16	6.382822E-17
4.587285E+03	7.927941E-16	6.276832E-17
4.693195E+03	7.811754E-16	6.139819E-17
4.801549E+03	7.651575E-16	5.966630E-17
4.912406E+03	7.435476E-16	5.748258E-17
5.025822E+03	7.182122E-16	5.499658E-17
5.141856E+03	6.932901E-16	5.252696E-17
5.260569E+03	6.718005E-16	5.029646E-17
5.382023E+03	6.546661E-16	4.836187E-17
5.506281E+03	6.397139E-16	4.654956E-17
5.633408E+03	6.224651E-16	4.452965E-17
5.763470E+03	5.999645E-16	4.210303E-17
5.896535E+03	5.711756E-16	3.922333E-17
6.032673E+03	5.374896E-16	3.602006E-17
6.171952E+03	5.007007E-16	3.264674E-17
6.314448E+03	4.628690E-16	2.926648E-17
6.460234E+03	4.280963E-16	2.615469E-17
6.609386E+03	3.980216E-16	2.340755E-17
6.761980E+03	3.699608E-16	2.086066E-17
6.918099E+03	3.431797E-16	1.847998E-17
7.077821E+03	3.192091E-16	1.635542E-17
7.241231E+03	2.988021E-16	1.452343E-17
7.408414E+03	2.809928E-16	1.293396E-17
7.579457E+03	2.644678E-16	1.152603E-17
7.754448E+03	2.482093E-16	1.024411E-17
7.933481E+03	2.315772E-16	9.057625E-18
8.116646E+03	2.153305E-16	8.001678E-18
8.304040E+03	2.003873E-16	7.121960E-18
8.495761E+03	1.865751E-16	6.432601E-18
8.691908E+03	1.732257E-16	5.937908E-18
8.892583E+03	1.610341E-16	5.670682E-18
9.097892E+03	1.511684E-16	5.636893E-18
9.307941E+03	1.440715E-16	5.801786E-18
9.522839E+03	1.396406E-16	6.134098E-18
9.742699E+03	1.370201E-16	6.587738E-18
9.967638E+03	1.345124E-16	7.065346E-18
1.019776E+04	1.301708E-16	7.432586E-18
1.043321E+04	1.234304E-16	7.611810E-18
1.067409E+04	1.154464E-16	7.635002E-18
1.092052E+04	1.074340E-16	7.566169E-18
1.117265E+04	1.000263E-16	7.452127E-18
1.143060E+04	9.341093E-17	7.318123E-18
1.169451E+04	8.752389E-17	7.173132E-18
1.196451E+04	8.221382E-17	7.018395E-18
1.224074E+04	7.740343E-17	6.859839E-18
1.252335E+04	7.316618E-17	6.715294E-18
1.281249E+04	6.954142E-17	6.595333E-18
1.310829E+04	6.635779E-17	6.487331E-18
1.341094E+04	6.338694E-17	6.371184E-18
1.372056E+04	6.044955E-17	6.229846E-18
1.403733E+04	5.741945E-17	6.050745E-18
1.436142E+04	5.422679E-17	5.826995E-18
1.469299E+04	5.086355E-17	5.558733E-18
1.503222E+04	4.737799E-17	5.253073E-18
1.537928E+04	4.387460E-17	4.924328E-18
1.573435E+04	4.051146E-17	4.593760E-18
1.609762E+04	3.747177E-17	4.285990E-18
1.646927E+04	3.490295E-17	4.020216E-18
1.684951E+04	3.276145E-17	3.792691E-18
1.723852E+04	3.092970E-17	3.590782E-18
1.763653E+04	2.929799E-17	3.402524E-18
1.804371E+04	2.775746E-17	3.216095E-18
1.846029E+04	2.619542E-17	3.019636E-18
1.888650E+04	2.452339E-17	2.804906E-18
1.932255E+04	2.271007E-17	2.571325E-18
1.976866E+04	2.078909E-17	2.326722E-18
2.022507E+04	1.884230E-17	2.084951E-18
2.069202E+04	1.697173E-17	1.862097E-18
2.116975E+04	1.526922E-17	1.672526E-18
2.165851E+04	1.378977E-17	1.522677E-18
2.215855E+04	1.252985E-17	1.404764E-18
2.267014E+04	1.146639E-17	1.309976E-18
2.319354E+04	1.056294E-17	1.230752E-18
2.372903E+04	9.779615E-18	1.160994E-18
2.427687E+04	9.082026E-18	1.096322E-18
