#wls	flux	fluxerr
3.257341E+03	5.467500E-16	3.888405E-17
3.257341E+03	5.467500E-16	3.888405E-17
3.332545E+03	5.518264E-16	3.915650E-17
3.332545E+03	5.518264E-16	3.915650E-17
3.409486E+03	5.554580E-16	3.931973E-17
3.409486E+03	5.554580E-16	3.931973E-17
3.488202E+03	5.578255E-16	3.938675E-17
3.488202E+03	5.578255E-16	3.938675E-17
3.568737E+03	5.591879E-16	3.937599E-17
3.568737E+03	5.591879E-16	3.937599E-17
3.651131E+03	5.597964E-16	3.930519E-17
3.651131E+03	5.597964E-16	3.930519E-17
3.735426E+03	5.598440E-16	3.918781E-17
3.735426E+03	5.598440E-16	3.918781E-17
3.821669E+03	5.594476E-16	3.903185E-17
3.821669E+03	5.594476E-16	3.903185E-17
3.909902E+03	5.586465E-16	3.883981E-17
3.909902E+03	5.586465E-16	3.883981E-17
4.000172E+03	5.574083E-16	3.860918E-17
4.000172E+03	5.574083E-16	3.860918E-17
4.092527E+03	5.556489E-16	3.833390E-17
4.092527E+03	5.556489E-16	3.833390E-17
4.187014E+03	5.532506E-16	3.800572E-17
4.187014E+03	5.532506E-16	3.800572E-17
4.283682E+03	5.500789E-16	3.761537E-17
4.283682E+03	5.500789E-16	3.761537E-17
4.382582E+03	5.459956E-16	3.715356E-17
4.382582E+03	5.459956E-16	3.715356E-17
4.483766E+03	5.408725E-16	3.661193E-17
4.483766E+03	5.408725E-16	3.661193E-17
4.587285E+03	5.346042E-16	3.598392E-17
4.587285E+03	5.346042E-16	3.598392E-17
4.693195E+03	5.271181E-16	3.526546E-17
4.693195E+03	5.271181E-16	3.526546E-17
4.801549E+03	5.183809E-16	3.445536E-17
4.801549E+03	5.183809E-16	3.445536E-17
4.912406E+03	5.084040E-16	3.355566E-17
4.912406E+03	5.084040E-16	3.355566E-17
5.025822E+03	4.972407E-16	3.257132E-17
5.025822E+03	4.972407E-16	3.257132E-17
5.141856E+03	4.849810E-16	3.150985E-17
5.141856E+03	4.849810E-16	3.150985E-17
5.260569E+03	4.717516E-16	3.038119E-17
5.260569E+03	4.717516E-16	3.038119E-17
5.382023E+03	4.577037E-16	2.919680E-17
5.382023E+03	4.577037E-16	2.919680E-17
5.506281E+03	4.429945E-16	2.796850E-17
5.506281E+03	4.429945E-16	2.796850E-17
5.633408E+03	4.277812E-16	2.670790E-17
5.633408E+03	4.277812E-16	2.670790E-17
5.763470E+03	4.122209E-16	2.542650E-17
5.763470E+03	4.122209E-16	2.542650E-17
5.896535E+03	3.964626E-16	2.413503E-17
5.896535E+03	3.964626E-16	2.413503E-17
6.032673E+03	3.806430E-16	2.284329E-17
6.032673E+03	3.806430E-16	2.284329E-17
6.171952E+03	3.648846E-16	2.155997E-17
6.171952E+03	3.648846E-16	2.155997E-17
6.314448E+03	3.492994E-16	2.029288E-17
6.314448E+03	3.492994E-16	2.029288E-17
6.460234E+03	3.339872E-16	1.904891E-17
6.460234E+03	3.339872E-16	1.904891E-17
