#wls	flux	fluxerr
3.257341E+03	5.874326E-18	5.324536E-19
3.257341E+03	5.874326E-18	5.324536E-19
3.332545E+03	6.245758E-18	5.449678E-19
3.332545E+03	6.245758E-18	5.449678E-19
3.409486E+03	6.653397E-18	5.574598E-19
3.409486E+03	6.653397E-18	5.574598E-19
3.488202E+03	7.106932E-18	5.702854E-19
3.488202E+03	7.106932E-18	5.702854E-19
3.568737E+03	7.619506E-18	5.839401E-19
3.568737E+03	7.619506E-18	5.839401E-19
3.651131E+03	8.207321E-18	5.989756E-19
3.651131E+03	8.207321E-18	5.989756E-19
3.735426E+03	8.889608E-18	6.159542E-19
3.735426E+03	8.889608E-18	6.159542E-19
3.821669E+03	9.688905E-18	6.354305E-19
3.821669E+03	9.688905E-18	6.354305E-19
3.909902E+03	1.062688E-17	6.576311E-19
3.909902E+03	1.062688E-17	6.576311E-19
4.000172E+03	1.172034E-17	6.822315E-19
4.000172E+03	1.172034E-17	6.822315E-19
4.092527E+03	1.298403E-17	7.086879E-19
4.092527E+03	1.298403E-17	7.086879E-19
4.187014E+03	1.442955E-17	7.362989E-19
4.187014E+03	1.442955E-17	7.362989E-19
4.283682E+03	1.606303E-17	7.642682E-19
4.283682E+03	1.606303E-17	7.642682E-19
4.382582E+03	1.788198E-17	7.918087E-19
4.382582E+03	1.788198E-17	7.918087E-19
4.483766E+03	1.987099E-17	8.182995E-19
4.483766E+03	1.987099E-17	8.182995E-19
4.587285E+03	2.198900E-17	8.429757E-19
4.587285E+03	2.198900E-17	8.429757E-19
4.693195E+03	2.415717E-17	8.646154E-19
4.693195E+03	2.415717E-17	8.646154E-19
4.801549E+03	2.626328E-17	8.822008E-19
4.801549E+03	2.626328E-17	8.822008E-19
4.912406E+03	2.817394E-17	8.950901E-19
4.912406E+03	2.817394E-17	8.950901E-19
5.025822E+03	2.982875E-17	9.033207E-19
5.025822E+03	2.982875E-17	9.033207E-19
5.141856E+03	3.124993E-17	9.060192E-19
5.141856E+03	3.124993E-17	9.060192E-19
5.260569E+03	3.249971E-17	9.020275E-19
5.260569E+03	3.249971E-17	9.020275E-19
5.382023E+03	3.367980E-17	8.907919E-19
5.382023E+03	3.367980E-17	8.907919E-19
5.506281E+03	3.491815E-17	8.722188E-19
5.506281E+03	3.491815E-17	8.722188E-19
5.633408E+03	3.633753E-17	8.456632E-19
5.633408E+03	3.633753E-17	8.456632E-19
5.763470E+03	3.800696E-17	8.093031E-19
5.763470E+03	3.800696E-17	8.093031E-19
5.896535E+03	3.994491E-17	7.629173E-19
5.896535E+03	3.994491E-17	7.629173E-19
6.032673E+03	4.216563E-17	7.144935E-19
6.032673E+03	4.216563E-17	7.144935E-19
6.171952E+03	4.467791E-17	6.875709E-19
6.171952E+03	4.467791E-17	6.875709E-19
6.314448E+03	4.744093E-17	7.192922E-19
6.314448E+03	4.744093E-17	7.192922E-19
