#wls	flux	fluxerr
3.257341E+03	1.181155E-18	1.025761E-19
3.332545E+03	1.148984E-18	9.974785E-20
3.409486E+03	1.115206E-18	9.678026E-20
3.488202E+03	1.080681E-18	9.374810E-20
3.568737E+03	1.046404E-18	9.073797E-20
3.651131E+03	1.013296E-18	8.782960E-20
3.735426E+03	9.820833E-19	8.508594E-20
3.821669E+03	9.532710E-19	8.255053E-20
3.909902E+03	9.271549E-19	8.024876E-20
4.000172E+03	9.038540E-19	7.819059E-20
4.092527E+03	8.833528E-19	7.637437E-20
4.187014E+03	8.655538E-19	7.479125E-20
4.283682E+03	8.503131E-19	7.342841E-20
4.382582E+03	8.374581E-19	7.227051E-20
4.483766E+03	8.268015E-19	7.130096E-20
4.587285E+03	8.181644E-19	7.050389E-20
4.693195E+03	8.113958E-19	6.986580E-20
4.801549E+03	8.063759E-19	6.937594E-20
4.912406E+03	8.030223E-19	6.902670E-20
5.025822E+03	8.012948E-19	6.881411E-20
5.141856E+03	8.011875E-19	6.873710E-20
5.260569E+03	8.027353E-19	6.879807E-20
5.382023E+03	8.060121E-19	6.900266E-20
5.506281E+03	8.111278E-19	6.935955E-20
5.633408E+03	8.182156E-19	6.987928E-20
5.763470E+03	8.274254E-19	7.057371E-20
5.896535E+03	8.389063E-19	7.145453E-20
6.032673E+03	8.527979E-19	7.253247E-20
6.171952E+03	8.692260E-19	7.381696E-20
6.314448E+03	8.883039E-19	7.531629E-20
6.460234E+03	9.101282E-19	7.703724E-20
6.609386E+03	9.347650E-19	7.898396E-20
6.761980E+03	9.622196E-19	8.115550E-20
6.918099E+03	9.924210E-19	8.354459E-20
7.077821E+03	1.025211E-18	8.613688E-20
7.241231E+03	1.060346E-18	8.891136E-20
7.408414E+03	1.097510E-18	9.184146E-20
7.579457E+03	1.136312E-18	9.489530E-20
7.754448E+03	1.176297E-18	9.803686E-20
7.933481E+03	1.216952E-18	1.012266E-19
8.116646E+03	1.257727E-18	1.044239E-19
8.304040E+03	1.298043E-18	1.075876E-19
8.495761E+03	1.337278E-18	1.106754E-19
8.691908E+03	1.374744E-18	1.136422E-19
8.892583E+03	1.409670E-18	1.164386E-19
9.097892E+03	1.441368E-18	1.190235E-19
9.307941E+03	1.469912E-18	1.214067E-19
9.522839E+03	1.495226E-18	1.235769E-19
9.742699E+03	1.517063E-18	1.255062E-19
9.967638E+03	1.535243E-18	1.271705E-19
1.019776E+04	1.549697E-18	1.285530E-19
1.043321E+04	1.560494E-18	1.296475E-19
1.067409E+04	1.567812E-18	1.304561E-19
1.092052E+04	1.571894E-18	1.309859E-19
1.117265E+04	1.573042E-18	1.312490E-19
1.143060E+04	1.571621E-18	1.312630E-19
1.169451E+04	1.568048E-18	1.310505E-19
1.196451E+04	1.562770E-18	1.306367E-19
1.224074E+04	1.556235E-18	1.300475E-19
1.252335E+04	1.548874E-18	1.293078E-19
1.281249E+04	1.541066E-18	1.284379E-19
1.310829E+04	1.533149E-18	1.274554E-19
1.341094E+04	1.525473E-18	1.263783E-19
1.372056E+04	1.518428E-18	1.252284E-19
1.403733E+04	1.512592E-18	1.240428E-19
1.436142E+04	1.508844E-18	1.228834E-19
1.469299E+04	1.508403E-18	1.218391E-19
1.503222E+04	1.512901E-18	1.210309E-19
1.537928E+04	1.524530E-18	1.206225E-19
1.573435E+04	1.546278E-18	1.208361E-19
1.609762E+04	1.582297E-18	1.219765E-19
1.646927E+04	1.637685E-18	1.243956E-19
1.684951E+04	1.713392E-18	1.280059E-19
1.723852E+04	1.808143E-18	1.324576E-19
1.763653E+04	1.920787E-18	1.373588E-19
1.804371E+04	2.050111E-18	1.422599E-19
1.846029E+04	2.194629E-18	1.466485E-19
1.888650E+04	2.352277E-18	1.499634E-19
1.932255E+04	2.520221E-18	1.516698E-19
1.976866E+04	2.694452E-18	1.514201E-19
2.022507E+04	2.869176E-18	1.493829E-19
2.069202E+04	3.036272E-18	1.468522E-19
2.116975E+04	3.184462E-18	1.469992E-19
2.165851E+04	3.301255E-18	1.544985E-19
2.215855E+04	3.387704E-18	1.697157E-19
2.267014E+04	3.449856E-18	1.889935E-19
2.319354E+04	3.493454E-18	2.091682E-19
2.372903E+04	3.523539E-18	2.282895E-19
2.427687E+04	3.544291E-18	2.453896E-19
