#wls	flux	fluxerr
3.257341E+03	1.213800E-02	1.121090E-03
3.332545E+03	1.187774E-02	1.093019E-03
3.409486E+03	1.169382E-02	1.072238E-03
3.488202E+03	1.156134E-02	1.056425E-03
3.568737E+03	1.152196E-02	1.049354E-03
3.651131E+03	1.166559E-02	1.059136E-03
3.735426E+03	1.204732E-02	1.090628E-03
3.821669E+03	1.265852E-02	1.142898E-03
3.909902E+03	1.341073E-02	1.207847E-03
4.000172E+03	1.415571E-02	1.272077E-03
4.092527E+03	1.475459E-02	1.323155E-03
4.187014E+03	1.514846E-02	1.355881E-03
4.283682E+03	1.537791E-02	1.373961E-03
4.382582E+03	1.552009E-02	1.384318E-03
4.483766E+03	1.559130E-02	1.388393E-03
4.587285E+03	1.552778E-02	1.380491E-03
4.693195E+03	1.521085E-02	1.350075E-03
4.801549E+03	1.451261E-02	1.285864E-03
4.912406E+03	1.350099E-02	1.193997E-03
5.025822E+03	1.233667E-02	1.088786E-03
5.141856E+03	1.120304E-02	9.864670E-04
5.260569E+03	1.028665E-02	9.034264E-04
5.382023E+03	9.747459E-03	8.535460E-04
5.506281E+03	9.576108E-03	8.357191E-04
5.633408E+03	9.591861E-03	8.338809E-04
5.763470E+03	9.613519E-03	8.321150E-04
5.896535E+03	9.503046E-03	8.184856E-04
6.032673E+03	9.145257E-03	7.832832E-04
6.171952E+03	8.402166E-03	7.151542E-04
6.314448E+03	7.296290E-03	6.167306E-04
6.460234E+03	6.273572E-03	5.262454E-04
6.609386E+03	5.568047E-03	4.631867E-04
6.761980E+03	5.179793E-03	4.270340E-04
6.918099E+03	5.041901E-03	4.117101E-04
7.077821E+03	5.088128E-03	4.113459E-04
7.241231E+03	5.252420E-03	4.202866E-04
7.408414E+03	5.451683E-03	4.317692E-04
7.579457E+03	5.587888E-03	4.381760E-04
7.754448E+03	5.584903E-03	4.338825E-04
7.933481E+03	5.414915E-03	4.171493E-04
8.116646E+03	5.109630E-03	3.907938E-04
8.304040E+03	4.724245E-03	3.592798E-04
8.495761E+03	4.300875E-03	3.259126E-04
8.691908E+03	3.882348E-03	2.939299E-04
8.892583E+03	3.526160E-03	2.675558E-04
9.097892E+03	3.265057E-03	2.490948E-04
9.307941E+03	3.093132E-03	2.379793E-04
9.522839E+03	2.999534E-03	2.333664E-04
9.742699E+03	2.965602E-03	2.338752E-04
9.967638E+03	2.951939E-03	2.364248E-04
1.019776E+04	2.909258E-03	2.369649E-04
1.043321E+04	2.808134E-03	2.328148E-04
1.067409E+04	2.654817E-03	2.241070E-04
1.092052E+04	2.473750E-03	2.125964E-04
1.117265E+04	2.286872E-03	2.000083E-04
1.143060E+04	2.107786E-03	1.875006E-04
1.169451E+04	1.943053E-03	1.757092E-04
1.196451E+04	1.795002E-03	1.649428E-04
1.224074E+04	1.664804E-03	1.554283E-04
1.252335E+04	1.553625E-03	1.473902E-04
1.281249E+04	1.460228E-03	1.407661E-04
1.310829E+04	1.379266E-03	1.350576E-04
1.341094E+04	1.303598E-03	1.295698E-04
1.372056E+04	1.227644E-03	1.237377E-04
1.403733E+04	1.148931E-03	1.172976E-04
1.436142E+04	1.067601E-03	1.102582E-04
1.469299E+04	9.850759E-04	1.027765E-04
1.503222E+04	9.031159E-04	9.506264E-05
1.537928E+04	8.240477E-04	8.740033E-05
1.573435E+04	7.516062E-04	8.023382E-05
1.609762E+04	6.910968E-04	7.418202E-05
1.646927E+04	6.470669E-04	6.976957E-05
1.684951E+04	6.165446E-04	6.669810E-05
1.723852E+04	5.948052E-04	6.446846E-05
1.763653E+04	5.779127E-04	6.265853E-05
1.804371E+04	5.619564E-04	6.084704E-05
1.846029E+04	5.429093E-04	5.860606E-05
1.888650E+04	5.178361E-04	5.563976E-05
1.932255E+04	4.860121E-04	5.190902E-05
1.976866E+04	4.486170E-04	4.759466E-05
2.022507E+04	4.076140E-04	4.296909E-05
2.069202E+04	3.651546E-04	3.832319E-05
2.116975E+04	3.237242E-04	3.396969E-05
2.165851E+04	2.855972E-04	3.013605E-05
2.215855E+04	2.513970E-04	2.678588E-05
2.267014E+04	2.218104E-04	2.391560E-05
2.319354E+04	1.973811E-04	2.154841E-05
2.372903E+04	1.780493E-04	1.967179E-05
2.427687E+04	1.632112E-04	1.822826E-05
