#wls	flux	fluxerr
3.257341E+03	2.164270E-02	7.428140E-04
3.257341E+03	2.164270E-02	7.428140E-04
3.332545E+03	2.167495E-02	7.425140E-04
3.332545E+03	2.167495E-02	7.425140E-04
3.409486E+03	2.172525E-02	7.427299E-04
3.409486E+03	2.172525E-02	7.427299E-04
3.488202E+03	2.178019E-02	7.429927E-04
3.488202E+03	2.178019E-02	7.429927E-04
3.568737E+03	2.189910E-02	7.453111E-04
3.568737E+03	2.189910E-02	7.453111E-04
3.651131E+03	2.221873E-02	7.543012E-04
3.651131E+03	2.221873E-02	7.543012E-04
3.689297E+03	4.446208E-02	1.507629E-03
3.691278E+03	4.340664E-02	1.471748E-03
3.693159E+03	4.231491E-02	1.434646E-03
3.695140E+03	4.128286E-02	1.399567E-03
3.697120E+03	4.051877E-02	1.373576E-03
3.699101E+03	3.988343E-02	1.351953E-03
3.700982E+03	3.891075E-02	1.318902E-03
3.702963E+03	3.789274E-02	1.284314E-03
3.704943E+03	3.689540E-02	1.250432E-03
3.706825E+03	3.593513E-02	1.217814E-03
3.708805E+03	3.514193E-02	1.190857E-03
3.710786E+03	3.430695E-02	1.162487E-03
3.712766E+03	3.337863E-02	1.130959E-03
3.714648E+03	3.248968E-02	1.100773E-03
3.716628E+03	3.161853E-02	1.071189E-03
3.718609E+03	3.089001E-02	1.046441E-03
3.720490E+03	3.014916E-02	1.021281E-03
3.722471E+03	2.954891E-02	1.000884E-03
3.724451E+03	2.896396E-02	9.810076E-04
3.726333E+03	2.837101E-02	9.608658E-04
3.728313E+03	2.779784E-02	9.413931E-04
3.730294E+03	2.722058E-02	9.217844E-04
3.732274E+03	2.671921E-02	9.047481E-04
3.734156E+03	2.628941E-02	8.901398E-04
3.736136E+03	2.589388E-02	8.766907E-04
3.738117E+03	2.561671E-02	8.672506E-04
3.739998E+03	2.541676E-02	8.604283E-04
3.741979E+03	2.518874E-02	8.526538E-04
3.743959E+03	2.508434E-02	8.490647E-04
3.745940E+03	2.501952E-02	8.468157E-04
3.747821E+03	2.496985E-02	8.450824E-04
3.749802E+03	2.500359E-02	8.461690E-04
3.751782E+03	2.509854E-02	8.493270E-04
3.753664E+03	2.520899E-02	8.530117E-04
3.755644E+03	2.532163E-02	8.567670E-04
3.757625E+03	2.550281E-02	8.628407E-04
3.759605E+03	2.562030E-02	8.667592E-04
3.761487E+03	2.581197E-02	8.731891E-04
3.763467E+03	2.601820E-02	8.801078E-04
3.765448E+03	2.634776E-02	8.911970E-04
3.767329E+03	2.662751E-02	9.006031E-04
3.769310E+03	2.692506E-02	9.106070E-04
3.771291E+03	2.722719E-02	9.207642E-04
3.773172E+03	2.754164E-02	9.313399E-04
3.775152E+03	2.790525E-02	9.435731E-04
3.777133E+03	2.817813E-02	9.527373E-04
3.779114E+03	2.835230E-02	9.585623E-04
3.780995E+03	2.849149E-02	9.632077E-04
3.782976E+03	2.873965E-02	9.715327E-04
3.784956E+03	2.890397E-02	9.770224E-04
3.786838E+03	2.903115E-02	9.812595E-04
3.788818E+03	2.913336E-02	9.846485E-04
3.790799E+03	2.920900E-02	9.871390E-04
3.792779E+03	2.913150E-02	9.844543E-04
3.794661E+03	2.909376E-02	9.831164E-04
3.796641E+03	2.882211E-02	9.738718E-04
3.798622E+03	2.916097E-02	9.852556E-04
3.800503E+03	2.965780E-02	1.001978E-03
3.802484E+03	2.948186E-02	9.959670E-04
3.804464E+03	2.942192E-02	9.938753E-04
3.806445E+03	2.945013E-02	9.947612E-04
3.808326E+03	2.944450E-02	9.945071E-04
3.810307E+03	2.940629E-02	9.931496E-04
3.812287E+03	2.908815E-02	9.823387E-04
3.814169E+03	2.872521E-02	9.700193E-04
3.816149E+03	2.877592E-02	9.716662E-04
3.818130E+03	2.877036E-02	9.714124E-04
3.820011E+03	2.882319E-02	9.731336E-04
3.821992E+03	2.859619E-02	9.654040E-04
3.823972E+03	2.856039E-02	9.641299E-04
3.825953E+03	2.885029E-02	9.738500E-04
3.827834E+03	2.893790E-02	9.767440E-04
3.829815E+03	2.873778E-02	9.699229E-04
3.831795E+03	2.858638E-02	9.647473E-04
3.833677E+03	2.831495E-02	9.555248E-04
3.835657E+03	2.798930E-02	9.444707E-04
3.837638E+03	2.783286E-02	9.391274E-04
3.839618E+03	2.756157E-02	9.299097E-04
3.841500E+03	2.747203E-02	9.268282E-04
3.843480E+03	2.745408E-02	9.261589E-04
3.845461E+03	2.741844E-02	9.248930E-04
3.847342E+03	2.737345E-02	9.233148E-04
3.849323E+03	2.738455E-02	9.236256E-04
3.851303E+03	2.735215E-02	9.224689E-04
3.853284E+03	2.736829E-02	9.229496E-04
3.855165E+03	2.723480E-02	9.183873E-04
3.857146E+03	2.718694E-02	9.167099E-04
3.859126E+03	2.735812E-02	9.224179E-04
3.861008E+03	2.769446E-02	9.336963E-04
3.862988E+03	2.791766E-02	9.411560E-04
3.864969E+03	2.805917E-02	9.458606E-04
3.866850E+03	2.824044E-02	9.519081E-04
3.868831E+03	2.844837E-02	9.588501E-04
3.870811E+03	2.867896E-02	9.665544E-04
3.872792E+03	2.886020E-02	9.725947E-04
3.874673E+03	2.892785E-02	9.748095E-04
3.876654E+03	2.901831E-02	9.777895E-04
3.878634E+03	2.907354E-02	9.795818E-04
3.880516E+03	2.898442E-02	9.765139E-04
3.882496E+03	2.889753E-02	9.735178E-04
3.884477E+03	2.903397E-02	9.780457E-04
3.886457E+03	2.908723E-02	9.797707E-04
3.888339E+03	2.902278E-02	9.775342E-04
3.890319E+03	2.902184E-02	9.774334E-04
3.892300E+03	2.918307E-02	9.827941E-04
3.894181E+03	2.941085E-02	9.903983E-04
3.896162E+03	2.966767E-02	9.989759E-04
3.898142E+03	2.962029E-02	9.973097E-04
3.900123E+03	2.934169E-02	9.878590E-04
3.902004E+03	2.924972E-02	9.846962E-04
3.903985E+03	2.920705E-02	9.831897E-04
3.905965E+03	2.914698E-02	9.810975E-04
3.907847E+03	2.909914E-02	9.794207E-04
3.909827E+03	2.889922E-02	9.726222E-04
3.911808E+03	2.874564E-02	9.673843E-04
3.913689E+03	2.870308E-02	9.658862E-04
3.915670E+03	2.863612E-02	9.635642E-04
3.917650E+03	2.858579E-02	9.618014E-04
3.919631E+03	2.848630E-02	9.583851E-04
3.921512E+03	2.844871E-02	9.570550E-04
3.923493E+03	2.830273E-02	9.520757E-04
3.925473E+03	2.815686E-02	9.471005E-04
3.927355E+03	2.804276E-02	9.431978E-04
3.929335E+03	2.795610E-02	9.402152E-04
3.931316E+03	2.794296E-02	9.397051E-04
3.933296E+03	2.793948E-02	9.395201E-04
3.935178E+03	2.794568E-02	9.396640E-04
3.937158E+03	2.800403E-02	9.415577E-04
3.939139E+03	2.802246E-02	9.421087E-04
3.941020E+03	2.801966E-02	9.419497E-04
3.943001E+03	2.809691E-02	9.444777E-04
3.944981E+03	2.809147E-02	9.442259E-04
3.946962E+03	2.813716E-02	9.456926E-04
3.948843E+03	2.820763E-02	9.479956E-04
3.950824E+03	2.826327E-02	9.497958E-04
3.952804E+03	2.827406E-02	9.500890E-04
3.954686E+03	2.831552E-02	9.514160E-04
3.956666E+03	2.834395E-02	9.523014E-04
3.958647E+03	2.831367E-02	9.512139E-04
3.960528E+03	2.838589E-02	9.535738E-04
3.962509E+03	2.845172E-02	9.557147E-04
3.964489E+03	2.854396E-02	9.587424E-04
3.966470E+03	2.855025E-02	9.588831E-04
3.968351E+03	2.860332E-02	9.605980E-04
3.970332E+03	2.857538E-02	9.595888E-04
3.972312E+03	2.855011E-02	9.586689E-04
3.974194E+03	2.850980E-02	9.572483E-04
3.976174E+03	2.836415E-02	9.522872E-04
3.978155E+03	2.825502E-02	9.485528E-04
3.980135E+03	2.822744E-02	9.475563E-04
3.982017E+03	2.823369E-02	9.476992E-04
3.983997E+03	2.812700E-02	9.440477E-04
3.985978E+03	2.807432E-02	9.422091E-04
3.987859E+03	2.804436E-02	9.411368E-04
3.989840E+03	2.800665E-02	9.398012E-04
3.991820E+03	2.795870E-02	9.381219E-04
3.993801E+03	2.795070E-02	9.377831E-04
3.995682E+03	2.802845E-02	9.403246E-04
3.997663E+03	2.804688E-02	9.408723E-04
3.999644E+03	2.804595E-02	9.407705E-04
4.001525E+03	2.797414E-02	9.382945E-04
4.003506E+03	2.799254E-02	9.388408E-04
4.005486E+03	2.800387E-02	9.391500E-04
4.007368E+03	2.805979E-02	9.409580E-04
4.009348E+03	2.804659E-02	9.404441E-04
4.011329E+03	2.807021E-02	9.411649E-04
4.013309E+03	2.814046E-02	9.434489E-04
4.015191E+03	2.817653E-02	9.445901E-04
4.017171E+03	2.821455E-02	9.457927E-04
4.019152E+03	2.825328E-02	9.470190E-04
4.021033E+03	2.824198E-02	9.465718E-04
4.023014E+03	2.821895E-02	9.457277E-04
4.024994E+03	2.825247E-02	9.467791E-04
4.026975E+03	2.828602E-02	9.478309E-04
4.028856E+03	2.830207E-02	9.482997E-04
4.030837E+03	2.831613E-02	9.486982E-04
4.032817E+03	2.836674E-02	9.503210E-04
4.034699E+03	2.842207E-02	9.521055E-04
4.036679E+03	2.840673E-02	9.515185E-04
4.038660E+03	2.841300E-02	9.516552E-04
4.040640E+03	2.843429E-02	9.522952E-04
4.042522E+03	2.839872E-02	9.510341E-04
4.044502E+03	2.838078E-02	9.503601E-04
