#wls	flux	fluxerr
3.257341E+03	1.162182E-04	1.486736E-05
3.257341E+03	1.162182E-04	1.486736E-05
3.332545E+03	1.017214E-04	1.280862E-05
3.332545E+03	1.017214E-04	1.280862E-05
3.409486E+03	8.883296E-05	1.100331E-05
3.409486E+03	8.883296E-05	1.100331E-05
3.488202E+03	7.801102E-05	9.494491E-06
3.488202E+03	7.801102E-05	9.494491E-06
3.568737E+03	6.927451E-05	8.278283E-06
3.568737E+03	6.927451E-05	8.278283E-06
3.651131E+03	6.279112E-05	7.358722E-06
3.651131E+03	6.279112E-05	7.358722E-06
3.735426E+03	5.829750E-05	6.694606E-06
3.735426E+03	5.829750E-05	6.694606E-06
3.821669E+03	5.568900E-05	6.259003E-06
3.821669E+03	5.568900E-05	6.259003E-06
3.909902E+03	5.456252E-05	5.996066E-06
3.909902E+03	5.456252E-05	5.996066E-06
4.000172E+03	5.488705E-05	5.891340E-06
4.000172E+03	5.488705E-05	5.891340E-06
4.092527E+03	5.638599E-05	5.904739E-06
4.092527E+03	5.638599E-05	5.904739E-06
4.187014E+03	5.940968E-05	6.064913E-06
4.187014E+03	5.940968E-05	6.064913E-06
4.283682E+03	6.408674E-05	6.369776E-06
4.283682E+03	6.408674E-05	6.369776E-06
4.382582E+03	7.063658E-05	6.832266E-06
4.382582E+03	7.063658E-05	6.832266E-06
4.483766E+03	7.841263E-05	7.370404E-06
4.483766E+03	7.841263E-05	7.370404E-06
4.587285E+03	8.709054E-05	7.951321E-06
4.587285E+03	8.709054E-05	7.951321E-06
4.693195E+03	9.617439E-05	8.515564E-06
4.693195E+03	9.617439E-05	8.515564E-06
4.801549E+03	1.056623E-04	9.069946E-06
4.801549E+03	1.056623E-04	9.069946E-06
4.912406E+03	1.154472E-04	9.590623E-06
4.912406E+03	1.154472E-04	9.590623E-06
5.025822E+03	1.248686E-04	1.003981E-05
5.025822E+03	1.248686E-04	1.003981E-05
5.141856E+03	1.330018E-04	1.033042E-05
5.141856E+03	1.330018E-04	1.033042E-05
5.260569E+03	1.388169E-04	1.042287E-05
5.260569E+03	1.388169E-04	1.042287E-05
5.382023E+03	1.424501E-04	1.031867E-05
5.382023E+03	1.424501E-04	1.031867E-05
5.506281E+03	1.469529E-04	1.028622E-05
5.506281E+03	1.469529E-04	1.028622E-05
5.582717E+03	1.008014E-04	6.904552E-06
5.582915E+03	1.005548E-04	6.887291E-06
5.583113E+03	1.008554E-04	6.907508E-06
5.583311E+03	1.012197E-04	6.932091E-06
5.583509E+03	1.015223E-04	6.952439E-06
5.583707E+03	1.019829E-04	6.983612E-06
5.583905E+03	1.021701E-04	6.996053E-06
5.584103E+03	1.026502E-04	7.028554E-06
5.584301E+03	1.029262E-04	7.047075E-06
5.584500E+03	1.033243E-04	7.073948E-06
5.584698E+03	1.035472E-04	7.088833E-06
5.584896E+03	1.037086E-04	7.099500E-06
5.585095E+03	1.037817E-04	7.104127E-06
5.585293E+03	1.037808E-04	7.103684E-06
5.585491E+03	1.040311E-04	7.120436E-06
5.585689E+03	1.043445E-04	7.141501E-06
5.585887E+03	1.044589E-04	7.148953E-06
5.586085E+03	1.043378E-04	7.140283E-06
5.586283E+03	1.042481E-04	7.133758E-06
5.586481E+03	1.045163E-04	7.151734E-06
5.586679E+03	1.043399E-04	7.139278E-06
5.586877E+03	1.050259E-04	7.185835E-06
5.587075E+03	1.048680E-04	7.174642E-06
5.587273E+03	1.040493E-04	7.118249E-06
5.587471E+03	1.040148E-04	7.115512E-06
5.587669E+03	1.043185E-04	7.135906E-06
5.587867E+03	1.041520E-04	7.124134E-06
5.588065E+03	1.041343E-04	7.122543E-06
5.588263E+03	1.044383E-04	7.142957E-06
5.588462E+03	1.045649E-04	7.151234E-06
5.588857E+03	1.041929E-04	7.125033E-06
5.589055E+03	1.048346E-04	7.168527E-06
5.589254E+03	1.051213E-04	7.187748E-06
5.589452E+03	1.051592E-04	7.189950E-06
5.589649E+03	1.050082E-04	7.179246E-06
5.589847E+03	1.049903E-04	7.177643E-06
5.590045E+03	1.049121E-04	7.171910E-06
5.590244E+03	1.051555E-04	7.188161E-06
5.590442E+03	1.055135E-04	7.212250E-06
5.590640E+03	1.060680E-04	7.249763E-06
5.590838E+03	1.052932E-04	7.196425E-06
5.591036E+03	1.042765E-04	7.126557E-06
5.591234E+03	1.035983E-04	7.079829E-06
5.591828E+03	1.036744E-04	7.083889E-06
5.592026E+03	1.041472E-04	7.115817E-06
5.592225E+03	1.042831E-04	7.124719E-06
5.592423E+03	1.048552E-04	7.163426E-06
5.592621E+03	1.051081E-04	7.180319E-06
5.592819E+03	1.052695E-04	7.190959E-06
5.593017E+03	1.056279E-04	7.215057E-06
5.593215E+03	1.061023E-04	7.247076E-06
5.593413E+03	1.062114E-04	7.254139E-06
5.593611E+03	1.063132E-04	7.260706E-06
5.593809E+03	1.062511E-04	7.256076E-06
5.594007E+03	1.064485E-04	7.269171E-06
5.594205E+03	1.066930E-04	7.285476E-06
5.594403E+03	1.065496E-04	7.275300E-06
5.594601E+03	1.071515E-04	7.316005E-06
5.594799E+03	1.075659E-04	7.343904E-06
5.594997E+03	1.079868E-04	7.372249E-06
5.595195E+03	1.081501E-04	7.383003E-06
5.595393E+03	1.087259E-04	7.421917E-06
5.595592E+03	1.089706E-04	7.438222E-06
5.595790E+03	1.089095E-04	7.433651E-06
5.595988E+03	1.094389E-04	7.469391E-06
5.596385E+03	1.091752E-04	7.450600E-06
5.596583E+03	1.093479E-04	7.461984E-06
5.596781E+03	1.089649E-04	7.435452E-06
5.596979E+03	1.093158E-04	7.458996E-06
5.597177E+03	1.096223E-04	7.479515E-06
5.597375E+03	1.097047E-04	7.484736E-06
5.597573E+03	1.101568E-04	7.515182E-06
5.597969E+03	1.105284E-04	7.539727E-06
5.598167E+03	1.098576E-04	7.493569E-06
5.598365E+03	1.101479E-04	7.512972E-06
5.598563E+03	1.103831E-04	7.528609E-06
5.598761E+03	1.103135E-04	7.523464E-06
5.598959E+03	1.103049E-04	7.522477E-06
5.599157E+03	1.105328E-04	7.537616E-06
5.599355E+03	1.108861E-04	7.561309E-06
5.599751E+03	1.105401E-04	7.536907E-06
5.599949E+03	1.109190E-04	7.562341E-06
5.600148E+03	1.111737E-04	7.579303E-06
5.600346E+03	1.113829E-04	7.593156E-06
5.600544E+03	1.111871E-04	7.579410E-06
5.600743E+03	1.115401E-04	7.603061E-06
5.600940E+03	1.118940E-04	7.626786E-06
5.601138E+03	1.120865E-04	7.639495E-06
5.601336E+03	1.119076E-04	7.626894E-06
5.601535E+03	1.117032E-04	7.612561E-06
5.601733E+03	1.119933E-04	7.631921E-06
5.601930E+03	1.120697E-04	7.636722E-06
5.602128E+03	1.117106E-04	7.611847E-06
5.602326E+03	1.115965E-04	7.603668E-06
5.602524E+03	1.113004E-04	7.583090E-06
5.602722E+03	1.104010E-04	7.521410E-06
5.602920E+03	1.098624E-04	7.484321E-06
5.603118E+03	1.099551E-04	7.490236E-06
5.603316E+03	1.103905E-04	7.519493E-06
5.603514E+03	1.106975E-04	7.540005E-06
5.603712E+03	1.107807E-04	7.545269E-06
5.603911E+03	1.107746E-04	7.544454E-06
5.604109E+03	1.105239E-04	7.526983E-06
5.604307E+03	1.098026E-04	7.477459E-06
5.604505E+03	1.096172E-04	7.464438E-06
5.604703E+03	1.099803E-04	7.488766E-06
5.604901E+03	1.099642E-04	7.487267E-06
5.605099E+03	1.101914E-04	7.502335E-06
5.605297E+03	1.106913E-04	7.535976E-06
5.605495E+03	1.106216E-04	7.530826E-06
5.605693E+03	1.108680E-04	7.547199E-06
5.605891E+03	1.114583E-04	7.586978E-06
5.606090E+03	1.115138E-04	7.590354E-06
5.606288E+03	1.112000E-04	7.568592E-06
5.606486E+03	1.108488E-04	7.544288E-06
5.606684E+03	1.106872E-04	7.532885E-06
5.606882E+03	1.105360E-04	7.522193E-06
5.607080E+03	1.105197E-04	7.520688E-06
5.607278E+03	1.105417E-04	7.521781E-06
5.607476E+03	1.104517E-04	7.515257E-06
5.607674E+03	1.106365E-04	7.527433E-06
5.607873E+03	1.108650E-04	7.542582E-06
5.608071E+03	1.109944E-04	7.550977E-06
5.608269E+03	1.115571E-04	7.588855E-06
5.608467E+03	1.123682E-04	7.643625E-06
5.608665E+03	1.130393E-04	7.688870E-06
5.608863E+03	1.134974E-04	7.719616E-06
5.609061E+03	1.137894E-04	7.739070E-06
5.609259E+03	1.139379E-04	7.748755E-06
5.609457E+03	1.144312E-04	7.781890E-06
5.609655E+03	1.146702E-04	7.797730E-06
5.609853E+03	1.147722E-04	7.804253E-06
5.610051E+03	1.146576E-04	7.796047E-06
5.610249E+03	1.144694E-04	7.782831E-06
5.610447E+03	1.144895E-04	7.783784E-06
5.610645E+03	1.146573E-04	7.794781E-06
5.610843E+03	1.146853E-04	7.796272E-06
5.611041E+03	1.144706E-04	7.781264E-06
5.611239E+03	1.139385E-04	7.744677E-06
5.611438E+03	1.138326E-04	7.737070E-06
5.611636E+03	1.136797E-04	7.726265E-06
5.611835E+03	1.141745E-04	7.759482E-06
5.612033E+03	1.145580E-04	7.785131E-06
5.612231E+03	1.149348E-04	7.810324E-06
5.612429E+03	1.150636E-04	7.818658E-06
5.612825E+03	1.152074E-04	7.827598E-06
5.613023E+03	1.155278E-04	7.848952E-06
5.613220E+03	1.158491E-04	7.870364E-06
5.613418E+03	1.161820E-04	7.892561E-06
5.613617E+03	1.164569E-04	7.910814E-06
5.613815E+03	1.166061E-04	7.920531E-06
5.614013E+03	1.167744E-04	7.931539E-06
5.614210E+03	1.168863E-04	7.938723E-06
5.614408E+03	1.171898E-04	7.958913E-06
5.614606E+03	1.171861E-04	7.958239E-06
5.614804E+03	1.174065E-04	7.972786E-06
5.615002E+03	1.173380E-04	7.967706E-06
5.615200E+03	1.175777E-04	7.983558E-06
5.615398E+03	1.180188E-04	8.013083E-06
5.615597E+03	1.183061E-04	8.032168E-06
5.615795E+03	1.183105E-04	8.032041E-06
5.615993E+03	1.182115E-04	8.024891E-06
5.616191E+03	1.190655E-04	8.082437E-06
5.616389E+03	1.187305E-04	8.059266E-06
5.616588E+03	1.186721E-04	8.054873E-06
5.616786E+03	1.184472E-04	8.039182E-06
5.616984E+03	1.180840E-04	8.014105E-06
5.617182E+03	1.183252E-04	8.030050E-06
5.617380E+03	1.187937E-04	8.061418E-06
5.617578E+03	1.182686E-04	8.025361E-06
5.617776E+03	1.184447E-04	8.036886E-06
5.617974E+03	1.188426E-04	8.063451E-06
5.618172E+03	1.191374E-04	8.083029E-06
5.618370E+03	1.188487E-04	8.063011E-06
5.618568E+03	1.191628E-04	8.083892E-06
5.618766E+03	1.191590E-04	8.083207E-06
5.618964E+03	1.189524E-04	8.068761E-06
5.619162E+03	1.189815E-04	8.070308E-06
5.619360E+03	1.188134E-04	8.058482E-06
5.619559E+03	1.188890E-04	8.063182E-06
5.619757E+03	1.188113E-04	8.057487E-06
5.619955E+03	1.182100E-04	8.016279E-06
5.620153E+03	1.178719E-04	7.992930E-06
5.620351E+03	1.181780E-04	8.013259E-06
5.620549E+03	1.187416E-04	8.051048E-06
5.620747E+03	1.186531E-04	8.044621E-06
5.620945E+03	1.186930E-04	8.046904E-06
5.621143E+03	1.181113E-04	8.007040E-06
5.621341E+03	1.175433E-04	7.968108E-06
5.621539E+03	1.177210E-04	7.979734E-06
5.621737E+03	1.177796E-04	7.983284E-06
5.621936E+03	1.178953E-04	7.990700E-06
5.622134E+03	1.181633E-04	8.008442E-06
5.622332E+03	1.182412E-04	8.013297E-06
5.622530E+03	1.187039E-04	8.044230E-06
5.622728E+03	1.190204E-04	8.065247E-06
5.622926E+03	1.187839E-04	8.048795E-06
5.623124E+03	1.191197E-04	8.071125E-06
5.623323E+03	1.193246E-04	8.084578E-06
5.623521E+03	1.192357E-04	8.078124E-06
5.623719E+03	1.191111E-04	8.069260E-06
5.623917E+03	1.187924E-04	8.047240E-06
5.624115E+03	1.191091E-04	8.068265E-06
5.624313E+03	1.192507E-04	8.077433E-06
5.624511E+03	1.196595E-04	8.104694E-06
5.624709E+03	1.190182E-04	8.060831E-06
5.624907E+03	1.184240E-04	8.020160E-06
5.625105E+03	1.185758E-04	8.030014E-06
5.625302E+03	1.189658E-04	8.056000E-06
5.625500E+03	1.187759E-04	8.042715E-06
5.625699E+03	1.183081E-04	8.010616E-06
5.625897E+03	1.186536E-04	8.033581E-06
5.626095E+03	1.186935E-04	8.035861E-06
5.626292E+03	1.185941E-04	8.028706E-06
5.626490E+03	1.185166E-04	8.023038E-06
5.626688E+03	1.187587E-04	8.039000E-06
5.626886E+03	1.186893E-04	8.033879E-06
5.627085E+03	1.185272E-04	8.022477E-06
5.627284E+03	1.185480E-04	8.023460E-06
5.627482E+03	1.185688E-04	8.024444E-06
5.627680E+03	1.186279E-04	8.028016E-06
5.627878E+03	1.189468E-04	8.049176E-06
5.628076E+03	1.191816E-04	8.064635E-06
5.628274E+03	1.183628E-04	8.008808E-06
5.628472E+03	1.180135E-04	7.984747E-06
5.628670E+03	1.181484E-04	7.993452E-06
5.628868E+03	1.182344E-04	7.998851E-06
5.629066E+03	1.182361E-04	7.998543E-06
5.629264E+03	1.181126E-04	7.989767E-06
5.629462E+03	1.178563E-04	7.972001E-06
5.629660E+03	1.176925E-04	7.960504E-06
5.629858E+03	1.173640E-04	7.937867E-06
5.630056E+03	1.170041E-04	7.913107E-06
5.630254E+03	1.171757E-04	7.924289E-06
5.630452E+03	1.172610E-04	7.929641E-06
5.630650E+03	1.174410E-04	7.941395E-06
5.630848E+03	1.171564E-04	7.921730E-06
5.631047E+03	1.169290E-04	7.905936E-06
5.631245E+03	1.165785E-04	7.881820E-06
5.631443E+03	1.168059E-04	7.896775E-06
5.631641E+03	1.169663E-04	7.907205E-06
5.631839E+03	1.167554E-04	7.892530E-06
5.632037E+03	1.165744E-04	7.879879E-06
5.632235E+03	1.168448E-04	7.897739E-06
5.632434E+03	1.172103E-04	7.922021E-06
5.632632E+03	1.169532E-04	7.904225E-06
