#wls	flux	fluxerr
3.257341E+03	1.479730E-04	4.971810E-06
3.332545E+03	1.296241E-04	4.354965E-06
3.409486E+03	1.124164E-04	3.776539E-06
3.488202E+03	9.692080E-05	3.255703E-06
3.568737E+03	8.354939E-05	2.806289E-06
3.651131E+03	7.244001E-05	2.432914E-06
3.735426E+03	6.346206E-05	2.131175E-06
3.821669E+03	5.633007E-05	1.891471E-06
3.909902E+03	5.070586E-05	1.702429E-06
4.000172E+03	4.625589E-05	1.552840E-06
4.092527E+03	4.269575E-05	1.433145E-06
4.187014E+03	3.981749E-05	1.336356E-06
4.283682E+03	3.747350E-05	1.257510E-06
4.382582E+03	3.554695E-05	1.192683E-06
4.483766E+03	3.392958E-05	1.138237E-06
4.587285E+03	3.253377E-05	1.091230E-06
4.693195E+03	3.131059E-05	1.050016E-06
4.801549E+03	3.024201E-05	1.013990E-06
4.912406E+03	2.933443E-05	9.833635E-07
5.025822E+03	2.862264E-05	9.592995E-07
5.141856E+03	2.817340E-05	9.440307E-07
5.260569E+03	2.810206E-05	9.414161E-07
5.382023E+03	2.856614E-05	9.567207E-07
5.506281E+03	2.969773E-05	9.943528E-07
5.633408E+03	3.146799E-05	1.053326E-06
5.763470E+03	3.363565E-05	1.125546E-06
5.896535E+03	3.582896E-05	1.198560E-06
6.032673E+03	3.760781E-05	1.257644E-06
6.171952E+03	3.857023E-05	1.289372E-06
6.314448E+03	3.860319E-05	1.289992E-06
6.460234E+03	3.811661E-05	1.273233E-06
6.609386E+03	3.783149E-05	1.263191E-06
6.761980E+03	3.822171E-05	1.275673E-06
6.918099E+03	3.938313E-05	1.313850E-06
7.077821E+03	4.115458E-05	1.372313E-06
7.241231E+03	4.323207E-05	1.440901E-06
7.408414E+03	4.526919E-05	1.508063E-06
7.579457E+03	4.695532E-05	1.563462E-06
7.754448E+03	4.811931E-05	1.601427E-06
7.933481E+03	4.880320E-05	1.623393E-06
8.116646E+03	4.904280E-05	1.630587E-06
8.304040E+03	4.872274E-05	1.619216E-06
8.495761E+03	4.778268E-05	1.587319E-06
8.691908E+03	4.622105E-05	1.534890E-06
8.892583E+03	4.423060E-05	1.468368E-06
9.097892E+03	4.255608E-05	1.412495E-06
9.307941E+03	4.209125E-05	1.396901E-06
9.522839E+03	4.290855E-05	1.423947E-06
9.742699E+03	4.466751E-05	1.482302E-06
9.967638E+03	4.697589E-05	1.558924E-06
1.019776E+04	4.901568E-05	1.626634E-06
1.043321E+04	5.003290E-05	1.660367E-06
1.067409E+04	4.998903E-05	1.658804E-06
1.092052E+04	4.920857E-05	1.632672E-06
1.117265E+04	4.795045E-05	1.590534E-06
1.143060E+04	4.636258E-05	1.537271E-06
1.169451E+04	4.461364E-05	1.478462E-06
1.196451E+04	4.293963E-05	1.421911E-06
1.224074E+04	4.166735E-05	1.378407E-06
1.252335E+04	4.118646E-05	1.360760E-06
1.281249E+04	4.165819E-05	1.374143E-06
1.310829E+04	4.293801E-05	1.413567E-06
1.341094E+04	4.473542E-05	1.469210E-06
1.372056E+04	4.658549E-05	1.525568E-06
1.403733E+04	4.806840E-05	1.568747E-06
1.436142E+04	4.910291E-05	1.596058E-06
1.469299E+04	4.989599E-05	1.614218E-06
1.503222E+04	5.062900E-05	1.629031E-06
1.537928E+04	5.120525E-05	1.637306E-06
1.573435E+04	5.132051E-05	1.629369E-06
1.609762E+04	5.098315E-05	1.605748E-06
1.646927E+04	5.094090E-05	1.590070E-06
1.684951E+04	5.179189E-05	1.600059E-06
1.723852E+04	5.368268E-05	1.638479E-06
1.763653E+04	5.668461E-05	1.705221E-06
1.804371E+04	6.087681E-05	1.799801E-06
1.846029E+04	6.622749E-05	1.917859E-06
1.888650E+04	7.251412E-05	2.049424E-06
1.932255E+04	7.929052E-05	2.179378E-06
1.976866E+04	8.570808E-05	2.285002E-06
2.022507E+04	9.042012E-05	2.337346E-06
2.069202E+04	9.223668E-05	2.321512E-06
2.116975E+04	9.141585E-05	2.266765E-06
2.165851E+04	8.987689E-05	2.241205E-06
2.215855E+04	8.865808E-05	2.265588E-06
2.267014E+04	8.758573E-05	2.317375E-06
2.319354E+04	8.635263E-05	2.373328E-06
2.372903E+04	8.463289E-05	2.413250E-06
2.427687E+04	8.216096E-05	2.421767E-06
