#wls	flux	fluxerr
3.257341E+03	3.675873E-04	2.150940E-05
3.257341E+03	3.675873E-04	2.150940E-05
3.332545E+03	3.206189E-04	1.822639E-05
3.332545E+03	3.206189E-04	1.822639E-05
3.409486E+03	2.825972E-04	1.558311E-05
3.409486E+03	2.825972E-04	1.558311E-05
3.488202E+03	2.537858E-04	1.355534E-05
3.488202E+03	2.537858E-04	1.355534E-05
3.568737E+03	2.334955E-04	1.205860E-05
3.568737E+03	2.334955E-04	1.205860E-05
3.651131E+03	2.221291E-04	1.107515E-05
3.651131E+03	2.221291E-04	1.107515E-05
3.735426E+03	2.201509E-04	1.057486E-05
3.735426E+03	2.201509E-04	1.057486E-05
3.821669E+03	2.293673E-04	1.059835E-05
3.821669E+03	2.293673E-04	1.059835E-05
3.909902E+03	2.494332E-04	1.105953E-05
3.909902E+03	2.494332E-04	1.105953E-05
4.000172E+03	2.786946E-04	1.183995E-05
4.000172E+03	2.786946E-04	1.183995E-05
4.092527E+03	3.146457E-04	1.277068E-05
4.092527E+03	3.146457E-04	1.277068E-05
4.187014E+03	3.563977E-04	1.380206E-05
4.187014E+03	3.563977E-04	1.380206E-05
4.283682E+03	4.054724E-04	1.493129E-05
4.283682E+03	4.054724E-04	1.493129E-05
4.382582E+03	4.646135E-04	1.625602E-05
4.382582E+03	4.646135E-04	1.625602E-05
4.483766E+03	5.360041E-04	1.774773E-05
4.483766E+03	5.360041E-04	1.774773E-05
4.587285E+03	6.114808E-04	1.916417E-05
4.587285E+03	6.114808E-04	1.916417E-05
4.693195E+03	6.831653E-04	2.017386E-05
4.693195E+03	6.831653E-04	2.017386E-05
4.801549E+03	7.345964E-04	2.047277E-05
4.801549E+03	7.345964E-04	2.047277E-05
4.912406E+03	7.759197E-04	2.030603E-05
4.912406E+03	7.759197E-04	2.030603E-05
5.025822E+03	8.079487E-04	1.991416E-05
5.025822E+03	8.079487E-04	1.991416E-05
5.141856E+03	8.342168E-04	1.926114E-05
5.141856E+03	8.342168E-04	1.926114E-05
5.260569E+03	8.507387E-04	1.845139E-05
5.260569E+03	8.507387E-04	1.845139E-05
5.382023E+03	8.490710E-04	1.719762E-05
5.382023E+03	8.490710E-04	1.719762E-05
5.506281E+03	8.244120E-04	1.563496E-05
5.506281E+03	8.244120E-04	1.563496E-05
5.633408E+03	8.084477E-04	1.426488E-05
5.633408E+03	8.084477E-04	1.426488E-05
5.763470E+03	8.239531E-04	1.357754E-05
5.763470E+03	8.239531E-04	1.357754E-05
5.896535E+03	8.803535E-04	1.345669E-05
5.896535E+03	8.803535E-04	1.345669E-05
6.032673E+03	9.794993E-04	1.403168E-05
6.032673E+03	9.794993E-04	1.403168E-05
6.171952E+03	1.089819E-03	1.454226E-05
6.171952E+03	1.089819E-03	1.454226E-05
6.314448E+03	1.142835E-03	1.454210E-05
6.314448E+03	1.142835E-03	1.454210E-05
6.460234E+03	1.158776E-03	1.401159E-05
6.460234E+03	1.158776E-03	1.401159E-05
6.609386E+03	1.165682E-03	1.352963E-05
6.609386E+03	1.165682E-03	1.352963E-05
6.761980E+03	1.221745E-03	1.357389E-05
6.761980E+03	1.221745E-03	1.357389E-05
6.918099E+03	1.265286E-03	1.319885E-05
6.918099E+03	1.265286E-03	1.319885E-05
7.077821E+03	1.267265E-03	1.233879E-05
7.077821E+03	1.267265E-03	1.233879E-05
7.241231E+03	1.234966E-03	1.108303E-05
7.241231E+03	1.234966E-03	1.108303E-05
7.408414E+03	1.149301E-03	9.417675E-06
7.408414E+03	1.149301E-03	9.417675E-06
7.579457E+03	1.082899E-03	8.973875E-06
7.579457E+03	1.082899E-03	8.973875E-06
7.754448E+03	1.136632E-03	9.526761E-06
7.754448E+03	1.136632E-03	9.526761E-06
