#wls	flux	fluxerr
3.257341E+03	1.857210E-04	8.109254E-06
3.332545E+03	1.622663E-04	7.084802E-06
3.409486E+03	1.404210E-04	6.130691E-06
3.488202E+03	1.207091E-04	5.269805E-06
3.568737E+03	1.034596E-04	4.516490E-06
3.651131E+03	8.875798E-05	3.874466E-06
3.735426E+03	7.647169E-05	3.337936E-06
3.821669E+03	6.632426E-05	2.894816E-06
3.909902E+03	5.797684E-05	2.530304E-06
4.000172E+03	5.109190E-05	2.229657E-06
4.092527E+03	4.537340E-05	1.979946E-06
4.187014E+03	4.058335E-05	1.770777E-06
4.283682E+03	3.653912E-05	1.594175E-06
4.382582E+03	3.310166E-05	1.444066E-06
4.483766E+03	3.016496E-05	1.315822E-06
4.587285E+03	2.765079E-05	1.206026E-06
4.693195E+03	2.550585E-05	1.112348E-06
4.801549E+03	2.369781E-05	1.033375E-06
4.912406E+03	2.221114E-05	9.684257E-07
5.025822E+03	2.104371E-05	9.174033E-07
5.141856E+03	2.020305E-05	8.806310E-07
5.260569E+03	1.969990E-05	8.585719E-07
5.382023E+03	1.953522E-05	8.512609E-07
5.506281E+03	1.967984E-05	8.574196E-07
5.633408E+03	2.005569E-05	8.736412E-07
5.763470E+03	2.053475E-05	8.943428E-07
5.896535E+03	2.096291E-05	9.128107E-07
6.032673E+03	2.120252E-05	9.230530E-07
6.171952E+03	2.118211E-05	9.219633E-07
6.314448E+03	2.093230E-05	9.108816E-07
6.460234E+03	2.057628E-05	8.951745E-07
6.609386E+03	2.026583E-05	8.814478E-07
6.761980E+03	2.010643E-05	8.742870E-07
6.918099E+03	2.012350E-05	8.747936E-07
7.077821E+03	2.027255E-05	8.810284E-07
7.241231E+03	2.046837E-05	8.892861E-07
7.408414E+03	2.061817E-05	8.955364E-07
7.579457E+03	2.065085E-05	8.966968E-07
7.754448E+03	2.053266E-05	8.913096E-07
7.933481E+03	2.025851E-05	8.791641E-07
8.116646E+03	1.982739E-05	8.602274E-07
8.304040E+03	1.923463E-05	8.343073E-07
8.495761E+03	1.849258E-05	8.019503E-07
8.691908E+03	1.765593E-05	7.655373E-07
8.892583E+03	1.683049E-05	7.296618E-07
9.097892E+03	1.615342E-05	7.002723E-07
9.307941E+03	1.574808E-05	6.827073E-07
9.522839E+03	1.566161E-05	6.790010E-07
9.742699E+03	1.585635E-05	6.875147E-07
9.967638E+03	1.623587E-05	7.040630E-07
1.019776E+04	1.667073E-05	7.230283E-07
1.043321E+04	1.704114E-05	7.392060E-07
1.067409E+04	1.727977E-05	7.496637E-07
1.092052E+04	1.737714E-05	7.539764E-07
1.117265E+04	1.735942E-05	7.532664E-07
1.143060E+04	1.727173E-05	7.494788E-07
1.169451E+04	1.717611E-05	7.452931E-07
1.196451E+04	1.715227E-05	7.441548E-07
1.224074E+04	1.728949E-05	7.499209E-07
1.252335E+04	1.766336E-05	7.658440E-07
1.281249E+04	1.830386E-05	7.931848E-07
1.310829E+04	1.917692E-05	8.304111E-07
1.341094E+04	2.018953E-05	8.734254E-07
1.372056E+04	2.121471E-05	9.166564E-07
1.403733E+04	2.213465E-05	9.549381E-07
1.436142E+04	2.288128E-05	9.852659E-07
1.469299E+04	2.344134E-05	1.007008E-06
1.503222E+04	2.382660E-05	1.020611E-06
1.537928E+04	2.404793E-05	1.026479E-06
1.573435E+04	2.412655E-05	1.025456E-06
1.609762E+04	2.412817E-05	1.020257E-06
1.646927E+04	2.415748E-05	1.015184E-06
1.684951E+04	2.429813E-05	1.013536E-06
1.723852E+04	2.457336E-05	1.015975E-06
1.763653E+04	2.495389E-05	1.020936E-06
1.804371E+04	2.537454E-05	1.025437E-06
1.846029E+04	2.574348E-05	1.025607E-06
1.888650E+04	2.595430E-05	1.017376E-06
1.932255E+04	2.590699E-05	9.975153E-07
1.976866E+04	2.553988E-05	9.650383E-07
2.022507E+04	2.488210E-05	9.231719E-07
2.069202E+04	2.411961E-05	8.815176E-07
2.116975E+04	2.362379E-05	8.567093E-07
2.165851E+04	2.387486E-05	8.691704E-07
2.215855E+04	2.503426E-05	9.242136E-07
2.267014E+04	2.690439E-05	1.013140E-06
2.319354E+04	2.926506E-05	1.126661E-06
2.372903E+04	3.188707E-05	1.254775E-06
2.427687E+04	3.454548E-05	1.387107E-06
