#wls	flux	fluxerr
3.257341E+03	4.068297E-16	3.757563E-17
3.332545E+03	4.019870E-16	3.699183E-17
3.409486E+03	3.989102E-16	3.657716E-17
3.488202E+03	3.969960E-16	3.627574E-17
3.568737E+03	3.979506E-16	3.624304E-17
3.651131E+03	4.051742E-16	3.678634E-17
3.735426E+03	4.208892E-16	3.810252E-17
3.821669E+03	4.451032E-16	4.018700E-17
3.909902E+03	4.749858E-16	4.277991E-17
4.000172E+03	5.054722E-16	4.542335E-17
4.092527E+03	5.316322E-16	4.767544E-17
4.187014E+03	5.512024E-16	4.933600E-17
4.283682E+03	5.654232E-16	5.051854E-17
4.382582E+03	5.769011E-16	5.145684E-17
4.483766E+03	5.860488E-16	5.218719E-17
4.587285E+03	5.902505E-16	5.247598E-17
4.693195E+03	5.846721E-16	5.189395E-17
4.801549E+03	5.639353E-16	4.996649E-17
4.912406E+03	5.301712E-16	4.688712E-17
5.025822E+03	4.893515E-16	4.318824E-17
5.141856E+03	4.486582E-16	3.950594E-17
5.260569E+03	4.157066E-16	3.650949E-17
5.382023E+03	3.973001E-16	3.478998E-17
5.506281E+03	3.934838E-16	3.433983E-17
5.633408E+03	3.971654E-16	3.452809E-17
5.763470E+03	4.009886E-16	3.470827E-17
5.896535E+03	3.991888E-16	3.438164E-17
6.032673E+03	3.868108E-16	3.313000E-17
6.171952E+03	3.577983E-16	3.045416E-17
6.314448E+03	3.128132E-16	2.644104E-17
6.460234E+03	2.708048E-16	2.271589E-17
6.609386E+03	2.420197E-16	2.013279E-17
6.761980E+03	2.267433E-16	1.869324E-17
6.918099E+03	2.223162E-16	1.815384E-17
7.077821E+03	2.260348E-16	1.827361E-17
7.241231E+03	2.351254E-16	1.881420E-17
7.408414E+03	2.459605E-16	1.947989E-17
7.579457E+03	2.541146E-16	1.992647E-17
7.754448E+03	2.560176E-16	1.988961E-17
7.933481E+03	2.502123E-16	1.927563E-17
8.116646E+03	2.379676E-16	1.820019E-17
8.304040E+03	2.217032E-16	1.686057E-17
8.495761E+03	2.033073E-16	1.540627E-17
8.691908E+03	1.847707E-16	1.398887E-17
8.892583E+03	1.688515E-16	1.281201E-17
9.097892E+03	1.572011E-16	1.199304E-17
9.307941E+03	1.496854E-16	1.151649E-17
9.522839E+03	1.458717E-16	1.134895E-17
9.742699E+03	1.449070E-16	1.142775E-17
9.967638E+03	1.449002E-16	1.160525E-17
1.019776E+04	1.434356E-16	1.168312E-17
1.043321E+04	1.390391E-16	1.152735E-17
1.067409E+04	1.319870E-16	1.114172E-17
1.092052E+04	1.234713E-16	1.061124E-17
1.117265E+04	1.145787E-16	1.002098E-17
1.143060E+04	1.059939E-16	9.428809E-18
1.169451E+04	9.805584E-17	8.867135E-18
1.196451E+04	9.089359E-17	8.352212E-18
1.224074E+04	8.457799E-17	7.896311E-18
1.252335E+04	7.917989E-17	7.511683E-18
1.281249E+04	7.464731E-17	7.196011E-18
1.310829E+04	7.071615E-17	6.924522E-18
1.341094E+04	6.702630E-17	6.662014E-18
1.372056E+04	6.329372E-17	6.379557E-18
1.403733E+04	5.939175E-17	6.063473E-18
1.436142E+04	5.532785E-17	5.714070E-18
1.469299E+04	5.117609E-17	5.339384E-18
1.503222E+04	4.702895E-17	4.950301E-18
1.537928E+04	4.300922E-17	4.561653E-18
1.573435E+04	3.931438E-17	4.196802E-18
1.609762E+04	3.622575E-17	3.888456E-18
1.646927E+04	3.398694E-17	3.664619E-18
1.684951E+04	3.244739E-17	3.510175E-18
1.723852E+04	3.136257E-17	3.399259E-18
1.763653E+04	3.052750E-17	3.309857E-18
1.804371E+04	2.973686E-17	3.219823E-18
1.846029E+04	2.877768E-17	3.106497E-18
1.888650E+04	2.749350E-17	2.954085E-18
1.932255E+04	2.584453E-17	2.760351E-18
1.976866E+04	2.389221E-17	2.534772E-18
2.022507E+04	2.174028E-17	2.291776E-18
2.069202E+04	1.950317E-17	2.046869E-18
2.116975E+04	1.731386E-17	1.816813E-18
2.165851E+04	1.529472E-17	1.613890E-18
2.215855E+04	1.348020E-17	1.436290E-18
2.267014E+04	1.190822E-17	1.283944E-18
2.319354E+04	1.060913E-17	1.158216E-18
2.372903E+04	9.580894E-18	1.058546E-18
2.427687E+04	8.792029E-18	9.819387E-19
