#wls	flux	fluxerr
3.257341E+03	7.253990E-16	2.489692E-17
3.257341E+03	7.253990E-16	2.489692E-17
3.332545E+03	7.335612E-16	2.512944E-17
3.332545E+03	7.335612E-16	2.512944E-17
3.409486E+03	7.411113E-16	2.533667E-17
3.409486E+03	7.411113E-16	2.533667E-17
3.488202E+03	7.478931E-16	2.551305E-17
3.488202E+03	7.478931E-16	2.551305E-17
3.568737E+03	7.563607E-16	2.574188E-17
3.568737E+03	7.563607E-16	2.574188E-17
3.651131E+03	7.717100E-16	2.619870E-17
3.651131E+03	7.717100E-16	2.619870E-17
3.689297E+03	1.548314E-15	5.250054E-17
3.691278E+03	1.511767E-15	5.125807E-17
3.693159E+03	1.473936E-15	4.997238E-17
3.695140E+03	1.438185E-15	4.875718E-17
3.697120E+03	1.411760E-15	4.785830E-17
3.699101E+03	1.389815E-15	4.711139E-17
3.700982E+03	1.356097E-15	4.596568E-17
3.702963E+03	1.320801E-15	4.476644E-17
3.704943E+03	1.286215E-15	4.359145E-17
3.706825E+03	1.252904E-15	4.245992E-17
3.708805E+03	1.225418E-15	4.152581E-17
3.710786E+03	1.196468E-15	4.054219E-17
3.712766E+03	1.164254E-15	3.944812E-17
3.714648E+03	1.133397E-15	3.840028E-17
3.716628E+03	1.103161E-15	3.737347E-17
3.718609E+03	1.077894E-15	3.651512E-17
3.720490E+03	1.052182E-15	3.564193E-17
3.722471E+03	1.031378E-15	3.493497E-17
3.724451E+03	1.011103E-15	3.424600E-17
3.726333E+03	9.905361E-16	3.354735E-17
3.728313E+03	9.706612E-16	3.287212E-17
3.730294E+03	9.506382E-16	3.219195E-17
3.732274E+03	9.332607E-16	3.160145E-17
3.734156E+03	9.183718E-16	3.109538E-17
3.736136E+03	9.046828E-16	3.062991E-17
3.738117E+03	8.951264E-16	3.030439E-17
3.739998E+03	8.882596E-16	3.007007E-17
3.741979E+03	8.804161E-16	2.980261E-17
3.743959E+03	8.768923E-16	2.968140E-17
3.745940E+03	8.747516E-16	2.960701E-17
3.747821E+03	8.731340E-16	2.955044E-17
3.749802E+03	8.744391E-16	2.959268E-17
3.751782E+03	8.778862E-16	2.970740E-17
3.753664E+03	8.818702E-16	2.984037E-17
3.755644E+03	8.859384E-16	2.997606E-17
3.757625E+03	8.924065E-16	3.019294E-17
3.759605E+03	8.966479E-16	3.033445E-17
3.761487E+03	9.034805E-16	3.056370E-17
3.763467E+03	9.108316E-16	3.081035E-17
3.765448E+03	9.225030E-16	3.120311E-17
3.767329E+03	9.324272E-16	3.153682E-17
3.769310E+03	9.429848E-16	3.189179E-17
3.771291E+03	9.537059E-16	3.225226E-17
3.773172E+03	9.648552E-16	3.262726E-17
3.775152E+03	9.777373E-16	3.306068E-17
3.777133E+03	9.874443E-16	3.338670E-17
3.779114E+03	9.936943E-16	3.359580E-17
3.780995E+03	9.987134E-16	3.376336E-17
3.782976E+03	1.007562E-15	3.406023E-17
3.784956E+03	1.013473E-15	3.425779E-17
3.786838E+03	1.018077E-15	3.441123E-17
3.788818E+03	1.021814E-15	3.453524E-17
3.790799E+03	1.024620E-15	3.462777E-17
3.792779E+03	1.022055E-15	3.453878E-17
3.794661E+03	1.020877E-15	3.449676E-17
3.796641E+03	1.011497E-15	3.417753E-17
3.798622E+03	1.023544E-15	3.458226E-17
3.800503E+03	1.041132E-15	3.517426E-17
3.802484E+03	1.035113E-15	3.496855E-17
3.804464E+03	1.033165E-15	3.490041E-17
3.806445E+03	1.034313E-15	3.493684E-17
3.808326E+03	1.034265E-15	3.493298E-17
3.810307E+03	1.033081E-15	3.489063E-17
3.812287E+03	1.022061E-15	3.451612E-17
3.814169E+03	1.009456E-15	3.408823E-17
3.816149E+03	1.011393E-15	3.415136E-17
3.818130E+03	1.011354E-15	3.414770E-17
3.820011E+03	1.013360E-15	3.421323E-17
3.821992E+03	1.005535E-15	3.394673E-17
3.823972E+03	1.004432E-15	3.390719E-17
3.825953E+03	1.014785E-15	3.425437E-17
3.827834E+03	1.018018E-15	3.436125E-17
3.829815E+03	1.011135E-15	3.412662E-17
3.831795E+03	1.005966E-15	3.394983E-17
3.833677E+03	9.965626E-16	3.363030E-17
3.835657E+03	9.852561E-16	3.324647E-17
3.837638E+03	9.799037E-16	3.306359E-17
3.839618E+03	9.705056E-16	3.274424E-17
3.841500E+03	9.674982E-16	3.264064E-17
3.843480E+03	9.670194E-16	3.262224E-17
3.845461E+03	9.659177E-16	3.258283E-17
3.847342E+03	9.644786E-16	3.253216E-17
3.849323E+03	9.650239E-16	3.254831E-17
3.851303E+03	9.640362E-16	3.251275E-17
3.853284E+03	9.647600E-16	3.253491E-17
3.855165E+03	9.602008E-16	3.237902E-17
3.857146E+03	9.586679E-16	3.232509E-17
3.859126E+03	9.648597E-16	3.253162E-17
3.861008E+03	9.768717E-16	3.293444E-17
3.862988E+03	9.849044E-16	3.320295E-17
3.864969E+03	9.900575E-16	3.337435E-17
3.866850E+03	9.966077E-16	3.359293E-17
3.868831E+03	1.004110E-15	3.384343E-17
3.870811E+03	1.012414E-15	3.412094E-17
3.872792E+03	1.018979E-15	3.433980E-17
3.874673E+03	1.021527E-15	3.442337E-17
3.876654E+03	1.024890E-15	3.453428E-17
3.878634E+03	1.027010E-15	3.460329E-17
3.880516E+03	1.024023E-15	3.450033E-17
3.882496E+03	1.021122E-15	3.440018E-17
3.884477E+03	1.026113E-15	3.456591E-17
3.886457E+03	1.028167E-15	3.463264E-17
3.888339E+03	1.026051E-15	3.455905E-17
3.890319E+03	1.026189E-15	3.456126E-17
3.892300E+03	1.032063E-15	3.475663E-17
3.894181E+03	1.040284E-15	3.503114E-17
