#wls	flux	fluxerr
3.257341E+03	1.232044E-17	7.209313E-19
3.257341E+03	1.232044E-17	7.209313E-19
3.332545E+03	1.085094E-17	6.168492E-19
3.332545E+03	1.085094E-17	6.168492E-19
3.409486E+03	9.640211E-18	5.315851E-19
3.409486E+03	9.640211E-18	5.315851E-19
3.488202E+03	8.714552E-18	4.654663E-19
3.488202E+03	8.714552E-18	4.654663E-19
3.568737E+03	8.064571E-18	4.164851E-19
3.568737E+03	8.064571E-18	4.164851E-19
3.651131E+03	7.715078E-18	3.846668E-19
3.651131E+03	7.715078E-18	3.846668E-19
3.735426E+03	7.691264E-18	3.694466E-19
3.735426E+03	7.691264E-18	3.694466E-19
3.821669E+03	8.065095E-18	3.726630E-19
3.821669E+03	8.065095E-18	3.726630E-19
3.909902E+03	8.834507E-18	3.917099E-19
3.909902E+03	8.834507E-18	3.917099E-19
4.000172E+03	9.951629E-18	4.227809E-19
4.000172E+03	9.951629E-18	4.227809E-19
4.092527E+03	1.133720E-17	4.601484E-19
4.092527E+03	1.133720E-17	4.601484E-19
4.187014E+03	1.296813E-17	5.022112E-19
4.187014E+03	1.296813E-17	5.022112E-19
4.283682E+03	1.490863E-17	5.490015E-19
4.283682E+03	1.490863E-17	5.490015E-19
4.382582E+03	1.727027E-17	6.042566E-19
4.382582E+03	1.727027E-17	6.042566E-19
4.483766E+03	2.014742E-17	6.671049E-19
4.483766E+03	2.014742E-17	6.671049E-19
4.587285E+03	2.324394E-17	7.284787E-19
4.587285E+03	2.324394E-17	7.284787E-19
4.693195E+03	2.625940E-17	7.754396E-19
4.693195E+03	2.625940E-17	7.754396E-19
4.801549E+03	2.854516E-17	7.955367E-19
4.801549E+03	2.854516E-17	7.955367E-19
4.912406E+03	3.046964E-17	7.973985E-19
4.912406E+03	3.046964E-17	7.973985E-19
5.025822E+03	3.204844E-17	7.899233E-19
5.025822E+03	3.204844E-17	7.899233E-19
5.141856E+03	3.340864E-17	7.713683E-19
5.141856E+03	3.340864E-17	7.713683E-19
5.260569E+03	3.438027E-17	7.456621E-19
5.260569E+03	3.438027E-17	7.456621E-19
5.382023E+03	3.460758E-17	7.009638E-19
5.382023E+03	3.460758E-17	7.009638E-19
5.506281E+03	3.387522E-17	6.424428E-19
5.506281E+03	3.387522E-17	6.424428E-19
5.633408E+03	3.347499E-17	5.906587E-19
5.633408E+03	3.347499E-17	5.906587E-19
5.763470E+03	3.436783E-17	5.663316E-19
5.763470E+03	3.436783E-17	5.663316E-19
5.896535E+03	3.698049E-17	5.652672E-19
5.896535E+03	3.698049E-17	5.652672E-19
6.032673E+03	4.142922E-17	5.934885E-19
6.032673E+03	4.142922E-17	5.934885E-19
6.171952E+03	4.640890E-17	6.192685E-19
6.171952E+03	4.640890E-17	6.192685E-19
6.314448E+03	4.899667E-17	6.234623E-19
6.314448E+03	4.899667E-17	6.234623E-19
6.460234E+03	5.001968E-17	6.048239E-19
6.460234E+03	5.001968E-17	6.048239E-19
6.609386E+03	5.066734E-17	5.880765E-19
