#wls	flux	fluxerr
3.257341E+03	2.584163E-18	0.000000E+00
3.332545E+03	2.262323E-18	0.000000E+00
3.409486E+03	1.958532E-18	0.000000E+00
3.488202E+03	1.680803E-18	0.000000E+00
3.568737E+03	1.434223E-18	0.000000E+00
3.651131E+03	1.220615E-18	0.000000E+00
3.735426E+03	1.039022E-18	0.000000E+00
3.821669E+03	8.865998E-19	0.000000E+00
3.909902E+03	7.595592E-19	0.000000E+00
4.000172E+03	6.539147E-19	0.000000E+00
4.092527E+03	5.659675E-19	0.000000E+00
4.187014E+03	4.925372E-19	0.000000E+00
4.283682E+03	4.310170E-19	0.000000E+00
4.382582E+03	3.793256E-19	0.000000E+00
4.483766E+03	3.358259E-19	0.000000E+00
4.587285E+03	2.992417E-19	0.000000E+00
4.693195E+03	2.685833E-19	0.000000E+00
4.801549E+03	2.430824E-19	0.000000E+00
4.912406E+03	2.221336E-19	0.000000E+00
5.025822E+03	2.052416E-19	0.000000E+00
5.141856E+03	1.919696E-19	0.000000E+00
5.260569E+03	1.818846E-19	0.000000E+00
5.382023E+03	1.745007E-19	0.000000E+00
5.506281E+03	1.692341E-19	0.000000E+00
5.633408E+03	1.653926E-19	0.000000E+00
5.763470E+03	1.622278E-19	0.000000E+00
5.896535E+03	1.590482E-19	0.000000E+00
6.032673E+03	1.553626E-19	0.000000E+00
6.171952E+03	1.509914E-19	0.000000E+00
6.314448E+03	1.460808E-19	0.000000E+00
6.460234E+03	1.409980E-19	0.000000E+00
6.609386E+03	1.361473E-19	0.000000E+00
6.761980E+03	1.318027E-19	0.000000E+00
6.918099E+03	1.280280E-19	0.000000E+00
7.077821E+03	1.246958E-19	0.000000E+00
7.241231E+03	1.215678E-19	0.000000E+00
7.408414E+03	1.183906E-19	0.000000E+00
7.579457E+03	1.149700E-19	0.000000E+00
7.754448E+03	1.112032E-19	0.000000E+00
7.933481E+03	1.070695E-19	0.000000E+00
8.116646E+03	1.026079E-19	0.000000E+00
8.304040E+03	9.791149E-20	0.000000E+00
8.495761E+03	9.314522E-20	0.000000E+00
8.691908E+03	8.855878E-20	0.000000E+00
8.892583E+03	8.446569E-20	0.000000E+00
9.097892E+03	8.119078E-20	0.000000E+00
9.307941E+03	7.901317E-20	0.000000E+00
9.522839E+03	7.804834E-20	0.000000E+00
9.742699E+03	7.823740E-20	0.000000E+00
9.967638E+03	7.938784E-20	0.000000E+00
1.019776E+04	8.123092E-20	0.000000E+00
1.043321E+04	8.349449E-20	0.000000E+00
1.067409E+04	8.597001E-20	0.000000E+00
1.092052E+04	8.855447E-20	0.000000E+00
1.117265E+04	9.125919E-20	0.000000E+00
1.143060E+04	9.420356E-20	0.000000E+00
1.169451E+04	9.760161E-20	0.000000E+00
1.196451E+04	1.017412E-19	0.000000E+00
1.224074E+04	1.069414E-19	0.000000E+00
1.252335E+04	1.134840E-19	0.000000E+00
1.281249E+04	1.215308E-19	0.000000E+00
1.310829E+04	1.310562E-19	0.000000E+00
1.341094E+04	1.418268E-19	0.000000E+00
1.372056E+04	1.534490E-19	0.000000E+00
1.403733E+04	1.654767E-19	0.000000E+00
1.436142E+04	1.775376E-19	0.000000E+00
1.469299E+04	1.894174E-19	0.000000E+00
1.503222E+04	2.010796E-19	0.000000E+00
1.537928E+04	2.126524E-19	0.000000E+00
1.573435E+04	2.244218E-19	0.000000E+00
1.609762E+04	2.368137E-19	0.000000E+00
1.646927E+04	2.503112E-19	0.000000E+00
1.684951E+04	2.652964E-19	0.000000E+00
1.723852E+04	2.818931E-19	0.000000E+00
1.763653E+04	2.998799E-19	0.000000E+00
1.804371E+04	3.186871E-19	0.000000E+00
1.846029E+04	3.374705E-19	0.000000E+00
1.888650E+04	3.552784E-19	0.000000E+00
1.932255E+04	3.713357E-19	0.000000E+00
1.976866E+04	3.854496E-19	0.000000E+00
2.022507E+04	3.984858E-19	0.000000E+00
2.069202E+04	4.127569E-19	0.000000E+00
2.116975E+04	4.320265E-19	0.000000E+00
2.165851E+04	4.604629E-19	0.000000E+00
2.215855E+04	4.994567E-19	0.000000E+00
2.267014E+04	5.479730E-19	0.000000E+00
2.319354E+04	6.038927E-19	0.000000E+00
2.372903E+04	6.644082E-19	0.000000E+00
2.427687E+04	7.264151E-19	0.000000E+00
