#wls	flux	fluxerr
3.257341E+03	1.494170E-02	9.983650E-04
3.332545E+03	1.449813E-02	9.683356E-04
3.409486E+03	1.429838E-02	9.545865E-04
3.488202E+03	1.439339E-02	9.604970E-04
3.568737E+03	1.481393E-02	9.880890E-04
3.651131E+03	1.555060E-02	1.036703E-03
3.735426E+03	1.652852E-02	1.101310E-03
3.821669E+03	1.761308E-02	1.172914E-03
3.909902E+03	1.859627E-02	1.237649E-03
4.000172E+03	1.923092E-02	1.279078E-03
4.092527E+03	1.937457E-02	1.287768E-03
4.187014E+03	1.907493E-02	1.266951E-03
4.283682E+03	1.852291E-02	1.229357E-03
4.382582E+03	1.788760E-02	1.186240E-03
4.483766E+03	1.722992E-02	1.141653E-03
4.587285E+03	1.655124E-02	1.095692E-03
4.693195E+03	1.586309E-02	1.049127E-03
4.801549E+03	1.517900E-02	1.002857E-03
4.912406E+03	1.448823E-02	9.561775E-04
5.025822E+03	1.377591E-02	9.081141E-04
5.141856E+03	1.306035E-02	8.598835E-04
5.260569E+03	1.240251E-02	8.155003E-04
5.382023E+03	1.185199E-02	7.782135E-04
5.506281E+03	1.140351E-02	7.476527E-04
5.633408E+03	1.102044E-02	7.213933E-04
5.763470E+03	1.065946E-02	6.965878E-04
5.896535E+03	1.026386E-02	6.695324E-04
6.032673E+03	9.792995E-03	6.375985E-04
6.171952E+03	9.237969E-03	6.002423E-04
6.314448E+03	8.631903E-03	5.596545E-04
6.460234E+03	8.035100E-03	5.197695E-04
6.609386E+03	7.504801E-03	4.842896E-04
6.761980E+03	7.049967E-03	4.537725E-04
6.918099E+03	6.637579E-03	4.260721E-04
7.077821E+03	6.243729E-03	3.996469E-04
7.241231E+03	5.881412E-03	3.753270E-04
7.408414E+03	5.570760E-03	3.543861E-04
7.579457E+03	5.317307E-03	3.371545E-04
7.754448E+03	5.102331E-03	3.224222E-04
7.933481E+03	4.877692E-03	3.071384E-04
8.116646E+03	4.624960E-03	2.901574E-04
8.304040E+03	4.357221E-03	2.723227E-04
8.495761E+03	4.082189E-03	2.541330E-04
8.691908E+03	3.795343E-03	2.353231E-04
8.892583E+03	3.509853E-03	2.167261E-04
9.097892E+03	3.254560E-03	2.001264E-04
9.307941E+03	3.052067E-03	1.868950E-04
9.522839E+03	2.901970E-03	1.769757E-04
9.742699E+03	2.781859E-03	1.689785E-04
9.967638E+03	2.662364E-03	1.611177E-04
1.019776E+04	2.517746E-03	1.518553E-04
1.043321E+04	2.348883E-03	1.412583E-04
1.067409E+04	2.176906E-03	1.305896E-04
1.092052E+04	2.012383E-03	1.204685E-04
1.117265E+04	1.859532E-03	1.111345E-04
1.143060E+04	1.724787E-03	1.029631E-04
1.169451E+04	1.611902E-03	9.617459E-05
1.196451E+04	1.516762E-03	9.052652E-05
1.224074E+04	1.429847E-03	8.546011E-05
1.252335E+04	1.347243E-03	8.074990E-05
1.281249E+04	1.277411E-03	7.688415E-05
1.310829E+04	1.226354E-03	7.419441E-05
1.341094E+04	1.182263E-03	7.194585E-05
1.372056E+04	1.121985E-03	6.870031E-05
1.403733E+04	1.035140E-03	6.377747E-05
1.436142E+04	9.348995E-04	5.794821E-05
1.469299E+04	8.423009E-04	5.250188E-05
1.503222E+04	7.668677E-04	4.804244E-05
1.537928E+04	7.036634E-04	4.427847E-05
1.573435E+04	6.454989E-04	4.077144E-05
1.609762E+04	5.931430E-04	3.758042E-05
1.646927E+04	5.537661E-04	3.516665E-05
1.684951E+04	5.309803E-04	3.376479E-05
1.723852E+04	5.220188E-04	3.320144E-05
1.763653E+04	5.218666E-04	3.315571E-05
1.804371E+04	5.226964E-04	3.312669E-05
1.846029E+04	5.136982E-04	3.243089E-05
1.888650E+04	4.877083E-04	3.063137E-05
1.932255E+04	4.475060E-04	2.793280E-05
1.976866E+04	4.015869E-04	2.490004E-05
2.022507E+04	3.554749E-04	2.190528E-05
2.069202E+04	3.105075E-04	1.905455E-05
2.116975E+04	2.667117E-04	1.636536E-05
2.165851E+04	2.247667E-04	1.386289E-05
2.215855E+04	1.865001E-04	1.160561E-05
2.267014E+04	1.546256E-04	9.727514E-06
2.319354E+04	1.308698E-04	8.328126E-06
2.372903E+04	1.145894E-04	7.373428E-06
2.427687E+04	1.038802E-04	6.752154E-06
