#wls	flux	fluxerr
3.257341E+03	2.392114E-04	3.099155E-05
3.257341E+03	2.392114E-04	3.099155E-05
3.332545E+03	1.984396E-04	2.531019E-05
3.332545E+03	1.984396E-04	2.531019E-05
3.409486E+03	1.642596E-04	2.060538E-05
3.409486E+03	1.642596E-04	2.060538E-05
3.488202E+03	1.371297E-04	1.690080E-05
3.488202E+03	1.371297E-04	1.690080E-05
3.568737E+03	1.167635E-04	1.412257E-05
3.568737E+03	1.167635E-04	1.412257E-05
3.651131E+03	1.023840E-04	1.213762E-05
3.651131E+03	1.023840E-04	1.213762E-05
3.735426E+03	9.297835E-05	1.078938E-05
3.735426E+03	9.297835E-05	1.078938E-05
3.821669E+03	8.753172E-05	9.927974E-06
3.821669E+03	8.753172E-05	9.927974E-06
3.909902E+03	8.494435E-05	9.402041E-06
3.909902E+03	8.494435E-05	9.402041E-06
4.000172E+03	8.409180E-05	9.067422E-06
4.000172E+03	8.409180E-05	9.067422E-06
4.092527E+03	8.422127E-05	8.830322E-06
4.092527E+03	8.422127E-05	8.830322E-06
4.187014E+03	8.520438E-05	8.668575E-06
4.187014E+03	8.520438E-05	8.668575E-06
4.283682E+03	8.738365E-05	8.607371E-06
4.283682E+03	8.738365E-05	8.607371E-06
4.382582E+03	9.094713E-05	8.651981E-06
4.382582E+03	9.094713E-05	8.651981E-06
4.483766E+03	9.558950E-05	8.759001E-06
4.483766E+03	9.558950E-05	8.759001E-06
4.587285E+03	1.007551E-04	8.866493E-06
4.587285E+03	1.007551E-04	8.866493E-06
4.693195E+03	1.061735E-04	8.944293E-06
4.693195E+03	1.061735E-04	8.944293E-06
4.801549E+03	1.118994E-04	8.992579E-06
4.801549E+03	1.118994E-04	8.992579E-06
4.912406E+03	1.178432E-04	8.999978E-06
4.912406E+03	1.178432E-04	8.999978E-06
5.025822E+03	1.233560E-04	8.916795E-06
5.025822E+03	1.233560E-04	8.916795E-06
5.141856E+03	1.272612E-04	8.669204E-06
5.141856E+03	1.272612E-04	8.669204E-06
5.260569E+03	1.284372E-04	8.208376E-06
5.260569E+03	1.284372E-04	8.208376E-06
5.382023E+03	1.266347E-04	7.558604E-06
5.382023E+03	1.266347E-04	7.558604E-06
5.506281E+03	1.233079E-04	6.844502E-06
5.506281E+03	1.233079E-04	6.844502E-06
5.633408E+03	1.211454E-04	6.229181E-06
5.633408E+03	1.211454E-04	6.229181E-06
5.763470E+03	1.222984E-04	5.805399E-06
5.763470E+03	1.222984E-04	5.805399E-06
5.896535E+03	1.272919E-04	5.564964E-06
5.896535E+03	1.272919E-04	5.564964E-06
6.032673E+03	1.350810E-04	5.437220E-06
6.032673E+03	1.350810E-04	5.437220E-06
6.171952E+03	1.434645E-04	5.335323E-06
6.171952E+03	1.434645E-04	5.335323E-06
6.314448E+03	1.502951E-04	5.213627E-06
6.314448E+03	1.502951E-04	5.213627E-06
6.460234E+03	1.551173E-04	5.104557E-06
6.460234E+03	1.551173E-04	5.104557E-06
6.609386E+03	1.600548E-04	5.081431E-06
6.609386E+03	1.600548E-04	5.081431E-06
6.761980E+03	1.675588E-04	5.181372E-06
6.761980E+03	1.675588E-04	5.181372E-06
6.918099E+03	1.780979E-04	5.363592E-06
6.918099E+03	1.780979E-04	5.363592E-06
7.077821E+03	1.905859E-04	5.539348E-06
7.077821E+03	1.905859E-04	5.539348E-06
7.241231E+03	2.041371E-04	5.638735E-06
7.241231E+03	2.041371E-04	5.638735E-06
7.408414E+03	2.184743E-04	5.644973E-06
7.408414E+03	2.184743E-04	5.644973E-06
7.579457E+03	2.334854E-04	5.621974E-06
7.579457E+03	2.334854E-04	5.621974E-06
7.754448E+03	2.482905E-04	5.741941E-06
7.754448E+03	2.482905E-04	5.741941E-06
7.933481E+03	2.600029E-04	6.176393E-06
7.933481E+03	2.600029E-04	6.176393E-06
8.116646E+03	2.672679E-04	6.795252E-06
8.116646E+03	2.672679E-04	6.795252E-06
8.304040E+03	2.722982E-04	7.393057E-06
8.304040E+03	2.722982E-04	7.393057E-06
8.495761E+03	2.784357E-04	7.869464E-06
8.495761E+03	2.784357E-04	7.869464E-06
8.691908E+03	2.873968E-04	8.191510E-06
8.691908E+03	2.873968E-04	8.191510E-06
8.892583E+03	3.002878E-04	8.402270E-06
8.892583E+03	3.002878E-04	8.402270E-06
9.097892E+03	3.186527E-04	8.640061E-06
9.097892E+03	3.186527E-04	8.640061E-06
9.307941E+03	3.439910E-04	9.089929E-06
9.307941E+03	3.439910E-04	9.089929E-06
9.522839E+03	3.754021E-04	9.774728E-06
9.522839E+03	3.754021E-04	9.774728E-06
9.742699E+03	4.081585E-04	1.070790E-05
9.742699E+03	4.081585E-04	1.070790E-05
9.967638E+03	4.358488E-04	1.205696E-05
9.967638E+03	4.358488E-04	1.205696E-05
1.019776E+04	4.527131E-04	1.379376E-05
1.019776E+04	4.527131E-04	1.379376E-05
1.043321E+04	4.589238E-04	1.566685E-05
1.043321E+04	4.589238E-04	1.566685E-05
1.067409E+04	4.583952E-04	1.731945E-05
1.067409E+04	4.583952E-04	1.731945E-05
1.092052E+04	4.504871E-04	1.835443E-05
1.092052E+04	4.504871E-04	1.835443E-05
1.117265E+04	4.332946E-04	1.846916E-05
1.117265E+04	4.332946E-04	1.846916E-05
1.143060E+04	4.087152E-04	1.768799E-05
1.143060E+04	4.087152E-04	1.768799E-05
1.169451E+04	3.811853E-04	1.633496E-05
1.169451E+04	3.811853E-04	1.633496E-05
1.196451E+04	3.541267E-04	1.486054E-05
1.196451E+04	3.541267E-04	1.486054E-05
1.224074E+04	3.289034E-04	1.377127E-05
1.224074E+04	3.289034E-04	1.377127E-05
1.252335E+04	3.077945E-04	1.360791E-05
1.252335E+04	3.077945E-04	1.360791E-05
1.281249E+04	2.961750E-04	1.452799E-05
1.281249E+04	2.961750E-04	1.452799E-05
1.310829E+04	2.982689E-04	1.637924E-05
1.310829E+04	2.982689E-04	1.637924E-05
1.341094E+04	3.114760E-04	1.883463E-05
1.341094E+04	3.114760E-04	1.883463E-05
1.372056E+04	3.260010E-04	2.110867E-05
1.372056E+04	3.260010E-04	2.110867E-05
1.403733E+04	3.330420E-04	2.233825E-05
1.403733E+04	3.330420E-04	2.233825E-05
1.436142E+04	3.331961E-04	2.230744E-05
1.436142E+04	3.331961E-04	2.230744E-05
1.469299E+04	3.336985E-04	2.137730E-05
1.469299E+04	3.336985E-04	2.137730E-05
1.503222E+04	3.384667E-04	1.973787E-05
1.503222E+04	3.384667E-04	1.973787E-05
1.537928E+04	3.421099E-04	1.713037E-05
1.537928E+04	3.421099E-04	1.713037E-05
1.573435E+04	3.350306E-04	1.370211E-05
1.573435E+04	3.350306E-04	1.370211E-05
1.609762E+04	3.146293E-04	1.118864E-05
1.609762E+04	3.146293E-04	1.118864E-05
1.646927E+04	2.892779E-04	1.174573E-05
1.646927E+04	2.892779E-04	1.174573E-05
1.684951E+04	2.682052E-04	1.405731E-05
1.684951E+04	2.682052E-04	1.405731E-05
1.723852E+04	2.553568E-04	1.658833E-05
1.723852E+04	2.553568E-04	1.658833E-05
1.763653E+04	2.528502E-04	1.907903E-05
1.763653E+04	2.528502E-04	1.907903E-05
1.804371E+04	2.612555E-04	2.158973E-05
1.804371E+04	2.612555E-04	2.158973E-05
1.846029E+04	2.784278E-04	2.390332E-05
1.846029E+04	2.784278E-04	2.390332E-05
1.888650E+04	3.004814E-04	2.545286E-05
1.888650E+04	3.004814E-04	2.545286E-05
1.932255E+04	3.241921E-04	2.560173E-05
1.932255E+04	3.241921E-04	2.560173E-05
1.976866E+04	3.466248E-04	2.375879E-05
1.976866E+04	3.466248E-04	2.375879E-05
2.022507E+04	3.616022E-04	1.938223E-05
2.022507E+04	3.616022E-04	1.938223E-05
2.069202E+04	3.616422E-04	1.283194E-05
2.069202E+04	3.616422E-04	1.283194E-05
2.116975E+04	3.440616E-04	8.084082E-06
2.116975E+04	3.440616E-04	8.084082E-06
2.165851E+04	3.134359E-04	1.170869E-05
2.165851E+04	3.134359E-04	1.170869E-05
2.215855E+04	2.784922E-04	1.673143E-05
2.215855E+04	2.784922E-04	1.673143E-05
2.267014E+04	2.479194E-04	2.038791E-05
2.267014E+04	2.479194E-04	2.038791E-05
2.319354E+04	2.273052E-04	2.324237E-05
2.319354E+04	2.273052E-04	2.324237E-05
2.372903E+04	2.172118E-04	2.602361E-05
2.372903E+04	2.172118E-04	2.602361E-05
2.427687E+04	2.151554E-04	2.902746E-05
2.427687E+04	2.151554E-04	2.902746E-05
