#wls	flux	fluxerr
3.257341E+03	1.732007E-04	2.678624E-05
3.332545E+03	1.410155E-04	2.162694E-05
3.409486E+03	1.140930E-04	1.734423E-05
3.488202E+03	9.264665E-05	1.395349E-05
3.568737E+03	7.631691E-05	1.138167E-05
3.651131E+03	6.437743E-05	9.501911E-06
3.735426E+03	5.594374E-05	8.167052E-06
3.821669E+03	5.015579E-05	7.237668E-06
3.909902E+03	4.617490E-05	6.581981E-06
4.000172E+03	4.325131E-05	6.085734E-06
4.092527E+03	4.091706E-05	5.678727E-06
4.187014E+03	3.905178E-05	5.341567E-06
4.283682E+03	3.774176E-05	5.083438E-06
4.382582E+03	3.698768E-05	4.901208E-06
4.483766E+03	3.660912E-05	4.767879E-06
4.587285E+03	3.638269E-05	4.652390E-06
4.693195E+03	3.623235E-05	4.544172E-06
4.801549E+03	3.620533E-05	4.448531E-06
4.912406E+03	3.630142E-05	4.364568E-06
5.025822E+03	3.635890E-05	4.272400E-06
5.141856E+03	3.608464E-05	4.138885E-06
5.260569E+03	3.522233E-05	3.938478E-06
5.382023E+03	3.375458E-05	3.674885E-06
5.506281E+03	3.207991E-05	3.396306E-06
5.633408E+03	3.085299E-05	3.172177E-06
5.763470E+03	3.054598E-05	3.045270E-06
5.896535E+03	3.122012E-05	3.012529E-06
6.032673E+03	3.257883E-05	3.036337E-06
6.171952E+03	3.409684E-05	3.062084E-06
6.314448E+03	3.531612E-05	3.048025E-06
6.460234E+03	3.621115E-05	2.994940E-06
6.609386E+03	3.734780E-05	2.951300E-06
6.761980E+03	3.936166E-05	2.962469E-06
6.918099E+03	4.244855E-05	3.032033E-06
7.077821E+03	4.641501E-05	3.134617E-06
7.241231E+03	5.102063E-05	3.246460E-06
7.408414E+03	5.605559E-05	3.353039E-06
7.579457E+03	6.124006E-05	3.445719E-06
7.754448E+03	6.600347E-05	3.514251E-06
7.933481E+03	6.924095E-05	3.535073E-06
8.116646E+03	7.042083E-05	3.498033E-06
8.304040E+03	7.008753E-05	3.422402E-06
8.495761E+03	6.915774E-05	3.339503E-06
8.691908E+03	6.814619E-05	3.270726E-06
8.892583E+03	6.739216E-05	3.248937E-06
9.097892E+03	6.734892E-05	3.335545E-06
9.307941E+03	6.853085E-05	3.592226E-06
9.522839E+03	7.088567E-05	4.010365E-06
9.742699E+03	7.375530E-05	4.537815E-06
9.967638E+03	7.638171E-05	5.109263E-06
1.019776E+04	7.821835E-05	5.637897E-06
1.043321E+04	7.956624E-05	6.084984E-06
1.067409E+04	8.106093E-05	6.459639E-06
1.092052E+04	8.241991E-05	6.719809E-06
1.117265E+04	8.298256E-05	6.805868E-06
1.143060E+04	8.263732E-05	6.720844E-06
1.169451E+04	8.179585E-05	6.530113E-06
1.196451E+04	8.084504E-05	6.311665E-06
1.224074E+04	7.988327E-05	6.131636E-06
1.252335E+04	7.932746E-05	6.083812E-06
1.281249E+04	8.064682E-05	6.282265E-06
1.310829E+04	8.537091E-05	6.795921E-06
1.341094E+04	9.330081E-05	7.563491E-06
1.372056E+04	1.019378E-04	8.324794E-06
1.403733E+04	1.086120E-04	8.789602E-06
1.436142E+04	1.132883E-04	8.894003E-06
1.469299E+04	1.182183E-04	8.774678E-06
1.503222E+04	1.248532E-04	8.506434E-06
1.537928E+04	1.313629E-04	7.979735E-06
1.573435E+04	1.338471E-04	7.168330E-06
1.609762E+04	1.305208E-04	6.502274E-06
1.646927E+04	1.240028E-04	6.599153E-06
1.684951E+04	1.180594E-04	7.294001E-06
1.723852E+04	1.147843E-04	8.218853E-06
1.763653E+04	1.156014E-04	9.272448E-06
1.804371E+04	1.212823E-04	1.046075E-05
1.846029E+04	1.313770E-04	1.168449E-05
1.888650E+04	1.445195E-04	1.268448E-05
1.932255E+04	1.593517E-04	1.313133E-05
1.976866E+04	1.742721E-04	1.266027E-05
2.022507E+04	1.857774E-04	1.088424E-05
2.069202E+04	1.895199E-04	7.847311E-06
2.116975E+04	1.836521E-04	5.202441E-06
2.165851E+04	1.705263E-04	6.487711E-06
2.215855E+04	1.547493E-04	9.287566E-06
2.267014E+04	1.409230E-04	1.163274E-05
2.319354E+04	1.321909E-04	1.363736E-05
2.372903E+04	1.291053E-04	1.566042E-05
2.427687E+04	1.305121E-04	1.786453E-05
