#wls	flux	fluxerr
3.257341E+03	7.905629E-03	5.333353E-04
3.332545E+03	7.733452E-03	5.138989E-04
3.409486E+03	7.725759E-03	5.054039E-04
3.488202E+03	7.926131E-03	5.101598E-04
3.568737E+03	8.374527E-03	5.300442E-04
3.651131E+03	9.096395E-03	5.658414E-04
3.735426E+03	1.008353E-02	6.161423E-04
3.821669E+03	1.128448E-02	6.769669E-04
3.909902E+03	1.257244E-02	7.401238E-04
4.000172E+03	1.374361E-02	7.935445E-04
4.092527E+03	1.461866E-02	8.274756E-04
4.187014E+03	1.514346E-02	8.399513E-04
4.283682E+03	1.539893E-02	8.366192E-04
4.382582E+03	1.548369E-02	8.237267E-04
4.483766E+03	1.542966E-02	8.036282E-04
4.587285E+03	1.523442E-02	7.768048E-04
4.693195E+03	1.492548E-02	7.452600E-04
4.801549E+03	1.454656E-02	7.116604E-04
4.912406E+03	1.411526E-02	6.771989E-04
5.025822E+03	1.362828E-02	6.420124E-04
5.141856E+03	1.309609E-02	6.068181E-04
5.260569E+03	1.256140E-02	5.736496E-04
5.382023E+03	1.206443E-02	5.443155E-04
5.506281E+03	1.162057E-02	5.194704E-04
5.633408E+03	1.123824E-02	4.995037E-04
5.763470E+03	1.091071E-02	4.842093E-04
5.896535E+03	1.058842E-02	4.715671E-04
6.032673E+03	1.021021E-02	4.590407E-04
6.171952E+03	9.733312E-03	4.446809E-04
6.314448E+03	9.164750E-03	4.281341E-04
6.460234E+03	8.560282E-03	4.109906E-04
6.609386E+03	7.991886E-03	3.958830E-04
6.761980E+03	7.480567E-03	3.833673E-04
6.918099E+03	6.993028E-03	3.714141E-04
7.077821E+03	6.505401E-03	3.583996E-04
7.241231E+03	6.041604E-03	3.453462E-04
7.408414E+03	5.637419E-03	3.342725E-04
7.579457E+03	5.310759E-03	3.264862E-04
7.754448E+03	5.048447E-03	3.215184E-04
7.933481E+03	4.800919E-03	3.163993E-04
8.116646E+03	4.549704E-03	3.098578E-04
8.304040E+03	4.310960E-03	3.029337E-04
8.495761E+03	4.094154E-03	2.963573E-04
8.691908E+03	3.890237E-03	2.895867E-04
8.892583E+03	3.702869E-03	2.829913E-04
9.097892E+03	3.550731E-03	2.781520E-04
9.307941E+03	3.447990E-03	2.764275E-04
9.522839E+03	3.385579E-03	2.773626E-04
9.742699E+03	3.330825E-03	2.784587E-04
9.967638E+03	3.245933E-03	2.765546E-04
1.019776E+04	3.101944E-03	2.690305E-04
1.043321E+04	2.908271E-03	2.564779E-04
1.067409E+04	2.700201E-03	2.418595E-04
1.092052E+04	2.494869E-03	2.267118E-04
1.117265E+04	2.299342E-03	2.117514E-04
1.143060E+04	2.124255E-03	1.980735E-04
1.169451E+04	1.976951E-03	1.865154E-04
1.196451E+04	1.853692E-03	1.768887E-04
1.224074E+04	1.742821E-03	1.682240E-04
1.252335E+04	1.640272E-03	1.602250E-04
1.281249E+04	1.559135E-03	1.541923E-04
1.310829E+04	1.508715E-03	1.510707E-04
1.341094E+04	1.472332E-03	1.492288E-04
1.372056E+04	1.415108E-03	1.450983E-04
1.403733E+04	1.318892E-03	1.366967E-04
1.436142E+04	1.200402E-03	1.256413E-04
1.469299E+04	1.089547E-03	1.150412E-04
1.503222E+04	1.000190E-03	1.064225E-04
1.537928E+04	9.246731E-04	9.905069E-05
1.573435E+04	8.517729E-04	9.178127E-05
1.609762E+04	7.827962E-04	8.479525E-05
1.646927E+04	7.295569E-04	7.939312E-05
1.684951E+04	6.988205E-04	7.632934E-05
1.723852E+04	6.878104E-04	7.531814E-05
1.763653E+04	6.904465E-04	7.569881E-05
1.804371E+04	6.963683E-04	7.633011E-05
1.846029E+04	6.900412E-04	7.550632E-05
1.888650E+04	6.601159E-04	7.200639E-05
1.932255E+04	6.093450E-04	6.618590E-05
1.976866E+04	5.491755E-04	5.936206E-05
2.022507E+04	4.870781E-04	5.241279E-05
2.069202E+04	4.249202E-04	4.559824E-05
2.116975E+04	3.632545E-04	3.901643E-05
2.165851E+04	3.038624E-04	3.281472E-05
2.215855E+04	2.499551E-04	2.722371E-05
2.267014E+04	2.056312E-04	2.262252E-05
2.319354E+04	1.732349E-04	1.925770E-05
2.372903E+04	1.515745E-04	1.701772E-05
2.427687E+04	1.377271E-04	1.560173E-05
