#wls	flux	fluxerr
3.257341E+03	2.476017E-02	1.530880E-03
3.257341E+03	2.476017E-02	1.530880E-03
3.332545E+03	2.383467E-02	1.469791E-03
3.332545E+03	2.383467E-02	1.469791E-03
3.409486E+03	2.322732E-02	1.428353E-03
3.409486E+03	2.322732E-02	1.428353E-03
3.488202E+03	2.299489E-02	1.409888E-03
3.488202E+03	2.299489E-02	1.409888E-03
3.568737E+03	2.315292E-02	1.415131E-03
3.568737E+03	2.315292E-02	1.415131E-03
3.651131E+03	2.364919E-02	1.440657E-03
3.651131E+03	2.364919E-02	1.440657E-03
3.735426E+03	2.433883E-02	1.477429E-03
3.735426E+03	2.433883E-02	1.477429E-03
3.821669E+03	2.501581E-02	1.512818E-03
3.821669E+03	2.501581E-02	1.512818E-03
3.909902E+03	2.542084E-02	1.531166E-03
3.909902E+03	2.542084E-02	1.531166E-03
4.000172E+03	2.530287E-02	1.517575E-03
4.000172E+03	2.530287E-02	1.517575E-03
4.092527E+03	2.458626E-02	1.467911E-03
4.092527E+03	2.458626E-02	1.467911E-03
4.187014E+03	2.342544E-02	1.391849E-03
4.187014E+03	2.342544E-02	1.391849E-03
4.283682E+03	2.210412E-02	1.306575E-03
4.283682E+03	2.210412E-02	1.306575E-03
4.382582E+03	2.083527E-02	1.224805E-03
4.382582E+03	2.083527E-02	1.224805E-03
4.483766E+03	1.968144E-02	1.150189E-03
4.483766E+03	1.968144E-02	1.150189E-03
4.587285E+03	1.862486E-02	1.081622E-03
4.587285E+03	1.862486E-02	1.081622E-03
4.693195E+03	1.764850E-02	1.018060E-03
4.693195E+03	1.764850E-02	1.018060E-03
4.801549E+03	1.673343E-02	9.583663E-04
4.801549E+03	1.673343E-02	9.583663E-04
4.912406E+03	1.584122E-02	9.003259E-04
4.912406E+03	1.584122E-02	9.003259E-04
5.025822E+03	1.494320E-02	8.423385E-04
5.025822E+03	1.494320E-02	8.423385E-04
5.141856E+03	1.406052E-02	7.856457E-04
5.141856E+03	1.406052E-02	7.856457E-04
5.260569E+03	1.326838E-02	7.344436E-04
5.260569E+03	1.326838E-02	7.344436E-04
5.382023E+03	1.262638E-02	6.919085E-04
5.382023E+03	1.262638E-02	6.919085E-04
5.506281E+03	1.211913E-02	6.570007E-04
5.506281E+03	1.211913E-02	6.570007E-04
5.633408E+03	1.168401E-02	6.261620E-04
5.633408E+03	1.168401E-02	6.261620E-04
5.763470E+03	1.125577E-02	5.958373E-04
5.763470E+03	1.125577E-02	5.958373E-04
5.896535E+03	1.077101E-02	5.627370E-04
5.896535E+03	1.077101E-02	5.627370E-04
6.032673E+03	1.019778E-02	5.253805E-04
6.032673E+03	1.019778E-02	5.253805E-04
6.171952E+03	9.543564E-03	4.844038E-04
6.171952E+03	9.543564E-03	4.844038E-04
6.314448E+03	8.855142E-03	4.424066E-04
6.314448E+03	8.855142E-03	4.424066E-04
6.460234E+03	8.196898E-03	4.027199E-04
6.460234E+03	8.196898E-03	4.027199E-04
6.609386E+03	7.620829E-03	3.678653E-04
6.609386E+03	7.620829E-03	3.678653E-04
6.761980E+03	7.130471E-03	3.378809E-04
6.761980E+03	7.130471E-03	3.378809E-04
6.918099E+03	6.692333E-03	3.110606E-04
6.918099E+03	6.692333E-03	3.110606E-04
7.077821E+03	6.282232E-03	2.862376E-04
7.077821E+03	6.282232E-03	2.862376E-04
7.241231E+03	5.907773E-03	2.637504E-04
7.241231E+03	5.907773E-03	2.637504E-04
7.408414E+03	5.580619E-03	2.440859E-04
7.408414E+03	5.580619E-03	2.440859E-04
7.579457E+03	5.298998E-03	2.271127E-04
7.579457E+03	5.298998E-03	2.271127E-04
7.754448E+03	5.041283E-03	2.118634E-04
7.754448E+03	5.041283E-03	2.118634E-04
7.933481E+03	4.762996E-03	1.964261E-04
7.933481E+03	4.762996E-03	1.964261E-04
8.116646E+03	4.449802E-03	1.801868E-04
8.116646E+03	4.449802E-03	1.801868E-04
8.304040E+03	4.116165E-03	1.637204E-04
8.304040E+03	4.116165E-03	1.637204E-04
8.495761E+03	3.771764E-03	1.473829E-04
8.495761E+03	3.771764E-03	1.473829E-04
8.691908E+03	3.417884E-03	1.311973E-04
8.691908E+03	3.417884E-03	1.311973E-04
8.892583E+03	3.073142E-03	1.158534E-04
8.892583E+03	3.073142E-03	1.158534E-04
9.097892E+03	2.768131E-03	1.024464E-04
9.097892E+03	2.768131E-03	1.024464E-04
9.307941E+03	2.524605E-03	9.162931E-05
9.307941E+03	2.524605E-03	9.162931E-05
9.522839E+03	2.342685E-03	8.319109E-05
9.522839E+03	2.342685E-03	8.319109E-05
9.742699E+03	2.203680E-03	7.627634E-05
9.742699E+03	2.203680E-03	7.627634E-05
9.967638E+03	2.082689E-03	6.988761E-05
9.967638E+03	2.082689E-03	6.988761E-05
1.019776E+04	1.956773E-03	6.320221E-05
1.019776E+04	1.956773E-03	6.320221E-05
1.043321E+04	1.821943E-03	5.612473E-05
1.043321E+04	1.821943E-03	5.612473E-05
1.067409E+04	1.689765E-03	4.907990E-05
1.067409E+04	1.689765E-03	4.907990E-05
1.092052E+04	1.565928E-03	4.229084E-05
1.092052E+04	1.565928E-03	4.229084E-05
1.117265E+04	1.452469E-03	3.587599E-05
1.117265E+04	1.452469E-03	3.587599E-05
1.143060E+04	1.353183E-03	3.001557E-05
1.143060E+04	1.353183E-03	3.001557E-05
1.169451E+04	1.270038E-03	2.488961E-05
1.169451E+04	1.270038E-03	2.488961E-05
1.196451E+04	1.199490E-03	2.071320E-05
1.196451E+04	1.199490E-03	2.071320E-05
1.224074E+04	1.134210E-03	1.792449E-05
1.224074E+04	1.134210E-03	1.792449E-05
1.252335E+04	1.070909E-03	1.715708E-05
1.252335E+04	1.070909E-03	1.715708E-05
1.281249E+04	1.015292E-03	1.827705E-05
1.281249E+04	1.015292E-03	1.827705E-05
1.310829E+04	9.715141E-04	2.043238E-05
1.310829E+04	9.715141E-04	2.043238E-05
1.341094E+04	9.312537E-04	2.281735E-05
1.341094E+04	9.312537E-04	2.281735E-05
1.372056E+04	8.786334E-04	2.464418E-05
1.372056E+04	8.786334E-04	2.464418E-05
1.403733E+04	8.071823E-04	2.540206E-05
1.403733E+04	8.071823E-04	2.540206E-05
1.436142E+04	7.268307E-04	2.518866E-05
1.436142E+04	7.268307E-04	2.518866E-05
1.469299E+04	6.526423E-04	2.450191E-05
1.469299E+04	6.526423E-04	2.450191E-05
1.503222E+04	5.914011E-04	2.371497E-05
1.503222E+04	5.914011E-04	2.371497E-05
1.537928E+04	5.397762E-04	2.284020E-05
1.537928E+04	5.397762E-04	2.284020E-05
1.573435E+04	4.929057E-04	2.178086E-05
1.573435E+04	4.929057E-04	2.178086E-05
1.609762E+04	4.513142E-04	2.063977E-05
1.609762E+04	4.513142E-04	2.063977E-05
1.646927E+04	4.197119E-04	1.969440E-05
1.646927E+04	4.197119E-04	1.969440E-05
1.684951E+04	4.001955E-04	1.909474E-05
1.684951E+04	4.001957E-04	1.909474E-05
1.723852E+04	3.904142E-04	1.875985E-05
1.723852E+04	3.904142E-04	1.875985E-05
1.763653E+04	3.864994E-04	1.850736E-05
1.763653E+04	3.864994E-04	1.850736E-05
1.804371E+04	3.828222E-04	1.805545E-05
1.804371E+04	3.828222E-04	1.805545E-05
1.846029E+04	3.721170E-04	1.706090E-05
