#wls	flux	fluxerr
3.257341E+03	1.880357E-04	2.787217E-05
3.257341E+03	1.880357E-04	2.787217E-05
3.332545E+03	1.574362E-04	2.283495E-05
3.332545E+03	1.574362E-04	2.283495E-05
3.409486E+03	1.318053E-04	1.868254E-05
3.409486E+03	1.318053E-04	1.868254E-05
3.488202E+03	1.115432E-04	1.543027E-05
3.488202E+03	1.115432E-04	1.543027E-05
3.568737E+03	9.649716E-05	1.300991E-05
3.568737E+03	9.649716E-05	1.300991E-05
3.651131E+03	8.614586E-05	1.130349E-05
3.651131E+03	8.614586E-05	1.130349E-05
3.735426E+03	7.978259E-05	1.017395E-05
3.735426E+03	7.978259E-05	1.017395E-05
3.821669E+03	7.668925E-05	9.490973E-06
3.821669E+03	7.668925E-05	9.490973E-06
3.909902E+03	7.603428E-05	9.119983E-06
3.909902E+03	7.603428E-05	9.119983E-06
4.000172E+03	7.690024E-05	8.928434E-06
4.000172E+03	7.690024E-05	8.928434E-06
4.092527E+03	7.865163E-05	8.829561E-06
4.092527E+03	7.865163E-05	8.829561E-06
4.187014E+03	8.120969E-05	8.807226E-06
4.187014E+03	8.120969E-05	8.807226E-06
4.283682E+03	8.495784E-05	8.895641E-06
4.283682E+03	8.495784E-05	8.895641E-06
4.382582E+03	9.014597E-05	9.109418E-06
4.382582E+03	9.014597E-05	9.109418E-06
4.483766E+03	9.651765E-05	9.409817E-06
4.483766E+03	9.651765E-05	9.409817E-06
4.587285E+03	1.035176E-04	9.734415E-06
4.587285E+03	1.035176E-04	9.734415E-06
4.693195E+03	1.108403E-04	1.005184E-05
4.693195E+03	1.108403E-04	1.005184E-05
4.801549E+03	1.185022E-04	1.036365E-05
4.801549E+03	1.185022E-04	1.036365E-05
4.912406E+03	1.263621E-04	1.065878E-05
4.912406E+03	1.263621E-04	1.065878E-05
5.025822E+03	1.336792E-04	1.087899E-05
5.025822E+03	1.336792E-04	1.087899E-05
5.141856E+03	1.391437E-04	1.092936E-05
5.141856E+03	1.391437E-04	1.092936E-05
5.260569E+03	1.415107E-04	1.073442E-05
5.260569E+03	1.415107E-04	1.073442E-05
5.382023E+03	1.404983E-04	1.030162E-05
5.382023E+03	1.404983E-04	1.030162E-05
5.506281E+03	1.377316E-04	9.774535E-06
5.506281E+03	1.377316E-04	9.774535E-06
5.633408E+03	1.362898E-04	9.375203E-06
5.633408E+03	1.362898E-04	9.375203E-06
5.763470E+03	1.387565E-04	9.259454E-06
5.763470E+03	1.387565E-04	9.259454E-06
5.896535E+03	1.459562E-04	9.449964E-06
5.896535E+03	1.459562E-04	9.449964E-06
6.032673E+03	1.569737E-04	9.856349E-06
6.032673E+03	1.569737E-04	9.856349E-06
6.171952E+03	1.695274E-04	1.031477E-05
6.171952E+03	1.695274E-04	1.031477E-05
6.314448E+03	1.812505E-04	1.067760E-05
6.314448E+03	1.812505E-04	1.067760E-05
6.460234E+03	1.915730E-04	1.092317E-05
6.460234E+03	1.915730E-04	1.092317E-05
6.609386E+03	2.028766E-04	1.120088E-05
6.609386E+03	2.028766E-04	1.120088E-05
6.761980E+03	2.180462E-04	1.166082E-05
6.761980E+03	2.180462E-04	1.166082E-05
6.918099E+03	2.376614E-04	1.229470E-05
6.918099E+03	2.376614E-04	1.229470E-05
7.077821E+03	2.603055E-04	1.298885E-05
7.077821E+03	2.603055E-04	1.298885E-05
7.241231E+03	2.848240E-04	1.366072E-05
7.241231E+03	2.848240E-04	1.366072E-05
7.408414E+03	3.109106E-04	1.429764E-05
7.408414E+03	3.109106E-04	1.429764E-05
7.579457E+03	3.384578E-04	1.493829E-05
7.579457E+03	3.384578E-04	1.493829E-05
7.754448E+03	3.660388E-04	1.561956E-05
7.754448E+03	3.660388E-04	1.561956E-05
7.933481E+03	3.886870E-04	1.625813E-05
7.933481E+03	3.886870E-04	1.625813E-05
8.116646E+03	4.039420E-04	1.682632E-05
8.116646E+03	4.039420E-04	1.682632E-05
8.304040E+03	4.151446E-04	1.735945E-05
8.304040E+03	4.151446E-04	1.735945E-05
8.495761E+03	4.276280E-04	1.790994E-05
8.495761E+03	4.276280E-04	1.790994E-05
8.691908E+03	4.444050E-04	1.845681E-05
8.691908E+03	4.444050E-04	1.845681E-05
8.892583E+03	4.677112E-04	1.898119E-05
8.892583E+03	4.677112E-04	1.898119E-05
9.097892E+03	5.006043E-04	1.953026E-05
9.097892E+03	5.006043E-04	1.953026E-05
9.307941E+03	5.460259E-04	2.016761E-05
9.307941E+03	5.460259E-04	2.016761E-05
9.522839E+03	6.024955E-04	2.078875E-05
9.522839E+03	6.024955E-04	2.078875E-05
9.742699E+03	6.618091E-04	2.124828E-05
9.742699E+03	6.618091E-04	2.124828E-05
9.967638E+03	7.123981E-04	2.173204E-05
9.967638E+03	7.123981E-04	2.173204E-05
1.019776E+04	7.434275E-04	2.279700E-05
1.019776E+04	7.434275E-04	2.279700E-05
1.043321E+04	7.542075E-04	2.469067E-05
1.043321E+04	7.542075E-04	2.469067E-05
1.067409E+04	7.511309E-04	2.665927E-05
1.067409E+04	7.511309E-04	2.665927E-05
1.092052E+04	7.336734E-04	2.772672E-05
1.092052E+04	7.336734E-04	2.772672E-05
1.117265E+04	6.996599E-04	2.719289E-05
1.117265E+04	6.996599E-04	2.719289E-05
1.143060E+04	6.533089E-04	2.500666E-05
1.143060E+04	6.533089E-04	2.500666E-05
1.169451E+04	6.026421E-04	2.167712E-05
1.169451E+04	6.026421E-04	2.167712E-05
1.196451E+04	5.535224E-04	1.803645E-05
1.196451E+04	5.535224E-04	1.803645E-05
1.224074E+04	5.081960E-04	1.535282E-05
1.224074E+04	5.081960E-04	1.535282E-05
1.252335E+04	4.702263E-04	1.528668E-05
1.252335E+04	4.702263E-04	1.528668E-05
1.281249E+04	4.477982E-04	1.779815E-05
1.281249E+04	4.477982E-04	1.779815E-05
1.310829E+04	4.467279E-04	2.181173E-05
1.310829E+04	4.467279E-04	2.181173E-05
1.341094E+04	4.623591E-04	2.662770E-05
1.341094E+04	4.623591E-04	2.662770E-05
1.372056E+04	4.795241E-04	3.109286E-05
1.372056E+04	4.795241E-04	3.109286E-05
1.403733E+04	4.850685E-04	3.389310E-05
1.403733E+04	4.850685E-04	3.389310E-05
1.436142E+04	4.800749E-04	3.469822E-05
1.436142E+04	4.800749E-04	3.469822E-05
1.469299E+04	4.752326E-04	3.416856E-05
