#wls	flux	fluxerr
3.257341E+03	8.296482E-05	0.000000E+00
3.332545E+03	6.678735E-05	0.000000E+00
3.409486E+03	5.315632E-05	0.000000E+00
3.488202E+03	4.214320E-05	0.000000E+00
3.568737E+03	3.356426E-05	0.000000E+00
3.651131E+03	2.706365E-05	0.000000E+00
3.735426E+03	2.220865E-05	0.000000E+00
3.821669E+03	1.857886E-05	0.000000E+00
3.909902E+03	1.579514E-05	0.000000E+00
4.000172E+03	1.355681E-05	0.000000E+00
4.092527E+03	1.168543E-05	0.000000E+00
4.187014E+03	1.011290E-05	0.000000E+00
4.283682E+03	8.819969E-06	0.000000E+00
4.382582E+03	7.768913E-06	0.000000E+00
4.483766E+03	6.899249E-06	0.000000E+00
4.587285E+03	6.160242E-06	0.000000E+00
4.693195E+03	5.533039E-06	0.000000E+00
4.801549E+03	5.015268E-06	0.000000E+00
4.912406E+03	4.596456E-06	0.000000E+00
5.025822E+03	4.249692E-06	0.000000E+00
5.141856E+03	3.939413E-06	0.000000E+00
5.260569E+03	3.637735E-06	0.000000E+00
5.382023E+03	3.338597E-06	0.000000E+00
5.506281E+03	3.067105E-06	0.000000E+00
5.633408E+03	2.862987E-06	0.000000E+00
5.763470E+03	2.748116E-06	0.000000E+00
5.896535E+03	2.713606E-06	0.000000E+00
6.032673E+03	2.727406E-06	0.000000E+00
6.171952E+03	2.747600E-06	0.000000E+00
6.314448E+03	2.744909E-06	0.000000E+00
6.460234E+03	2.724826E-06	0.000000E+00
6.609386E+03	2.732204E-06	0.000000E+00
6.761980E+03	2.813827E-06	0.000000E+00
6.918099E+03	2.987426E-06	0.000000E+00
7.077821E+03	3.245445E-06	0.000000E+00
7.241231E+03	3.573341E-06	0.000000E+00
7.408414E+03	3.952452E-06	0.000000E+00
7.579457E+03	4.353798E-06	0.000000E+00
7.754448E+03	4.726725E-06	0.000000E+00
7.933481E+03	4.987891E-06	0.000000E+00
8.116646E+03	5.086407E-06	0.000000E+00
8.304040E+03	5.039352E-06	0.000000E+00
8.495761E+03	4.895471E-06	0.000000E+00
8.691908E+03	4.686470E-06	0.000000E+00
8.892583E+03	4.436933E-06	0.000000E+00
9.097892E+03	4.180958E-06	0.000000E+00
9.307941E+03	3.954560E-06	0.000000E+00
9.522839E+03	3.767432E-06	0.000000E+00
9.742699E+03	3.603201E-06	0.000000E+00
9.967638E+03	3.445947E-06	0.000000E+00
1.019776E+04	3.291962E-06	0.000000E+00
1.043321E+04	3.163726E-06	0.000000E+00
1.067409E+04	3.084380E-06	0.000000E+00
1.092052E+04	3.041624E-06	0.000000E+00
1.117265E+04	3.010642E-06	0.000000E+00
1.143060E+04	2.982313E-06	0.000000E+00
1.169451E+04	2.962848E-06	0.000000E+00
1.196451E+04	2.959340E-06	0.000000E+00
1.224074E+04	2.972183E-06	0.000000E+00
1.252335E+04	3.012468E-06	0.000000E+00
1.281249E+04	3.124261E-06	0.000000E+00
1.310829E+04	3.357083E-06	0.000000E+00
1.341094E+04	3.709248E-06	0.000000E+00
1.372056E+04	4.104672E-06	0.000000E+00
1.403733E+04	4.459937E-06	0.000000E+00
1.436142E+04	4.777586E-06	0.000000E+00
1.469299E+04	5.141320E-06	0.000000E+00
1.503222E+04	5.614273E-06	0.000000E+00
1.537928E+04	6.137435E-06	0.000000E+00
1.573435E+04	6.546699E-06	0.000000E+00
1.609762E+04	6.723884E-06	0.000000E+00
1.646927E+04	6.723678E-06	0.000000E+00
1.684951E+04	6.685683E-06	0.000000E+00
1.723852E+04	6.721929E-06	0.000000E+00
1.763653E+04	6.930840E-06	0.000000E+00
1.804371E+04	7.386096E-06	0.000000E+00
1.846029E+04	8.101458E-06	0.000000E+00
1.888650E+04	9.037807E-06	0.000000E+00
1.932255E+04	1.013932E-05	0.000000E+00
1.976866E+04	1.131253E-05	0.000000E+00
2.022507E+04	1.233950E-05	0.000000E+00
2.069202E+04	1.294341E-05	0.000000E+00
2.116975E+04	1.298987E-05	0.000000E+00
2.165851E+04	1.259352E-05	0.000000E+00
2.215855E+04	1.201108E-05	0.000000E+00
2.267014E+04	1.153082E-05	0.000000E+00
2.319354E+04	1.137985E-05	0.000000E+00
2.372903E+04	1.163486E-05	0.000000E+00
2.427687E+04	1.225097E-05	0.000000E+00
