#wls	flux	fluxerr
3.257341E+03	4.089786E-16	2.630426E-17
3.332545E+03	4.025626E-16	2.577227E-17
3.409486E+03	4.028379E-16	2.566925E-17
3.488202E+03	4.119328E-16	2.612446E-17
3.568737E+03	4.315751E-16	2.723928E-17
3.651131E+03	4.624538E-16	2.904768E-17
3.735426E+03	5.033192E-16	3.146132E-17
3.821669E+03	5.508370E-16	3.426358E-17
3.909902E+03	5.986495E-16	3.705440E-17
4.000172E+03	6.379589E-16	3.929063E-17
4.092527E+03	6.622924E-16	4.058219E-17
4.187014E+03	6.712568E-16	4.091771E-17
4.283682E+03	6.699819E-16	4.062149E-17
4.382582E+03	6.636693E-16	4.001585E-17
4.483766E+03	6.541551E-16	3.921467E-17
4.587285E+03	6.413868E-16	3.821698E-17
4.693195E+03	6.260350E-16	3.706501E-17
4.801549E+03	6.090866E-16	3.581891E-17
4.912406E+03	5.905231E-16	3.447893E-17
5.025822E+03	5.698920E-16	3.302055E-17
5.141856E+03	5.478261E-16	3.148296E-17
5.260569E+03	5.266295E-16	2.999989E-17
5.382023E+03	5.083286E-16	2.868505E-17
5.506281E+03	4.930984E-16	2.754426E-17
5.633408E+03	4.801260E-16	2.652804E-17
5.763470E+03	4.681565E-16	2.556461E-17
5.896535E+03	4.548667E-16	2.452785E-17
6.032673E+03	4.381745E-16	2.331144E-17
6.171952E+03	4.171772E-16	2.187806E-17
6.314448E+03	3.929634E-16	2.029738E-17
6.460234E+03	3.681863E-16	1.871636E-17
6.609386E+03	3.456872E-16	1.728334E-17
6.761980E+03	3.261117E-16	1.602945E-17
6.918099E+03	3.080006E-16	1.488213E-17
7.077821E+03	2.902847E-16	1.379254E-17
7.241231E+03	2.737464E-16	1.280201E-17
7.408414E+03	2.595923E-16	1.196925E-17
7.579457E+03	2.483221E-16	1.131660E-17
7.754448E+03	2.391952E-16	1.080390E-17
7.933481E+03	2.299251E-16	1.032305E-17
8.116646E+03	2.195959E-16	9.830841E-18
8.304040E+03	2.088334E-16	9.353746E-18
8.495761E+03	1.979934E-16	8.906385E-18
8.691908E+03	1.867325E-16	8.472161E-18
8.892583E+03	1.754926E-16	8.067183E-18
9.097892E+03	1.655208E-16	7.742142E-18
9.307941E+03	1.578859E-16	7.542487E-18
9.522839E+03	1.524972E-16	7.464273E-18
9.742699E+03	1.481213E-16	7.448491E-18
9.967638E+03	1.431866E-16	7.410923E-18
1.019776E+04	1.363616E-16	7.270925E-18
1.043321E+04	1.278307E-16	7.023131E-18
1.067409E+04	1.188965E-16	6.727282E-18
1.092052E+04	1.102113E-16	6.415524E-18
1.117265E+04	1.020439E-16	6.103072E-18
1.143060E+04	9.479725E-17	5.816447E-18
1.169451E+04	8.872814E-17	5.576385E-18
1.196451E+04	8.363674E-17	5.376283E-18
1.224074E+04	7.899973E-17	5.187371E-18
1.252335E+04	7.461297E-17	4.999325E-18
1.281249E+04	7.099518E-17	4.848862E-18
1.310829E+04	6.852060E-17	4.764472E-18
1.341094E+04	6.649929E-17	4.701167E-18
1.372056E+04	6.352867E-17	4.559598E-18
1.403733E+04	5.893499E-17	4.287954E-18
1.436142E+04	5.346745E-17	3.937623E-18
1.469299E+04	4.838136E-17	3.601220E-18
1.503222E+04	4.425589E-17	3.324726E-18
1.537928E+04	4.079242E-17	3.088915E-18
1.573435E+04	3.754923E-17	2.862556E-18
1.609762E+04	3.457769E-17	2.651088E-18
1.646927E+04	3.233573E-17	2.490836E-18
1.684951E+04	3.106999E-17	2.401966E-18
1.723852E+04	3.063595E-17	2.374228E-18
1.763653E+04	3.074951E-17	2.386037E-18
1.804371E+04	3.094781E-17	2.401557E-18
1.846029E+04	3.056715E-17	2.369368E-18
1.888650E+04	2.914736E-17	2.254392E-18
1.932255E+04	2.683617E-17	2.069373E-18
1.976866E+04	2.414331E-17	1.855292E-18
2.022507E+04	2.140291E-17	1.639369E-18
2.069202E+04	1.869815E-17	1.429236E-18
2.116975E+04	1.603959E-17	1.226548E-18
2.165851E+04	1.348267E-17	1.034741E-18
2.215855E+04	1.115081E-17	8.607984E-19
2.267014E+04	9.216087E-18	7.164698E-19
2.319354E+04	7.783940E-18	6.096180E-19
2.372903E+04	6.811132E-18	5.372464E-19
2.427687E+04	6.177703E-18	4.904578E-19
