#wls	flux	fluxerr
3.257341E+03	6.572454E-16	4.313691E-17
3.257341E+03	6.572454E-16	4.313691E-17
3.332545E+03	6.398440E-16	4.187302E-17
3.332545E+03	6.398440E-16	4.187302E-17
3.409486E+03	6.299471E-16	4.109921E-17
3.409486E+03	6.299471E-16	4.109921E-17
3.488202E+03	6.297595E-16	4.095421E-17
3.488202E+03	6.297595E-16	4.095421E-17
3.568737E+03	6.404371E-16	4.150641E-17
3.568737E+03	6.404371E-16	4.150641E-17
3.651131E+03	6.612476E-16	4.270043E-17
3.651131E+03	6.612476E-16	4.270043E-17
3.735426E+03	6.887473E-16	4.430635E-17
3.735426E+03	6.887473E-16	4.430635E-17
3.821669E+03	7.174931E-16	4.596884E-17
3.821669E+03	7.174931E-16	4.596884E-17
3.909902E+03	7.400474E-16	4.721063E-17
3.909902E+03	7.400474E-16	4.721063E-17
4.000172E+03	7.485826E-16	4.753802E-17
4.000172E+03	7.485826E-16	4.753802E-17
4.092527E+03	7.398917E-16	4.675941E-17
4.092527E+03	7.398917E-16	4.675941E-17
4.187014E+03	7.175403E-16	4.511444E-17
4.187014E+03	7.175403E-16	4.511444E-17
4.283682E+03	6.894030E-16	4.310917E-17
4.283682E+03	6.894030E-16	4.310917E-17
4.382582E+03	6.617293E-16	4.113883E-17
4.382582E+03	6.617293E-16	4.113883E-17
4.483766E+03	6.364187E-16	3.932107E-17
4.483766E+03	6.364187E-16	3.932107E-17
4.587285E+03	6.129393E-16	3.762126E-17
4.587285E+03	6.129393E-16	3.762126E-17
4.693195E+03	5.908402E-16	3.601037E-17
4.693195E+03	5.908402E-16	3.601037E-17
4.801549E+03	5.696327E-16	3.445774E-17
4.801549E+03	5.696327E-16	3.445774E-17
4.912406E+03	5.481309E-16	3.289166E-17
4.912406E+03	5.481309E-16	3.289166E-17
5.025822E+03	5.253893E-16	3.125710E-17
5.025822E+03	5.253893E-16	3.125710E-17
5.141856E+03	5.021515E-16	2.960085E-17
5.141856E+03	5.021515E-16	2.960085E-17
5.260569E+03	4.811496E-16	2.808436E-17
5.260569E+03	4.811496E-16	2.808436E-17
5.382023E+03	4.647259E-16	2.684012E-17
5.382023E+03	4.647259E-16	2.684012E-17
5.506281E+03	4.526331E-16	2.584628E-17
5.506281E+03	4.526331E-16	2.584628E-17
5.633408E+03	4.428772E-16	2.498217E-17
5.633408E+03	4.428772E-16	2.498217E-17
5.763470E+03	4.332156E-16	2.411815E-17
5.763470E+03	4.332156E-16	2.411815E-17
5.896535E+03	4.212505E-16	2.312253E-17
5.896535E+03	4.212505E-16	2.312253E-17
6.032673E+03	4.055948E-16	2.192625E-17
6.032673E+03	4.055948E-16	2.192625E-17
6.171952E+03	3.863084E-16	2.054291E-17
6.171952E+03	3.863084E-16	2.054291E-17
6.314448E+03	3.650658E-16	1.907154E-17
6.314448E+03	3.650658E-16	1.907154E-17
6.460234E+03	3.444259E-16	1.765129E-17
6.460234E+03	3.444259E-16	1.765129E-17
6.609386E+03	3.266375E-16	1.639590E-17
6.609386E+03	3.266375E-16	1.639590E-17
6.761980E+03	3.119930E-16	1.531314E-17
6.761980E+03	3.119930E-16	1.531314E-17
6.918099E+03	2.991200E-16	1.432882E-17
6.918099E+03	2.991200E-16	1.432882E-17
7.077821E+03	2.869529E-16	1.338894E-17
7.077821E+03	2.869529E-16	1.338894E-17
7.241231E+03	2.758518E-16	1.250930E-17
