#wls	flux	fluxerr
3.257341E+03	6.426058E-18	8.304703E-19
3.257341E+03	6.426058E-18	8.304703E-19
3.332545E+03	5.307152E-18	6.791357E-19
3.332545E+03	5.307152E-18	6.791357E-19
3.409486E+03	4.351715E-18	5.511043E-19
3.409486E+03	4.351715E-18	5.511043E-19
3.488202E+03	3.580338E-18	4.484590E-19
3.488202E+03	3.580338E-18	4.484590E-19
3.568737E+03	2.989583E-18	3.701386E-19
3.568737E+03	2.989583E-18	3.701386E-19
3.651131E+03	2.559178E-18	3.129833E-19
3.651131E+03	2.559178E-18	3.129833E-19
3.735426E+03	2.260365E-18	2.728716E-19
3.735426E+03	2.260365E-18	2.728716E-19
3.821669E+03	2.063512E-18	2.457069E-19
3.821669E+03	2.063512E-18	2.457069E-19
3.909902E+03	1.938045E-18	2.274332E-19
3.909902E+03	1.938045E-18	2.274332E-19
4.000172E+03	1.855120E-18	2.143714E-19
4.000172E+03	1.855120E-18	2.143714E-19
4.092527E+03	1.796163E-18	2.041956E-19
4.092527E+03	1.796163E-18	2.041956E-19
4.187014E+03	1.756838E-18	1.962962E-19
4.187014E+03	1.756838E-18	1.962962E-19
4.283682E+03	1.742124E-18	1.911107E-19
4.283682E+03	1.742124E-18	1.911107E-19
4.382582E+03	1.753459E-18	1.886446E-19
4.382582E+03	1.753459E-18	1.886446E-19
4.483766E+03	1.783456E-18	1.879495E-19
4.483766E+03	1.783456E-18	1.879495E-19
4.587285E+03	1.821655E-18	1.878155E-19
4.587285E+03	1.821655E-18	1.878155E-19
4.693195E+03	1.864061E-18	1.877751E-19
4.693195E+03	1.864061E-18	1.877751E-19
4.801549E+03	1.912869E-18	1.880059E-19
4.801549E+03	1.912869E-18	1.880059E-19
4.912406E+03	1.967989E-18	1.884451E-19
4.912406E+03	1.967989E-18	1.884451E-19
5.025822E+03	2.020406E-18	1.881996E-19
5.025822E+03	2.020406E-18	1.881996E-19
5.141856E+03	2.052937E-18	1.857354E-19
5.141856E+03	2.052937E-18	1.857354E-19
5.260569E+03	2.049325E-18	1.797941E-19
5.260569E+03	2.049325E-18	1.797941E-19
5.382023E+03	2.006576E-18	1.704383E-19
5.382023E+03	2.006576E-18	1.704383E-19
5.506281E+03	1.947251E-18	1.598773E-19
5.506281E+03	1.947251E-18	1.598773E-19
5.633408E+03	1.912049E-18	1.514915E-19
5.633408E+03	1.912049E-18	1.514915E-19
5.763470E+03	1.933426E-18	1.475416E-19
5.763470E+03	1.933426E-18	1.475416E-19
5.896535E+03	2.019652E-18	1.481224E-19
5.896535E+03	2.019652E-18	1.481224E-19
6.032673E+03	2.155712E-18	1.515759E-19
6.032673E+03	2.155712E-18	1.515759E-19
6.171952E+03	2.309398E-18	1.552541E-19
6.171952E+03	2.309398E-18	1.552541E-19
6.314448E+03	2.449763E-18	1.569855E-19
6.314448E+03	2.449763E-18	1.569855E-19
6.460234E+03	2.573241E-18	1.566695E-19
6.460234E+03	2.573241E-18	1.566695E-19
6.609386E+03	2.718655E-18	1.567211E-19
6.609386E+03	2.718655E-18	1.567211E-19
6.761980E+03	2.933271E-18	1.595177E-19
6.761980E+03	2.933271E-18	1.595177E-19
6.918099E+03	3.234406E-18	1.652547E-19
6.918099E+03	3.234406E-18	1.652547E-19
7.077821E+03	3.609996E-18	1.725148E-19
7.077821E+03	3.609996E-18	1.725148E-19
7.241231E+03	4.043161E-18	1.799029E-19
7.241231E+03	4.043161E-18	1.799029E-19
7.408414E+03	4.518283E-18	1.864664E-19
7.408414E+03	4.518283E-18	1.864664E-19
7.579457E+03	5.012805E-18	1.914936E-19
7.579457E+03	5.012805E-18	1.914936E-19
7.754448E+03	5.478028E-18	1.940839E-19
7.754448E+03	5.478028E-18	1.940839E-19
7.933481E+03	5.816796E-18	1.925821E-19
7.933481E+03	5.816796E-18	1.925821E-19
