#wls	flux	fluxerr
3.257341E+03	5.131823E-18	7.100052E-19
3.332545E+03	4.176453E-18	5.773821E-19
3.409486E+03	3.361157E-18	4.642945E-19
3.488202E+03	2.699877E-18	3.726317E-19
3.568737E+03	2.187054E-18	3.015835E-19
3.651131E+03	1.803520E-18	2.484625E-19
3.735426E+03	1.523544E-18	2.096841E-19
3.821669E+03	1.321232E-18	1.816510E-19
3.909902E+03	1.172017E-18	1.609593E-19
4.000172E+03	1.055189E-18	1.447475E-19
4.092527E+03	9.581477E-19	1.312757E-19
4.187014E+03	8.768580E-19	1.199840E-19
4.283682E+03	8.117234E-19	1.109210E-19
4.382582E+03	7.613480E-19	1.038887E-19
4.483766E+03	7.212805E-19	9.827294E-20
4.587285E+03	6.870900E-19	9.346554E-20
4.693195E+03	6.575251E-19	8.929346E-20
4.801549E+03	6.335047E-19	8.587873E-20
4.912406E+03	6.150457E-19	8.322009E-20
5.025822E+03	5.995877E-19	8.096788E-20
5.141856E+03	5.826348E-19	7.851406E-20
5.260569E+03	5.602861E-19	7.533574E-20
5.382023E+03	5.320699E-19	7.137512E-20
5.506281E+03	5.033474E-19	6.735613E-20
5.633408E+03	4.829283E-19	6.445625E-20
5.763470E+03	4.769098E-19	6.347921E-20
5.896535E+03	4.855567E-19	6.444454E-20
6.032673E+03	5.040849E-19	6.670174E-20
6.171952E+03	5.246747E-19	6.920646E-20
6.314448E+03	5.409094E-19	7.111149E-20
6.460234E+03	5.530823E-19	7.246033E-20
6.609386E+03	5.703954E-19	7.445965E-20
6.761980E+03	6.034016E-19	7.847458E-20
6.918099E+03	6.566457E-19	8.507086E-20
7.077821E+03	7.289996E-19	9.407261E-20
7.241231E+03	8.179938E-19	1.051341E-19
7.408414E+03	9.206273E-19	1.178486E-19
7.579457E+03	1.031725E-18	1.315417E-19
7.754448E+03	1.140432E-18	1.448336E-19
7.933481E+03	1.226065E-18	1.551288E-19
8.116646E+03	1.275227E-18	1.607947E-19
8.304040E+03	1.292236E-18	1.624483E-19
8.495761E+03	1.289643E-18	1.617286E-19
8.691908E+03	1.274771E-18	1.595997E-19
8.892583E+03	1.252628E-18	1.567263E-19
9.097892E+03	1.230971E-18	1.541059E-19
9.307941E+03	1.218896E-18	1.528666E-19
9.522839E+03	1.217205E-18	1.530911E-19
9.742699E+03	1.217454E-18	1.537030E-19
9.967638E+03	1.210819E-18	1.535641E-19
1.019776E+04	1.193298E-18	1.521287E-19
1.043321E+04	1.172895E-18	1.503758E-19
1.067409E+04	1.160014E-18	1.496166E-19
1.092052E+04	1.151112E-18	1.493871E-19
1.117265E+04	1.137484E-18	1.485405E-19
1.143060E+04	1.117394E-18	1.468194E-19
1.169451E+04	1.095578E-18	1.448181E-19
1.196451E+04	1.076581E-18	1.431229E-19
1.224074E+04	1.061639E-18	1.418928E-19
1.252335E+04	1.056014E-18	1.418312E-19
1.281249E+04	1.077392E-18	1.453289E-19
1.310829E+04	1.144217E-18	1.549092E-19
1.341094E+04	1.254459E-18	1.703274E-19
1.372056E+04	1.377954E-18	1.874730E-19
1.403733E+04	1.482247E-18	2.018631E-19
1.436142E+04	1.567462E-18	2.134264E-19
1.469299E+04	1.663156E-18	2.260951E-19
1.503222E+04	1.789879E-18	2.425312E-19
1.537928E+04	1.924406E-18	2.593959E-19
1.573435E+04	2.010507E-18	2.689369E-19
1.609762E+04	2.014433E-18	2.666247E-19
1.646927E+04	1.963187E-18	2.561770E-19
1.684951E+04	1.906652E-18	2.441892E-19
1.723852E+04	1.879575E-18	2.349324E-19
1.763653E+04	1.908862E-18	2.312041E-19
1.804371E+04	2.011849E-18	2.340083E-19
1.846029E+04	2.186905E-18	2.414809E-19
1.888650E+04	2.417288E-18	2.497156E-19
1.932255E+04	2.683956E-18	2.546975E-19
1.976866E+04	2.960718E-18	2.526118E-19
2.022507E+04	3.189000E-18	2.397059E-19
2.069202E+04	3.296545E-18	2.177937E-19
2.116975E+04	3.253176E-18	2.001008E-19
2.165851E+04	3.096266E-18	2.017424E-19
2.215855E+04	2.895601E-18	2.161699E-19
2.267014E+04	2.726518E-18	2.348211E-19
2.319354E+04	2.646008E-18	2.576131E-19
2.372903E+04	2.670013E-18	2.867420E-19
2.427687E+04	2.783435E-18	3.226056E-19
