#wls	flux	fluxerr
3.257341E+03	1.975418E-02	3.369941E-03
3.257341E+03	1.975418E-02	3.369941E-03
3.332545E+03	1.969241E-02	2.945401E-03
3.332545E+03	1.969241E-02	2.945401E-03
3.409486E+03	1.992775E-02	2.564121E-03
3.409486E+03	1.992775E-02	2.564121E-03
3.488202E+03	2.055685E-02	2.245891E-03
3.488202E+03	2.055685E-02	2.245891E-03
3.568737E+03	2.159708E-02	1.975252E-03
3.568737E+03	2.159708E-02	1.975252E-03
3.651131E+03	2.294088E-02	1.720507E-03
3.651131E+03	2.294088E-02	1.720507E-03
3.735426E+03	2.435681E-02	1.479228E-03
3.735426E+03	2.435681E-02	1.479228E-03
3.821669E+03	2.556308E-02	1.289986E-03
3.821669E+03	2.556308E-02	1.289986E-03
3.909902E+03	2.630416E-02	1.178407E-03
3.909902E+03	2.630416E-02	1.178407E-03
4.000172E+03	2.640237E-02	1.117995E-03
4.000172E+03	2.640237E-02	1.117995E-03
4.092527E+03	2.584393E-02	1.068609E-03
4.092527E+03	2.584393E-02	1.068609E-03
4.187014E+03	2.479326E-02	1.012770E-03
4.187014E+03	2.479326E-02	1.012770E-03
4.283682E+03	2.350562E-02	9.517227E-04
4.283682E+03	2.350562E-02	9.517227E-04
4.382582E+03	2.220556E-02	8.927911E-04
4.382582E+03	2.220556E-02	8.927911E-04
4.483766E+03	2.100767E-02	8.398706E-04
4.483766E+03	2.100767E-02	8.398706E-04
4.587285E+03	1.993247E-02	7.924442E-04
4.587285E+03	1.993247E-02	7.924442E-04
4.693195E+03	1.895286E-02	7.486829E-04
4.693195E+03	1.895286E-02	7.486829E-04
4.801549E+03	1.802191E-02	7.064424E-04
4.801549E+03	1.802191E-02	7.064424E-04
4.912406E+03	1.712820E-02	6.650150E-04
4.912406E+03	1.712820E-02	6.650150E-04
5.025822E+03	1.631085E-02	6.285510E-04
5.025822E+03	1.631085E-02	6.285510E-04
5.141856E+03	1.558481E-02	6.013204E-04
5.141856E+03	1.558481E-02	6.013204E-04
5.260569E+03	1.491861E-02	5.797069E-04
5.260569E+03	1.491861E-02	5.797069E-04
5.382023E+03	1.426473E-02	5.574347E-04
5.382023E+03	1.426473E-02	5.574347E-04
5.506281E+03	1.360699E-02	5.332423E-04
5.506281E+03	1.360699E-02	5.332423E-04
5.633408E+03	1.296290E-02	5.089250E-04
5.633408E+03	1.296290E-02	5.089250E-04
5.763470E+03	1.233978E-02	4.840907E-04
5.763470E+03	1.233978E-02	4.840907E-04
5.896535E+03	1.172172E-02	4.565887E-04
5.896535E+03	1.172172E-02	4.565887E-04
6.032673E+03	1.108932E-02	4.251424E-04
6.032673E+03	1.108932E-02	4.251424E-04
6.171952E+03	1.042996E-02	3.901159E-04
6.171952E+03	1.042996E-02	3.901159E-04
6.314448E+03	9.749236E-03	3.532417E-04
6.314448E+03	9.749236E-03	3.532417E-04
6.460234E+03	9.074951E-03	3.188017E-04
6.460234E+03	9.074951E-03	3.188017E-04
6.609386E+03	8.442674E-03	2.921946E-04
6.609386E+03	8.442674E-03	2.921946E-04
6.761980E+03	7.867965E-03	2.746728E-04
6.761980E+03	7.867965E-03	2.746728E-04
6.918099E+03	7.344746E-03	2.625685E-04
6.918099E+03	7.344746E-03	2.625685E-04
7.077821E+03	6.867929E-03	2.506262E-04
7.077821E+03	6.867929E-03	2.506262E-04
7.241231E+03	6.444180E-03	2.367756E-04
7.241231E+03	6.444180E-03	2.367756E-04
7.408414E+03	6.078223E-03	2.226663E-04
7.408414E+03	6.078223E-03	2.226663E-04
7.579457E+03	5.762178E-03	2.109011E-04
7.579457E+03	5.762178E-03	2.109011E-04
7.754448E+03	5.472698E-03	2.016755E-04
7.754448E+03	5.472698E-03	2.016755E-04
7.933481E+03	5.175219E-03	1.926584E-04
7.933481E+03	5.175219E-03	1.926584E-04
8.116646E+03	4.852679E-03	1.820627E-04
8.116646E+03	4.852679E-03	1.820627E-04
8.304040E+03	4.509242E-03	1.698199E-04
8.304040E+03	4.509242E-03	1.698199E-04
8.495761E+03	4.154352E-03	1.566406E-04
8.495761E+03	4.154352E-03	1.566406E-04
8.691908E+03	3.796229E-03	1.433220E-04
8.691908E+03	3.796229E-03	1.433220E-04
8.892583E+03	3.448715E-03	1.307753E-04
8.892583E+03	3.448715E-03	1.307753E-04
9.097892E+03	3.128670E-03	1.200139E-04
9.097892E+03	3.128670E-03	1.200139E-04
9.307941E+03	2.848087E-03	1.121211E-04
9.307941E+03	2.848087E-03	1.121211E-04
9.522839E+03	2.605972E-03	1.085977E-04
9.522839E+03	2.605972E-03	1.085977E-04
9.742699E+03	2.389261E-03	1.107857E-04
9.742699E+03	2.389261E-03	1.107857E-04
9.967638E+03	2.184368E-03	1.177529E-04
9.967638E+03	2.184368E-03	1.177529E-04
1.019776E+04	1.985236E-03	1.267283E-04
1.019776E+04	1.985236E-03	1.267283E-04
1.043321E+04	1.796179E-03	1.350566E-04
1.043321E+04	1.796179E-03	1.350566E-04
1.067409E+04	1.625725E-03	1.406749E-04
1.067409E+04	1.625725E-03	1.406749E-04
1.092052E+04	1.477840E-03	1.415938E-04
1.092052E+04	1.477840E-03	1.415938E-04
1.117265E+04	1.352693E-03	1.368715E-04
1.117265E+04	1.352693E-03	1.368715E-04
1.143060E+04	1.249088E-03	1.271521E-04
1.143060E+04	1.249088E-03	1.271521E-04
1.169451E+04	1.164246E-03	1.143184E-04
1.169451E+04	1.164246E-03	1.143184E-04
1.196451E+04	1.093374E-03	1.013523E-04
1.196451E+04	1.093374E-03	1.013523E-04
1.224074E+04	1.030827E-03	9.237629E-05
1.224074E+04	1.030827E-03	9.237629E-05
1.252335E+04	9.732441E-04	9.069403E-05
1.252335E+04	9.732441E-04	9.069403E-05
