#wls	flux	fluxerr
3.257341E+03	4.023255E-03	1.176631E-03
3.332545E+03	3.982509E-03	1.137370E-03
3.409486E+03	3.930922E-03	1.110927E-03
3.488202E+03	3.869282E-03	1.104729E-03
3.568737E+03	3.795353E-03	1.117144E-03
3.651131E+03	3.704040E-03	1.138288E-03
3.735426E+03	3.589486E-03	1.155634E-03
3.821669E+03	3.448611E-03	1.158841E-03
3.909902E+03	3.282797E-03	1.142014E-03
4.000172E+03	3.097230E-03	1.103792E-03
4.092527E+03	2.900155E-03	1.046628E-03
4.187014E+03	2.701208E-03	9.753592E-04
4.283682E+03	2.509246E-03	8.955895E-04
4.382582E+03	2.330637E-03	8.124061E-04
4.483766E+03	2.168689E-03	7.298508E-04
4.587285E+03	2.024474E-03	6.511752E-04
4.693195E+03	1.897802E-03	5.793151E-04
4.801549E+03	1.787763E-03	5.171999E-04
4.912406E+03	1.693454E-03	4.678240E-04
5.025822E+03	1.614187E-03	4.335510E-04
5.141856E+03	1.548485E-03	4.144158E-04
5.260569E+03	1.493517E-03	4.070136E-04
5.382023E+03	1.445816E-03	4.061240E-04
5.506281E+03	1.402419E-03	4.070555E-04
5.633408E+03	1.361225E-03	4.066909E-04
5.763470E+03	1.320641E-03	4.034607E-04
5.896535E+03	1.279440E-03	3.969688E-04
6.032673E+03	1.236961E-03	3.875737E-04
6.171952E+03	1.193029E-03	3.758060E-04
6.314448E+03	1.147724E-03	3.618104E-04
6.460234E+03	1.101132E-03	3.453468E-04
6.609386E+03	1.053004E-03	3.261691E-04
6.761980E+03	1.002486E-03	3.043010E-04
6.918099E+03	9.484108E-04	2.802935E-04
7.077821E+03	8.897402E-04	2.553416E-04
7.241231E+03	8.257606E-04	2.310614E-04
7.408414E+03	7.561976E-04	2.088999E-04
7.579457E+03	6.817020E-04	1.893934E-04
7.754448E+03	6.042432E-04	1.717837E-04
7.933481E+03	5.265899E-04	1.547145E-04
8.116646E+03	4.516922E-04	1.373086E-04
8.304040E+03	3.820825E-04	1.194995E-04
8.495761E+03	3.194838E-04	1.017892E-04
8.691908E+03	2.648185E-04	8.490280E-05
8.892583E+03	2.183954E-04	6.953234E-05
9.097892E+03	1.799860E-04	5.616014E-05
9.307941E+03	1.489015E-04	4.499298E-05
9.522839E+03	1.241300E-04	3.599623E-05
9.742699E+03	1.045385E-04	2.898717E-05
9.967638E+03	8.906390E-05	2.372031E-05
1.019776E+04	7.678093E-05	1.990959E-05
1.043321E+04	6.689718E-05	1.721441E-05
1.067409E+04	5.878744E-05	1.527164E-05
1.092052E+04	5.203181E-05	1.377103E-05
1.117265E+04	4.635974E-05	1.250660E-05
1.143060E+04	4.158685E-05	1.138047E-05
1.169451E+04	3.757422E-05	1.037319E-05
1.196451E+04	3.420609E-05	9.507979E-06
1.224074E+04	3.138163E-05	8.818990E-06
1.252335E+04	2.901337E-05	8.322509E-06
1.281249E+04	2.702494E-05	7.994623E-06
1.310829E+04	2.534190E-05	7.776840E-06
1.341094E+04	2.388657E-05	7.602848E-06
1.372056E+04	2.258667E-05	7.418243E-06
1.403733E+04	2.139027E-05	7.190716E-06
1.436142E+04	2.027045E-05	6.911417E-06
1.469299E+04	1.921447E-05	6.588858E-06
1.503222E+04	1.820851E-05	6.240140E-06
1.537928E+04	1.723120E-05	5.884754E-06
1.573435E+04	1.626346E-05	5.542615E-06
1.609762E+04	1.530176E-05	5.231143E-06
1.646927E+04	1.436399E-05	4.959179E-06
1.684951E+04	1.347501E-05	4.721755E-06
1.723852E+04	1.264712E-05	4.503905E-06
1.763653E+04	1.188090E-05	4.289862E-06
1.804371E+04	1.116830E-05	4.067639E-06
1.846029E+04	1.049782E-05	3.831160E-06
1.888650E+04	9.863926E-06	3.582869E-06
1.932255E+04	9.271574E-06	3.334360E-06
1.976866E+04	8.730430E-06	3.103104E-06
2.022507E+04	8.246349E-06	2.908209E-06
2.069202E+04	7.818714E-06	2.767707E-06
2.116975E+04	7.443010E-06	2.695898E-06
2.165851E+04	7.114982E-06	2.699084E-06
2.215855E+04	6.834881E-06	2.772802E-06
2.267014E+04	6.608657E-06	2.906918E-06
2.319354E+04	6.443048E-06	3.092286E-06
2.372903E+04	6.338234E-06	3.321533E-06
2.427687E+04	6.287274E-06	3.588110E-06
