#wls	flux	fluxerr
3.257341E+03	2.454572E-04	2.567415E-05
3.257341E+03	2.454572E-04	2.567415E-05
3.332545E+03	2.257809E-04	1.835686E-05
3.332545E+03	2.257809E-04	1.835686E-05
3.409486E+03	2.085238E-04	1.421501E-05
3.409486E+03	2.085238E-04	1.421501E-05
3.488202E+03	1.956016E-04	1.211533E-05
3.488202E+03	1.956016E-04	1.211533E-05
3.568737E+03	1.881679E-04	1.097932E-05
3.568737E+03	1.881679E-04	1.097932E-05
3.651131E+03	1.865669E-04	1.029636E-05
3.651131E+03	1.865669E-04	1.029636E-05
3.735426E+03	1.906487E-04	9.953756E-06
3.735426E+03	1.906487E-04	9.953756E-06
3.821669E+03	2.001709E-04	9.969399E-06
3.821669E+03	2.001709E-04	9.969399E-06
3.909902E+03	2.147250E-04	1.029003E-05
3.909902E+03	2.147250E-04	1.029003E-05
4.000172E+03	2.334273E-04	1.075507E-05
4.000172E+03	2.334273E-04	1.075507E-05
4.092527E+03	2.553021E-04	1.123750E-05
4.092527E+03	2.553021E-04	1.123750E-05
4.187014E+03	2.800939E-04	1.173625E-05
4.187014E+03	2.800939E-04	1.173625E-05
4.283682E+03	3.086664E-04	1.232704E-05
4.283682E+03	3.086664E-04	1.232704E-05
4.382582E+03	3.424801E-04	1.305213E-05
4.382582E+03	3.424801E-04	1.305213E-05
4.483766E+03	3.819465E-04	1.383397E-05
4.483766E+03	3.819465E-04	1.383397E-05
4.587285E+03	4.252810E-04	1.450560E-05
4.587285E+03	4.252810E-04	1.450560E-05
4.693195E+03	4.685330E-04	1.501571E-05
4.693195E+03	4.685330E-04	1.501571E-05
4.801549E+03	5.064579E-04	1.555270E-05
4.801549E+03	5.064579E-04	1.555270E-05
4.912406E+03	5.363837E-04	1.621335E-05
4.912406E+03	5.363837E-04	1.621335E-05
5.025822E+03	5.606186E-04	1.681031E-05
5.025822E+03	5.606186E-04	1.681031E-05
5.141856E+03	5.822106E-04	1.723931E-05
5.141856E+03	5.822106E-04	1.723931E-05
5.260569E+03	6.026716E-04	1.756316E-05
5.260569E+03	6.026716E-04	1.756316E-05
5.382023E+03	6.226869E-04	1.796061E-05
5.382023E+03	6.226869E-04	1.796061E-05
5.506281E+03	6.445538E-04	1.863668E-05
5.506281E+03	6.445538E-04	1.863668E-05
5.633408E+03	6.727476E-04	1.961315E-05
5.633408E+03	6.727476E-04	1.961315E-05
5.763470E+03	7.107612E-04	2.065692E-05
5.763470E+03	7.107612E-04	2.065692E-05
5.896535E+03	7.589090E-04	2.156944E-05
5.896535E+03	7.589090E-04	2.156944E-05
6.032673E+03	8.140715E-04	2.231854E-05
6.032673E+03	8.140715E-04	2.231854E-05
6.171952E+03	8.695721E-04	2.312307E-05
6.171952E+03	8.695721E-04	2.312307E-05
6.314448E+03	9.182628E-04	2.425712E-05
6.314448E+03	9.182628E-04	2.425712E-05
6.460234E+03	9.580761E-04	2.560378E-05
6.460234E+03	9.580761E-04	2.560378E-05
6.609386E+03	9.948350E-04	2.694984E-05
6.609386E+03	9.948350E-04	2.694984E-05
6.761980E+03	1.035521E-03	2.814381E-05
6.761980E+03	1.035521E-03	2.814381E-05
6.918099E+03	1.080265E-03	2.922204E-05
6.918099E+03	1.080265E-03	2.922204E-05
7.077821E+03	1.123660E-03	3.021201E-05
7.077821E+03	1.123660E-03	3.021201E-05
7.241231E+03	1.161539E-03	3.092817E-05
7.241231E+03	1.161539E-03	3.092817E-05
7.408414E+03	1.192421E-03	3.121041E-05
7.408414E+03	1.192421E-03	3.121041E-05
7.579457E+03	1.214858E-03	3.131872E-05
7.579457E+03	1.214858E-03	3.131872E-05
7.754448E+03	1.224893E-03	3.161475E-05
7.754448E+03	1.224893E-03	3.161475E-05
7.933481E+03	1.216521E-03	3.190931E-05
7.933481E+03	1.216521E-03	3.190931E-05
8.116646E+03	1.192685E-03	3.173245E-05
8.116646E+03	1.192685E-03	3.173245E-05
8.304040E+03	1.166328E-03	3.111239E-05
8.304040E+03	1.166328E-03	3.111239E-05
8.495761E+03	1.150941E-03	3.053936E-05
8.495761E+03	1.150941E-03	3.053936E-05
8.691908E+03	1.153753E-03	3.040590E-05
8.691908E+03	1.153753E-03	3.040590E-05
8.892583E+03	1.178096E-03	3.098712E-05
8.892583E+03	1.178096E-03	3.098712E-05
9.097892E+03	1.226746E-03	3.272879E-05
9.097892E+03	1.226746E-03	3.272879E-05
9.307941E+03	1.303057E-03	3.549231E-05
9.307941E+03	1.303057E-03	3.549231E-05
9.522839E+03	1.404837E-03	3.856363E-05
9.522839E+03	1.404837E-03	3.856363E-05
9.742699E+03	1.516836E-03	4.181963E-05
9.742699E+03	1.516836E-03	4.181963E-05
9.967638E+03	1.613619E-03	4.531225E-05
9.967638E+03	1.613619E-03	4.531225E-05
1.019776E+04	1.670898E-03	4.868894E-05
1.019776E+04	1.670898E-03	4.868894E-05
1.043321E+04	1.680992E-03	5.119841E-05
1.043321E+04	1.680992E-03	5.119841E-05
1.067409E+04	1.651407E-03	5.219733E-05
1.067409E+04	1.651407E-03	5.219733E-05
1.092052E+04	1.589492E-03	5.155713E-05
1.092052E+04	1.589492E-03	5.155713E-05
1.117265E+04	1.502539E-03	4.941648E-05
1.117265E+04	1.502539E-03	4.941648E-05
1.143060E+04	1.401840E-03	4.606078E-05
1.143060E+04	1.401840E-03	4.606078E-05
1.169451E+04	1.299775E-03	4.197638E-05
1.169451E+04	1.299775E-03	4.197638E-05
1.196451E+04	1.205002E-03	3.756713E-05
1.196451E+04	1.205002E-03	3.756713E-05
1.224074E+04	1.121768E-03	3.387649E-05
1.224074E+04	1.121768E-03	3.387649E-05
1.252335E+04	1.054981E-03	3.256866E-05
1.252335E+04	1.054981E-03	3.256866E-05
1.281249E+04	1.013589E-03	3.337154E-05
1.281249E+04	1.013589E-03	3.337154E-05
1.310829E+04	1.002286E-03	3.544496E-05
1.310829E+04	1.002286E-03	3.544496E-05
1.341094E+04	1.012774E-03	3.821387E-05
1.341094E+04	1.012774E-03	3.821387E-05
1.372056E+04	1.025574E-03	3.978829E-05
1.372056E+04	1.025574E-03	3.978829E-05
1.403733E+04	1.024205E-03	3.877023E-05
1.403733E+04	1.024205E-03	3.877023E-05
1.436142E+04	1.007102E-03	3.616455E-05
1.436142E+04	1.007102E-03	3.616455E-05
1.469299E+04	9.837357E-04	3.381142E-05
1.469299E+04	9.837357E-04	3.381142E-05
1.503222E+04	9.602414E-04	3.218810E-05
1.503222E+04	9.602414E-04	3.218810E-05
1.537928E+04	9.304029E-04	3.054704E-05
1.537928E+04	9.304029E-04	3.054704E-05
1.573435E+04	8.835746E-04	2.809965E-05
1.573435E+04	8.835746E-04	2.809965E-05
1.609762E+04	8.192594E-04	2.534945E-05
1.609762E+04	8.192594E-04	2.534945E-05
1.646927E+04	7.510531E-04	2.360775E-05
1.646927E+04	7.510531E-04	2.360775E-05
1.684951E+04	6.949747E-04	2.282756E-05
1.684951E+04	6.949747E-04	2.282756E-05
1.723852E+04	6.598791E-04	2.271941E-05
1.723852E+04	6.598791E-04	2.271941E-05
1.763653E+04	6.478545E-04	2.374655E-05
1.763653E+04	6.478545E-04	2.374655E-05
1.804371E+04	6.542934E-04	2.588399E-05
1.804371E+04	6.542934E-04	2.588399E-05
1.846029E+04	6.679366E-04	2.776187E-05
1.846029E+04	6.679366E-04	2.776187E-05
1.888650E+04	6.766171E-04	2.796969E-05
1.888650E+04	6.766171E-04	2.796969E-05
1.932255E+04	6.744132E-04	2.660233E-05
1.932255E+04	6.744132E-04	2.660233E-05
1.976866E+04	6.607819E-04	2.474166E-05
1.976866E+04	6.607819E-04	2.474166E-05
2.022507E+04	6.341679E-04	2.275930E-05
2.022507E+04	6.341679E-04	2.275930E-05
2.069202E+04	5.910718E-04	2.028010E-05
2.069202E+04	5.910718E-04	2.028010E-05
2.116975E+04	5.309351E-04	1.768411E-05
2.116975E+04	5.309351E-04	1.768411E-05
2.165851E+04	4.600146E-04	1.608059E-05
2.165851E+04	4.600146E-04	1.608059E-05
2.215855E+04	3.901014E-04	1.531822E-05
2.215855E+04	3.901014E-04	1.531822E-05
2.267014E+04	3.325151E-04	1.488043E-05
2.267014E+04	3.325151E-04	1.488043E-05
2.319354E+04	2.923962E-04	1.530664E-05
2.319354E+04	2.923962E-04	1.530664E-05
2.372903E+04	2.677788E-04	1.783809E-05
2.372903E+04	2.677788E-04	1.783809E-05
2.427687E+04	2.534318E-04	2.342724E-05
2.427687E+04	2.534318E-04	2.342724E-05
