#wls	flux	fluxerr
3.257341E+03	1.376608E-04	1.371003E-05
3.332545E+03	1.182109E-04	8.853746E-06
3.409486E+03	1.010357E-04	6.318961E-06
3.488202E+03	8.695547E-05	5.048485E-06
3.568737E+03	7.623401E-05	4.280933E-06
3.651131E+03	6.866883E-05	3.744782E-06
3.735426E+03	6.382611E-05	3.380704E-06
3.821669E+03	6.125019E-05	3.163945E-06
3.909902E+03	6.049213E-05	3.055764E-06
4.000172E+03	6.106482E-05	3.009483E-06
4.092527E+03	6.254059E-05	2.996489E-06
4.187014E+03	6.472257E-05	3.019047E-06
4.283682E+03	6.769193E-05	3.093335E-06
4.382582E+03	7.166574E-05	3.218518E-06
4.483766E+03	7.666471E-05	3.370096E-06
4.587285E+03	8.233769E-05	3.515002E-06
4.693195E+03	8.802658E-05	3.635884E-06
4.801549E+03	9.294620E-05	3.740203E-06
4.912406E+03	9.683127E-05	3.834070E-06
5.025822E+03	1.002463E-04	3.905466E-06
5.141856E+03	1.037782E-04	3.951484E-06
5.260569E+03	1.076780E-04	4.001943E-06
5.382023E+03	1.119987E-04	4.123561E-06
5.506281E+03	1.169974E-04	4.375046E-06
5.633408E+03	1.232825E-04	4.717210E-06
5.763470E+03	1.313477E-04	5.043936E-06
5.896535E+03	1.411939E-04	5.294122E-06
6.032673E+03	1.522505E-04	5.443234E-06
6.171952E+03	1.633597E-04	5.484931E-06
6.314448E+03	1.734189E-04	5.474400E-06
6.460234E+03	1.825356E-04	5.530291E-06
6.609386E+03	1.926696E-04	5.724779E-06
6.761980E+03	2.062872E-04	6.017000E-06
6.918099E+03	2.244984E-04	6.394789E-06
7.077821E+03	2.468052E-04	6.899708E-06
7.241231E+03	2.721256E-04	7.515623E-06
7.408414E+03	2.991301E-04	8.122843E-06
7.579457E+03	3.258265E-04	8.603307E-06
7.754448E+03	3.491479E-04	8.974001E-06
7.933481E+03	3.653852E-04	9.344149E-06
8.116646E+03	3.738814E-04	9.688262E-06
8.304040E+03	3.780997E-04	9.915012E-06
8.495761E+03	3.827240E-04	1.004701E-05
8.691908E+03	3.907058E-04	1.012783E-05
8.892583E+03	4.034910E-04	1.027051E-05
9.097892E+03	4.224235E-04	1.076947E-05
9.307941E+03	4.496336E-04	1.169042E-05
9.522839E+03	4.858126E-04	1.286789E-05
9.742699E+03	5.271775E-04	1.434884E-05
9.967638E+03	5.659953E-04	1.602839E-05
1.019776E+04	5.940553E-04	1.741499E-05
1.043321E+04	6.079672E-04	1.817055E-05
1.067409E+04	6.088650E-04	1.835951E-05
1.092052E+04	5.973117E-04	1.817537E-05
1.117265E+04	5.740361E-04	1.762739E-05
1.143060E+04	5.422284E-04	1.663071E-05
1.169451E+04	5.068441E-04	1.529202E-05
1.196451E+04	4.723852E-04	1.379267E-05
1.224074E+04	4.418974E-04	1.254661E-05
1.252335E+04	4.184294E-04	1.217545E-05
1.281249E+04	4.062070E-04	1.259961E-05
1.310829E+04	4.076665E-04	1.357028E-05
1.341094E+04	4.199957E-04	1.491271E-05
1.372056E+04	4.353131E-04	1.582810E-05
1.403733E+04	4.462388E-04	1.567469E-05
1.436142E+04	4.513570E-04	1.483290E-05
1.469299E+04	4.542348E-04	1.410162E-05
1.503222E+04	4.571360E-04	1.370364E-05
1.537928E+04	4.561044E-04	1.329142E-05
1.573435E+04	4.441411E-04	1.244225E-05
1.609762E+04	4.193158E-04	1.133959E-05
1.646927E+04	3.884267E-04	1.064917E-05
1.684951E+04	3.612089E-04	1.037056E-05
1.723852E+04	3.442342E-04	1.043239E-05
1.763653E+04	3.403898E-04	1.120291E-05
1.804371E+04	3.488954E-04	1.272540E-05
1.846029E+04	3.651800E-04	1.422077E-05
1.888650E+04	3.832426E-04	1.481165E-05
1.932255E+04	3.989321E-04	1.444498E-05
1.976866E+04	4.097687E-04	1.376655E-05
2.022507E+04	4.120020E-04	1.305891E-05
2.069202E+04	4.008100E-04	1.199629E-05
2.116975E+04	3.742449E-04	1.073573E-05
2.165851E+04	3.363086E-04	1.009244E-05
2.215855E+04	2.957680E-04	9.950759E-06
2.267014E+04	2.615672E-04	9.849420E-06
2.319354E+04	2.384757E-04	1.024860E-05
2.372903E+04	2.259553E-04	1.249263E-05
2.427687E+04	2.205955E-04	1.777813E-05
